"runNumber","startTime","sampleCount","errorCount","errorPct","meanResTime","minResTime","maxResTime","pct1ResTime","pct2ResTime","pct3ResTime","throughput","receivedKBytesPerSec","sentKBytesPerSec"
1,"warm",5830,0,0.0,7.9271012006860655,1.0,82.0,12.0,14.0,18.0,1122.0169361046958,342.9602548835643,214.76105417628946
1,"cold",5830,0,0.0,22.744939965694748,2.0,4169.0,14.0,16.0,23.0,424.6794871794872,129.80925731169873,81.28630809294872
1,"warm",5830,0,0.0,9.07444253859347,1.0,70.0,14.0,16.0,23.0,991.833957128275,303.16799666127935,189.84321835658386
1,"cold",5830,0,0.0,23.771698113207503,1.0,4617.0,15.0,18.0,25.0,407.9205149734117,124.6866417838651,78.07853606912958
1,"warm",5830,0,0.0,8.89691252144081,1.0,81.0,13.0,15.449999999999818,24.0,1018.1627663290255,311.21576744236813,194.88271699266502
1,"cold",5830,0,0.0,15.96792452830187,1.0,4227.0,15.0,17.0,24.0,595.9317182868241,182.1549099841562,114.06505545333742
2,"warm",5830,0,0.0,7.883704974271026,1.0,83.0,12.0,14.0,17.0,1132.6986594132504,346.225273824558,216.80560277831745
2,"cold",5830,0,0.0,15.886106346483665,2.0,4275.0,14.0,16.0,23.0,602.957906712173,184.30256328213878,115.40991183162684
2,"warm",5830,0,0.0,7.89794168096056,1.0,73.0,12.0,14.0,18.0,1118.5725249424406,341.90742217478896,214.10177235226402
2,"cold",5830,0,0.0,16.213207547169727,1.0,4377.0,15.0,17.0,25.0,589.0078803798747,180.03854156142657,112.7397896039604
2,"warm",5830,0,0.0,8.004288164665521,1.0,82.0,12.0,14.0,19.0,1107.5227963525836,338.5299172444909,211.9867852393617
2,"cold",5830,0,0.0,16.063464837049743,1.0,4267.0,15.0,17.0,25.0,594.5339588007342,181.72766514124007,113.79751555170304
3,"warm",5830,0,0.0,8.162950257289854,1.0,79.0,13.0,15.0,20.0,1093.1933245827865,334.1499126898556,209.24403478342396
3,"cold",5830,0,0.0,16.165180102915954,2.0,4262.0,15.0,17.449999999999818,25.6899999999996,590.379746835443,180.45787183544303,113.00237341772151
3,"warm",5830,0,0.0,7.887993138936567,1.0,76.0,12.0,14.0,19.0,1115.7894736842104,341.05674342105266,213.56907894736844
3,"cold",5830,0,0.0,16.634991423670705,1.0,4648.0,14.0,17.0,25.6899999999996,574.5540553858284,175.62052669508228,109.9732371636937
3,"warm",5830,0,0.0,8.15934819897079,2.0,87.0,13.0,14.0,20.0,1105.632467286175,337.9521115825906,211.62496444149443
3,"cold",5830,0,0.0,15.693481989708374,1.0,4209.0,14.0,17.0,25.0,606.7860116569526,185.47267739123646,116.14263504371357
4,"warm",5830,0,0.0,8.04356775300173,1.0,78.0,12.0,14.0,20.0,1113.020236731577,340.2102872040855,213.03902968690338
4,"cold",5830,0,0.0,16.868096054888472,2.0,4389.0,15.0,20.0,34.0,564.1025641025641,172.4258814102564,107.9727564102564
4,"warm",5830,0,0.0,8.084219554030872,1.0,86.0,13.0,14.0,18.0,1106.0519825460065,338.08034232119144,211.70526228419655
4,"cold",5830,0,0.0,21.725385934819816,2.0,9151.0,12.0,14.0,20.0,445.10612307222476,136.0529458218812,85.19609386929302
4,"warm",5830,0,0.0,5.431389365351628,1.0,72.0,9.0,12.0,15.0,1565.1006711409395,478.3950293624161,299.57005033557044
4,"cold",5830,0,0.0,15.904974271012003,1.0,4199.0,15.0,18.0,26.0,600.2883031301483,183.4865614059926,114.89893302100495
5,"warm",5830,0,0.0,8.100514579759855,2.0,87.0,13.0,14.0,20.0,1101.871101871102,336.8023973492723,210.90501559251558
5,"cold",5830,0,0.0,16.330360205831898,1.0,4618.0,14.0,16.0,22.0,585.5765367617518,178.98970313127762,112.08300898955405
5,"warm",5830,0,0.0,7.933619210977694,1.0,60.0,12.0,14.0,19.0,1110.264711483527,339.36802216244524,212.51160493239382
5,"cold",5830,0,0.0,16.921955403087487,1.0,4704.0,15.0,19.0,29.0,564.4848954298993,172.5427463569907,108.04593701587918
5,"warm",5830,0,0.0,10.557289879931398,2.0,80.0,17.0,23.0,45.0,876.296407635653,267.8523199120698,167.72860927401175
5,"cold",5830,0,0.0,16.04734133790736,2.0,4239.0,14.0,17.0,29.0,593.4446254071661,181.39469507074512,113.5890103318404
6,"warm",5830,0,0.0,8.059691252144134,1.0,88.0,12.0,14.0,20.0,1099.7924919826448,336.16704100641385,210.5071566685531
6,"cold",5830,0,0.0,15.560891938250482,1.0,4207.0,14.0,16.0,21.6899999999996,611.7523609653725,186.99071189664218,117.09322534102834
6,"warm",5830,0,0.0,7.942538593481981,1.0,78.0,12.0,14.0,19.0,1113.020236731577,340.2102872040855,213.03902968690338
6,"cold",5830,0,0.0,17.226243567752864,1.0,4912.0,15.0,17.0,25.0,554.7625844514225,169.57098528642115,106.1850259301551
6,"warm",5830,0,0.0,8.056946826758137,2.0,78.0,12.0,14.0,20.0,1096.8955785512699,335.28155867826905,209.952669332079
6,"cold",5830,0,0.0,16.992281303602,1.0,4807.0,15.0,17.0,25.0,562.9586713016608,172.07623448966783,107.75380817883352
