"runNumber","startTime","sampleCount","errorCount","errorPct","meanResTime","minResTime","maxResTime","pct1ResTime","pct2ResTime","pct3ResTime","throughput","StdDev","receivedKBytesPerSec","sentKBytesPerSec"
1,"warm",5800,0,0.0,35.95051724137938,1.0,122.0,55.0,63.0,77.98999999999978,1213.8970280452072,14.992731459891882,371.0446970489745,232.34747802427796
1,"cold",5800,0,0.0,78.51362068965504,2.0,4561.0,65.0,74.0,106.98999999999978,609.5638465580662,384.2535225633453,186.32176169206514,116.67433000525486
1,"warm",5800,0,0.0,33.99999999999994,2.0,144.0,52.0,59.0,82.98999999999978,1298.7012987012986,14.930083651045347,396.96631493506493,248.57954545454544
1,"cold",5800,0,0.0,79.18758620689647,2.0,4460.0,67.0,79.0,143.96999999999935,601.9095060190951,377.14988741416107,183.98210486716482,115.20924138646743
1,"warm",5800,0,0.0,34.69034482758618,1.0,147.0,53.0,61.0,78.0,1281.767955801105,14.982670102452412,391.7904005524862,245.33839779005524
1,"cold",5800,0,0.0,110.13017241379293,2.0,9613.0,47.0,58.0,91.97999999999956,441.400304414003,856.3233016514082,134.92021023592085,84.48677701674276
2,"warm",5800,0,0.0,22.603965517241416,2.0,104.0,35.0,41.0,58.98999999999978,1850.6700701978302,10.57011920636415,565.683332003829,354.22981812380345
2,"cold",5800,0,0.0,110.7063793103443,2.0,9766.0,49.0,56.0,95.97999999999956,437.6037422664856,868.5404156933055,133.75973762637696,83.7600912931945
2,"warm",5800,0,0.0,24.40465517241376,2.0,148.0,38.0,45.0,69.0,1755.4479418886197,12.658876682944788,536.5773494249395,336.0037076271187
2,"cold",5800,0,0.0,79.08206896551721,2.0,4515.0,65.0,76.0,118.0,603.3496307084157,381.4525118349138,184.4222992302091,115.48489025278269
2,"warm",5800,0,0.0,34.65948275862075,2.0,127.0,53.0,62.0,75.0,1271.0935787858866,14.455719821793021,388.5276271093579,243.2952553144861
2,"cold",5800,0,0.0,80.104482758621,2.0,4640.0,68.0,82.0,143.98999999999978,594.7497949138639,393.5390178355467,181.79363848441344,113.83882793273175
3,"warm",5800,0,0.0,35.745344827586145,2.0,161.0,53.0,60.0,78.0,1260.3215993046501,15.038015139854677,385.2350200999565,241.23343111690568
3,"cold",5800,0,0.0,66.45465517241406,2.0,4574.0,48.0,56.0,99.0,714.8139018979541,390.89766653179424,218.4929211856051,136.8198484101553
3,"warm",5800,0,0.0,21.375862068965496,2.0,102.0,33.0,38.0,52.0,1897.9057591623036,9.839360030487901,580.1215845876964,363.2710242146597
3,"cold",5800,0,0.0,80.84982758620677,1.0,4717.0,67.0,76.0,135.96999999999935,590.3307888040712,396.5263859060952,180.44290712468194,112.99300254452928
3,"warm",5800,0,0.0,35.33172413793113,2.0,102.0,53.0,63.0,81.0,1245.1696006869902,14.801717360725453,380.6035986474882,238.33324388149418
3,"cold",5800,0,0.0,78.36206896551712,2.0,4524.0,65.0,74.0,109.0,607.4570590699623,379.5362609155352,185.67779246962715,116.27107771260997
4,"warm",5800,0,0.0,35.700689655172404,2.0,147.0,56.0,64.0,83.0,1241.9700214132763,16.154626588292597,379.625602248394,237.7208244111349
4,"cold",5800,0,0.0,81.9481034482756,2.0,4809.0,67.0,78.0,113.0,581.9203371124712,410.25615872889097,177.87213429316745,111.38318952543392
4,"warm",5800,0,0.0,34.411206896551626,3.0,130.0,52.0,60.0,77.0,1277.8144965851511,14.632182128643285,390.58197014760964,244.58168098700156
4,"cold",5800,0,0.0,111.22499999999974,2.0,9570.0,52.0,67.0,183.95999999999913,436.845672968291,852.3222126808485,133.52802308503428,83.61499209158696
4,"warm",5800,0,0.0,40.60948275862078,2.0,1907.0,42.0,51.0,107.96999999999935,1070.5057216685123,170.5524171653381,327.21512781469175,204.9014857881137
4,"cold",5800,0,0.0,109.95913793103443,3.0,9519.0,50.0,62.0,100.0,440.99756690997566,846.9161803915526,134.79710785431874,84.40969054136254
5,"warm",5800,0,0.0,22.28137931034479,2.0,132.0,34.0,38.0,58.0,1813.633520950594,11.492387765026653,554.3625898999375,347.14079111944966
5,"cold",5800,63,1.0862069,157.27344827586205,3.0,8911.0,71.0,82.94999999999982,4636.869999999997,306.8620707899053,891.8151780674785,93.34952722408867,58.73531823713031
5,"warm",5800,0,0.0,41.52293103448273,1.0,157.0,63.0,72.0,92.0,1093.926820067899,17.217229658054507,334.3741158996605,209.38443040362128
5,"cold",5800,0,0.0,79.4543103448276,2.0,4688.0,64.0,74.0,111.0,598.6169883372897,395.64635897207955,182.97570053669108,114.57903292393436
5,"warm",5800,0,0.0,34.499137931034284,2.0,125.0,52.0,59.0,75.0,1267.7595628415302,13.726292457167833,387.50853825136613,242.6571038251366
5,"cold",5800,0,0.0,78.42086206896546,2.0,4476.0,66.0,75.0,108.0,608.2214765100671,381.5696716536375,185.91144740981545,116.41739198825503
6,"warm",5800,0,0.0,34.6575862068966,2.0,133.0,52.0,60.0,74.0,1249.4614390348988,13.896942675568564,381.9154593925032,239.15472856527356
6,"cold",5800,0,0.0,80.62844827586217,2.0,4690.0,67.0,78.0,114.0,594.7497949138639,399.67802965020775,181.79363848441344,113.83882793273175
6,"warm",5800,0,0.0,33.638620689655056,1.0,139.0,51.0,58.0,75.0,1290.3225806451612,14.30622734617388,394.40524193548384,246.9758064516129
6,"cold",5800,0,0.0,78.45086206896546,2.0,4560.0,66.0,74.0,105.98999999999978,608.5405518833281,382.1983186123087,186.0089772846501,116.47846500891826
6,"warm",5800,0,0.0,34.323103448275845,2.0,123.0,52.0,59.0,82.0,1280.6359019651136,14.616949062161723,391.4443723780084,245.12171561051005
6,"cold",5800,0,0.0,81.99999999999986,2.0,4805.0,68.0,79.0,111.0,585.5037351100343,408.5874632478304,178.96745028265696,112.069074298405
