"framework","runNumber","factor","factorValue"
"k8s",1,"resTime",142.0
"k8s",2,"resTime",141.0
"k8s",3,"resTime",138
"k8s",4,"resTime",141.0
"k8s",5,"resTime",138.0
"k8s",6,"resTime",139.0
"nomad",1,"resTime",155
"nomad",2,"resTime",161.0
"nomad",3,"resTime",162.0
"nomad",4,"resTime",163.0
"nomad",5,"resTime",162.0
"nomad",6,"resTime",163.0
"swarm",1,"resTime",131.0
"swarm",2,"resTime",138.0
"swarm",3,"resTime",123.0
"swarm",4,"resTime",127.0
"swarm",5,"resTime",122.0
"swarm",6,"resTime",68.0
"k8s",1,"throughput",60.931556453087055
"k8s",2,"throughput",61.50310063488772
"k8s",3,"throughput",61.6087564240131
"k8s",4,"throughput",61.77001083622475
"k8s",5,"throughput",62.38892543097379
"k8s",6,"throughput",61.90690969550644
"nomad",1,"throughput",61.542215894078616
"nomad",2,"throughput",60.62663691919682
"nomad",3,"throughput",61.08479616876158
"nomad",4,"throughput",60.865860338935896
"nomad",5,"throughput",60.86374346801611
"nomad",6,"throughput",60.833699783953456
"swarm",1,"throughput",67.37934765240728
"swarm",2,"throughput",63.94843198444774
"swarm",3,"throughput",68.89167080016692
"swarm",4,"throughput",67.02990491329203
"swarm",5,"throughput",69.09417536101707
"swarm",6,"throughput",118.54842533820172
"k8s",1,"errorPct",0.0
"k8s",2,"errorPct",0.0
"k8s",3,"errorPct",0.26
"k8s",4,"errorPct",0.0
"k8s",5,"errorPct",0.0
"k8s",6,"errorPct",0.0
"nomad",1,"errorPct",4.1685715
"nomad",2,"errorPct",0.0
"nomad",3,"errorPct",0.0
"nomad",4,"errorPct",0.0
"nomad",5,"errorPct",0.0
"nomad",6,"errorPct",0.0
"swarm",1,"errorPct",0.0
"swarm",2,"errorPct",0.0
"swarm",3,"errorPct",0.0
"swarm",4,"errorPct",0.0
"swarm",5,"errorPct",0.0
"swarm",6,"errorPct",0.0
