"framework","runNumber","caseNumber","factor","factorValue"
"k8s","1","user_5","resTime",67.0
"k8s","2","user_5","resTime",64.0
"k8s","3","user_5","resTime",65.0
"k8s","4","user_5","resTime",66.0
"k8s","5","user_5","resTime",64.0
"k8s","6","user_5","resTime",65.0
"nomad","1","user_5","resTime",78.0
"nomad","2","user_5","resTime",82.0
"nomad","3","user_5","resTime",78
"nomad","4","user_5","resTime",76.0
"nomad","5","user_5","resTime",71
"nomad","6","user_5","resTime",68.0
"swarm","1","user_5","resTime",47.0
"swarm","2","user_5","resTime",49.0
"swarm","3","user_5","resTime",49.0
"swarm","4","user_5","resTime",48
"swarm","5","user_5","resTime",64.0
"swarm","6","user_5","resTime",63.0
"k8s","1","user_5","throughput",61.15235497719017
"k8s","2","user_5","throughput",62.68694141457561
"k8s","3","user_5","throughput",62.971159209082245
"k8s","4","user_5","throughput",62.230630271823394
"k8s","5","user_5","throughput",62.55831328488341
"k8s","6","user_5","throughput",61.83887615793296
"nomad","1","user_5","throughput",59.91350249696778
"nomad","2","user_5","throughput",59.5931321469192
"nomad","3","user_5","throughput",60.53405355115757
"nomad","4","user_5","throughput",52.105588555239905
"nomad","5","user_5","throughput",57.75752693099972
"nomad","6","user_5","throughput",61.819103116290854
"swarm","1","user_5","throughput",94.4967776598818
"swarm","2","user_5","throughput",92.01083098924788
"swarm","3","user_5","throughput",92.77347632818486
"swarm","4","user_5","throughput",92.80499415244999
"swarm","5","user_5","throughput",67.77914842277922
"swarm","6","user_5","throughput",66.98295379515848
"k8s","1","user_5","errorPct",0.0
"k8s","2","user_5","errorPct",0.0
"k8s","3","user_5","errorPct",0.0
"k8s","4","user_5","errorPct",0.0
"k8s","5","user_5","errorPct",0.0
"k8s","6","user_5","errorPct",0.0
"nomad","1","user_5","errorPct",0.21714285
"nomad","2","user_5","errorPct",0.0
"nomad","3","user_5","errorPct",0.35714287
"nomad","4","user_5","errorPct",42.931427
"nomad","5","user_5","errorPct",31.585714
"nomad","6","user_5","errorPct",12.857142
"swarm","1","user_5","errorPct",0.0
"swarm","2","user_5","errorPct",0.0
"swarm","3","user_5","errorPct",0.0
"swarm","4","user_5","errorPct",0.014285714
"swarm","5","user_5","errorPct",0.0
"swarm","6","user_5","errorPct",0.0
"k8s","1","user_10","resTime",142.0
"k8s","2","user_10","resTime",141.0
"k8s","3","user_10","resTime",138
"k8s","4","user_10","resTime",141.0
"k8s","5","user_10","resTime",138.0
"k8s","6","user_10","resTime",139.0
"nomad","1","user_10","resTime",155
"nomad","2","user_10","resTime",161.0
"nomad","3","user_10","resTime",162.0
"nomad","4","user_10","resTime",163.0
"nomad","5","user_10","resTime",162.0
"nomad","6","user_10","resTime",163.0
"swarm","1","user_10","resTime",131.0
"swarm","2","user_10","resTime",138.0
"swarm","3","user_10","resTime",123.0
"swarm","4","user_10","resTime",127.0
"swarm","5","user_10","resTime",122.0
"swarm","6","user_10","resTime",68.0
"k8s","1","user_10","throughput",60.931556453087055
"k8s","2","user_10","throughput",61.50310063488772
"k8s","3","user_10","throughput",61.6087564240131
"k8s","4","user_10","throughput",61.77001083622475
"k8s","5","user_10","throughput",62.38892543097379
"k8s","6","user_10","throughput",61.90690969550644
"nomad","1","user_10","throughput",61.542215894078616
"nomad","2","user_10","throughput",60.62663691919682
"nomad","3","user_10","throughput",61.08479616876158
"nomad","4","user_10","throughput",60.865860338935896
"nomad","5","user_10","throughput",60.86374346801611
"nomad","6","user_10","throughput",60.833699783953456
"swarm","1","user_10","throughput",67.37934765240728
"swarm","2","user_10","throughput",63.94843198444774
"swarm","3","user_10","throughput",68.89167080016692
"swarm","4","user_10","throughput",67.02990491329203
"swarm","5","user_10","throughput",69.09417536101707
"swarm","6","user_10","throughput",118.54842533820172
"k8s","1","user_10","errorPct",0.0
"k8s","2","user_10","errorPct",0.0
