"framework","runNumber","factor","factorValue"
"k8s",1,"resTime",151
"k8s",2,"resTime",149
"k8s",3,"resTime",148
"k8s",4,"resTime",147
"k8s",5,"resTime",147
"k8s",6,"resTime",146
"nomad",1,"resTime",240
"nomad",2,"resTime",233.0
"nomad",3,"resTime",243.0
"nomad",4,"resTime",183.0
"nomad",5,"resTime",245
"nomad",6,"resTime",240
"swarm",1,"resTime",153
"swarm",2,"resTime",134
"swarm",3,"resTime",138
"swarm",4,"resTime",138
"swarm",5,"resTime",148
"swarm",6,"resTime",147
"k8s",1,"throughput",89.66869090629565
"k8s",2,"throughput",90.82415229493517
"k8s",3,"throughput",91.94765066461376
"k8s",4,"throughput",92.63793774370568
"k8s",5,"throughput",92.41956075267822
"k8s",6,"throughput",92.71917971544393
"nomad",1,"throughput",59.05672368148282
"nomad",2,"throughput",56.50266799312653
"nomad",3,"throughput",54.401608549862424
"nomad",4,"throughput",67.86481126354263
"nomad",5,"throughput",58.034248415438654
"nomad",6,"throughput",60.56290009674143
"swarm",1,"throughput",86.92293553370855
"swarm",2,"throughput",100.49969845782718
"swarm",3,"throughput",98.12470908876789
"swarm",4,"throughput",99.67330965516652
"swarm",5,"throughput",90.27449948536183
"swarm",6,"throughput",91.33188747347734
"k8s",1,"errorPct",0.0
"k8s",2,"errorPct",0.0
"k8s",3,"errorPct",0.0
"k8s",4,"errorPct",0.0
"k8s",5,"errorPct",0.08572653
"k8s",6,"errorPct",0.0
"nomad",1,"errorPct",0.68581223
"nomad",2,"errorPct",28.589798
"nomad",3,"errorPct",22.994713
"nomad",4,"errorPct",5.346478
"nomad",5,"errorPct",0.0
"nomad",6,"errorPct",0.0
"swarm",1,"errorPct",0.0
"swarm",2,"errorPct",0.0
"swarm",3,"errorPct",0.0
"swarm",4,"errorPct",0.0
"swarm",5,"errorPct",0.0
"swarm",6,"errorPct",0.0
