"framework","runNumber","caseNumber","factor","factorValue"
"k8s","1","replica1","resTime",244
"k8s","2","replica1","resTime",229
"k8s","3","replica1","resTime",231
"k8s","4","replica1","resTime",223
"k8s","5","replica1","resTime",227
"k8s","6","replica1","resTime",226
"nomad","1","replica1","resTime",231.0
"nomad","2","replica1","resTime",243.0
"nomad","3","replica1","resTime",230.0
"nomad","4","replica1","resTime",237.0
"nomad","5","replica1","resTime",217.0
"nomad","6","replica1","resTime",247
"swarm","1","replica1","resTime",117
"swarm","2","replica1","resTime",114
"swarm","3","replica1","resTime",115
"swarm","4","replica1","resTime",111.0
"swarm","5","replica1","resTime",111
"swarm","6","replica1","resTime",176
"k8s","1","replica1","throughput",56.38652523979782
"k8s","2","replica1","throughput",59.72780709599459
"k8s","3","replica1","throughput",59.50599566054291
"k8s","4","replica1","throughput",61.23884637527977
"k8s","5","replica1","throughput",60.19868404076893
"k8s","6","replica1","throughput",60.51503927122566
"nomad","1","replica1","throughput",52.787433396278615
"nomad","2","replica1","throughput",49.05536849981294
"nomad","3","replica1","throughput",44.796441377540475
"nomad","4","replica1","throughput",53.88198794651235
"nomad","5","replica1","throughput",48.256061696227114
"nomad","6","replica1","throughput",59.75034446726664
"swarm","1","replica1","throughput",112.80376753946278
"swarm","2","replica1","throughput",114.90120367999056
"swarm","3","replica1","throughput",113.60906405220271
"swarm","4","replica1","throughput",104.60705742880151
"swarm","5","replica1","throughput",111.98005830194776
"swarm","6","replica1","throughput",77.99475800340551
"k8s","1","replica1","errorPct",0.0
"k8s","2","replica1","errorPct",0.0
"k8s","3","replica1","errorPct",0.0
"k8s","4","replica1","errorPct",0.0
"k8s","5","replica1","errorPct",0.0
"k8s","6","replica1","errorPct",0.0
"nomad","1","replica1","errorPct",37.2939
"nomad","2","replica1","errorPct",52.038864
"nomad","3","replica1","errorPct",64.086296
"nomad","4","replica1","errorPct",35.185028
"nomad","5","replica1","errorPct",60.520073
"nomad","6","replica1","errorPct",0.0
"swarm","1","replica1","errorPct",0.0
"swarm","2","replica1","errorPct",0.0
"swarm","3","replica1","errorPct",0.0
"swarm","4","replica1","errorPct",0.1514502
"swarm","5","replica1","errorPct",0.0
"swarm","6","replica1","errorPct",0.0
"k8s","1","replica10","resTime",145
"k8s","2","replica10","resTime",145
"k8s","3","replica10","resTime",143
"k8s","4","replica10","resTime",146
"k8s","5","replica10","resTime",142
"k8s","6","replica10","resTime",143
"nomad","1","replica10","resTime",249
"nomad","2","replica10","resTime",212
"nomad","3","replica10","resTime",205
"nomad","4","replica10","resTime",214
"nomad","5","replica10","resTime",213
"nomad","6","replica10","resTime",181
"swarm","1","replica10","resTime",135
"swarm","2","replica10","resTime",146
"swarm","3","replica10","resTime",148
"swarm","4","replica10","resTime",148
"swarm","5","replica10","resTime",144
"swarm","6","replica10","resTime",147
"k8s","1","replica10","throughput",93.65741645233896
"k8s","2","replica10","throughput",93.3934695293631
"k8s","3","replica10","throughput",94.68805298959366
"k8s","4","replica10","throughput",93.94479552007216
"k8s","5","replica10","throughput",95.31526623995643
"k8s","6","replica10","throughput",95.14449075471235
"nomad","1","replica10","throughput",53.54815751636187
"nomad","2","replica10","throughput",69.15023949161385
"nomad","3","replica10","throughput",69.4459603466444
"nomad","4","replica10","throughput",67.67497447322008
"nomad","5","replica10","throughput",68.53151235408046
"nomad","6","replica10","throughput",75.96181396681514
"swarm","1","replica10","throughput",97.9338600129291
"swarm","2","replica10","throughput",92.64676682771858
"swarm","3","replica10","throughput",91.3190176844973
"swarm","4","replica10","throughput",91.42446607014566
"swarm","5","replica10","throughput",93.24142855620332
"swarm","6","replica10","throughput",92.5397052057055
"k8s","1","replica10","errorPct",0.0
"k8s","2","replica10","errorPct",0.0
"k8s","3","replica10","errorPct",0.0
"k8s","4","replica10","errorPct",0.0
"k8s","5","replica10","errorPct",0.0
"k8s","6","replica10","errorPct",0.0
"nomad","1","replica10","errorPct",36.35948
"nomad","2","replica10","errorPct",0.0
"nomad","3","replica10","errorPct",0.0
"nomad","4","replica10","errorPct",0.0
"nomad","5","replica10","errorPct",0.0
"nomad","6","replica10","errorPct",0.0
"swarm","1","replica10","errorPct",0.0
"swarm","2","replica10","errorPct",0.0
"swarm","3","replica10","errorPct",0.0
"swarm","4","replica10","errorPct",0.0
"swarm","5","replica10","errorPct",0.0
"swarm","6","replica10","errorPct",0.0
"k8s","1","replica20","resTime",151
"k8s","2","replica20","resTime",149
"k8s","3","replica20","resTime",148
"k8s","4","replica20","resTime",147
"k8s","5","replica20","resTime",147
"k8s","6","replica20","resTime",146
"nomad","1","replica20","resTime",240
"nomad","2","replica20","resTime",233.0
"nomad","3","replica20","resTime",243.0
"nomad","4","replica20","resTime",183.0
"nomad","5","replica20","resTime",245
"nomad","6","replica20","resTime",240
"swarm","1","replica20","resTime",153
"swarm","2","replica20","resTime",134
"swarm","3","replica20","resTime",138
"swarm","4","replica20","resTime",138
"swarm","5","replica20","resTime",148
"swarm","6","replica20","resTime",147
"k8s","1","replica20","throughput",89.66869090629565
"k8s","2","replica20","throughput",90.82415229493517
"k8s","3","replica20","throughput",91.94765066461376
"k8s","4","replica20","throughput",92.63793774370568
"k8s","5","replica20","throughput",92.41956075267822
"k8s","6","replica20","throughput",92.71917971544393
"nomad","1","replica20","throughput",59.05672368148282
"nomad","2","replica20","throughput",56.50266799312653
"nomad","3","replica20","throughput",54.401608549862424
"nomad","4","replica20","throughput",67.86481126354263
"nomad","5","replica20","throughput",58.034248415438654
"nomad","6","replica20","throughput",60.56290009674143
"swarm","1","replica20","throughput",86.92293553370855
