"framework","runNumber","factor","factorValue"
"k8s",1,"resTime",16.0
"k8s",2,"resTime",16.0
"k8s",3,"resTime",16.0
"k8s",4,"resTime",16.0
"k8s",5,"resTime",16.0
"k8s",6,"resTime",16
"nomad",1,"resTime",23.0
"nomad",2,"resTime",23.0
"nomad",3,"resTime",24.0
"nomad",4,"resTime",24.0
"nomad",5,"resTime",24.0
"nomad",6,"resTime",25.0
"swarm",1,"resTime",17.0
"swarm",2,"resTime",16.0
"swarm",3,"resTime",16.0
"swarm",4,"resTime",15.0
"swarm",5,"resTime",16.0
"swarm",6,"resTime",16.0
"k8s",1,"throughput",51.86137897924952
"k8s",2,"throughput",52.94903428525611
"k8s",3,"throughput",52.62714718760525
"k8s",4,"throughput",53.50749257774638
"k8s",5,"throughput",52.46817805001267
"k8s",6,"throughput",53.38172210323344
"nomad",1,"throughput",39.801266590020795
"nomad",2,"throughput",39.143977139917354
"nomad",3,"throughput",36.88998457998645
"nomad",4,"throughput",36.5778591083572
"nomad",5,"throughput",37.17491861348175
"nomad",6,"throughput",35.88724024046501
"swarm",1,"throughput",50.858491333713076
"swarm",2,"throughput",53.774261794616116
"swarm",3,"throughput",52.42833047224445
"swarm",4,"throughput",54.44606572729055
"swarm",5,"throughput",53.776244728007434
"swarm",6,"throughput",54.43107859070162
"k8s",1,"errorPct",0.0
"k8s",2,"errorPct",0.0
"k8s",3,"errorPct",0.0
"k8s",4,"errorPct",0.0
"k8s",5,"errorPct",0.0
"k8s",6,"errorPct",0.02
"nomad",1,"errorPct",0.0
"nomad",2,"errorPct",0.0
"nomad",3,"errorPct",0.0
"nomad",4,"errorPct",0.0
"nomad",5,"errorPct",0.0
"nomad",6,"errorPct",0.0
"swarm",1,"errorPct",0.0
"swarm",2,"errorPct",0.0
"swarm",3,"errorPct",0.0
"swarm",4,"errorPct",0.0
"swarm",5,"errorPct",0.0
"swarm",6,"errorPct",0.0
