"framework","runNumber","caseNumber","factor","factorValue"
"k8s","1","replica1","resTime",16.0
"k8s","2","replica1","resTime",16.0
"k8s","3","replica1","resTime",16.0
"k8s","4","replica1","resTime",15.0
"k8s","5","replica1","resTime",15.0
"k8s","6","replica1","resTime",15.0
"nomad","1","replica1","resTime",22.0
"nomad","2","replica1","resTime",21.0
"nomad","3","replica1","resTime",20.0
"nomad","4","replica1","resTime",22.0
"nomad","5","replica1","resTime",21.0
"nomad","6","replica1","resTime",21.0
"swarm","1","replica1","resTime",16
"swarm","2","replica1","resTime",15.0
"swarm","3","replica1","resTime",15.0
"swarm","4","replica1","resTime",15.0
"swarm","5","replica1","resTime",15.0
"swarm","6","replica1","resTime",15.0
"k8s","1","replica1","throughput",53.62883331239255
"k8s","2","replica1","throughput",53.59606635499278
"k8s","3","replica1","throughput",52.97307605571557
"k8s","4","replica1","throughput",54.029855354358666
"k8s","5","replica1","throughput",54.45572282970606
"k8s","6","replica1","throughput",54.61922596754058
"nomad","1","replica1","throughput",40.486064118358115
"nomad","2","replica1","throughput",42.850881381414474
"nomad","3","replica1","throughput",43.76323837960983
"nomad","4","replica1","throughput",41.14234664190289
"nomad","5","replica1","throughput",42.11281180025051
"nomad","6","replica1","throughput",41.31280283759937
"swarm","1","replica1","throughput",53.594699179671416
"swarm","2","replica1","throughput",57.006692585709565
"swarm","3","replica1","throughput",55.49688741742855
"swarm","4","replica1","throughput",57.785335732800604
"swarm","5","replica1","throughput",57.16871140091111
"swarm","6","replica1","throughput",56.99119079022357
"k8s","1","replica1","errorPct",0.0
"k8s","2","replica1","errorPct",0.0
"k8s","3","replica1","errorPct",0.0
"k8s","4","replica1","errorPct",0.0
"k8s","5","replica1","errorPct",0.0
"k8s","6","replica1","errorPct",0.0
"nomad","1","replica1","errorPct",0.0
"nomad","2","replica1","errorPct",0.0
"nomad","3","replica1","errorPct",0.0
"nomad","4","replica1","errorPct",0.0
"nomad","5","replica1","errorPct",0.0
"nomad","6","replica1","errorPct",0.0
"swarm","1","replica1","errorPct",0.0028571428
