"framework","runNumber","factor","factorValue"
"k8s",1,"resTime",331.0
"k8s",2,"resTime",329.0
"k8s",3,"resTime",330.0
"k8s",4,"resTime",329.0
"k8s",5,"resTime",329.0
"k8s",6,"resTime",331.0
"nomad",1,"resTime",325.0
"nomad",2,"resTime",317
"nomad",3,"resTime",318.0
"nomad",4,"resTime",317
"nomad",5,"resTime",318.0
"nomad",6,"resTime",319
"swarm",1,"resTime",332.0
"swarm",2,"resTime",333.0
"swarm",3,"resTime",334.0
"swarm",4,"resTime",337.0
"swarm",5,"resTime",334.0
"swarm",6,"resTime",332.0
"k8s",1,"throughput",29.56510574171248
"k8s",2,"throughput",29.70464249614052
"k8s",3,"throughput",29.878088860850912
"k8s",4,"throughput",29.925144388821675
"k8s",5,"throughput",29.915424820400613
"k8s",6,"throughput",29.633894401734008
"nomad",1,"throughput",29.313772950590376
"nomad",2,"throughput",30.1537126565018
"nomad",3,"throughput",29.717356036710807
"nomad",4,"throughput",30.16145519356276
"nomad",5,"throughput",29.805870166674026
"nomad",6,"throughput",29.94497973169892
"swarm",1,"throughput",29.4134701928095
"swarm",2,"throughput",29.13473984758369
"swarm",3,"throughput",29.051549900187172
"swarm",4,"throughput",28.468245705361788
"swarm",5,"throughput",29.030609875052253
"swarm",6,"throughput",29.35803210594391
"k8s",1,"errorPct",0.0
"k8s",2,"errorPct",0.0
"k8s",3,"errorPct",0.0
"k8s",4,"errorPct",0.0
"k8s",5,"errorPct",0.0
"k8s",6,"errorPct",0.0
"nomad",1,"errorPct",0.0
"nomad",2,"errorPct",36.06
"nomad",3,"errorPct",55.88
"nomad",4,"errorPct",60.545715
"nomad",5,"errorPct",55.645714
"nomad",6,"errorPct",3.122857
"swarm",1,"errorPct",0.0
"swarm",2,"errorPct",0.0
"swarm",3,"errorPct",0.0
"swarm",4,"errorPct",0.0
"swarm",5,"errorPct",0.0
"swarm",6,"errorPct",0.0
