"framework","runNumber","caseNumber","factor","factorValue"
"k8s","1","user_5","resTime",166.0
"k8s","2","user_5","resTime",164.0
"k8s","3","user_5","resTime",163.0
"k8s","4","user_5","resTime",164.0
"k8s","5","user_5","resTime",164.0
"k8s","6","user_5","resTime",165.0
"nomad","1","user_5","resTime",162.0
"nomad","2","user_5","resTime",159
"nomad","3","user_5","resTime",162.0
"nomad","4","user_5","resTime",162.0
"nomad","5","user_5","resTime",162.0
"nomad","6","user_5","resTime",158
"swarm","1","user_5","resTime",164
"swarm","2","user_5","resTime",166.0
"swarm","3","user_5","resTime",168.0
"swarm","4","user_5","resTime",168.0
"swarm","5","user_5","resTime",166.0
"swarm","6","user_5","resTime",167.0
"k8s","1","user_5","throughput",27.935703185548142
"k8s","2","user_5","throughput",29.74647504270744
"k8s","3","user_5","throughput",29.757754870919364
"k8s","4","user_5","throughput",29.22999832971438
"k8s","5","user_5","throughput",29.171236827102916
"k8s","6","user_5","throughput",28.79805160610848
"nomad","1","user_5","throughput",28.23614452388213
"nomad","2","user_5","throughput",28.822567457072772
"nomad","3","user_5","throughput",27.514740618611523
"nomad","4","user_5","throughput",28.385083395375016
"nomad","5","user_5","throughput",28.413703523299237
"nomad","6","user_5","throughput",22.764299089428036
"swarm","1","user_5","throughput",29.372560540563228
"swarm","2","user_5","throughput",28.07456604742195
"swarm","3","user_5","throughput",26.76256330302027
"swarm","4","user_5","throughput",27.18512057377692
"swarm","5","user_5","throughput",28.402520520821074
"swarm","6","user_5","throughput",28.182509934334753
"k8s","1","user_5","errorPct",0.0
"k8s","2","user_5","errorPct",0.0
"k8s","3","user_5","errorPct",0.0
"k8s","4","user_5","errorPct",0.0
"k8s","5","user_5","errorPct",0.0
"k8s","6","user_5","errorPct",0.0
"nomad","1","user_5","errorPct",0.0
"nomad","2","user_5","errorPct",65.75714
"nomad","3","user_5","errorPct",3.0171428
"nomad","4","user_5","errorPct",0.0
"nomad","5","user_5","errorPct",0.0
"nomad","6","user_5","errorPct",80.75714
"swarm","1","user_5","errorPct",0.02
"swarm","2","user_5","errorPct",0.0
"swarm","3","user_5","errorPct",0.0
