"framework","runNumber","factor","factorValue"
"k8s",1,"resTime",493
"k8s",2,"resTime",493
"k8s",3,"resTime",493
"k8s",4,"resTime",494
"k8s",5,"resTime",488
"k8s",6,"resTime",489
"nomad",1,"resTime",477.0
"nomad",2,"resTime",476
"nomad",3,"resTime",471
"nomad",4,"resTime",470
"nomad",5,"resTime",469
"nomad",6,"resTime",471
"swarm",1,"resTime",489
"swarm",2,"resTime",488
"swarm",3,"resTime",487
"swarm",4,"resTime",489
"swarm",5,"resTime",488
"swarm",6,"resTime",489
"k8s",1,"throughput",30.093932282417732
"k8s",2,"throughput",30.196217167707864
"k8s",3,"throughput",30.17216108373195
"k8s",4,"throughput",30.142923712863993
"k8s",5,"throughput",30.471054022449053
"k8s",6,"throughput",30.423344820511392
"nomad",1,"throughput",30.96279593338748
"nomad",2,"throughput",31.237280147389615
"nomad",3,"throughput",31.44103155693077
"nomad",4,"throughput",31.550505150679694
"nomad",5,"throughput",31.625436267448436
"nomad",6,"throughput",31.528248391604357
"swarm",1,"throughput",30.516225179134032
"swarm",2,"throughput",30.57712521723783
"swarm",3,"throughput",30.67312588909993
"swarm",4,"throughput",30.55240529802018
"swarm",5,"throughput",30.592602176406412
"swarm",6,"throughput",30.54453855446084
"k8s",1,"errorPct",0.0
"k8s",2,"errorPct",0.0
"k8s",3,"errorPct",0.0
"k8s",4,"errorPct",0.0
"k8s",5,"errorPct",0.0
"k8s",6,"errorPct",0.0
"nomad",1,"errorPct",0.100014284
"nomad",2,"errorPct",0.0
"nomad",3,"errorPct",0.0
"nomad",4,"errorPct",0.0
"nomad",5,"errorPct",0.0
"nomad",6,"errorPct",0.0
"swarm",1,"errorPct",0.0
"swarm",2,"errorPct",0.0
"swarm",3,"errorPct",0.0
"swarm",4,"errorPct",0.0
"swarm",5,"errorPct",0.0
"swarm",6,"errorPct",0.0
