"framework","runNumber","caseNumber","factor","factorValue"
"k8s","1","replica1","resTime",497
"k8s","2","replica1","resTime",501
"k8s","3","replica1","resTime",492
"k8s","4","replica1","resTime",496
"k8s","5","replica1","resTime",499
"k8s","6","replica1","resTime",500
"nomad","1","replica1","resTime",480
"nomad","2","replica1","resTime",480
"nomad","3","replica1","resTime",479
"nomad","4","replica1","resTime",481
"nomad","5","replica1","resTime",484
"nomad","6","replica1","resTime",484
"swarm","1","replica1","resTime",492
"swarm","2","replica1","resTime",491
"swarm","3","replica1","resTime",491
"swarm","4","replica1","resTime",492
"swarm","5","replica1","resTime",491
"swarm","6","replica1","resTime",490
"k8s","1","replica1","throughput",29.870301690473852
"k8s","2","replica1","throughput",29.646102039519665
"k8s","3","replica1","throughput",30.233966580645944
"k8s","4","replica1","throughput",29.951933117192127
"k8s","5","replica1","throughput",29.711872522949335
"k8s","6","replica1","throughput",29.642034005117793
"nomad","1","replica1","throughput",30.585810700969624
"nomad","2","replica1","throughput",30.680117583008148
"nomad","3","replica1","throughput",30.57800690287911
"nomad","4","replica1","throughput",30.595865296009208
"nomad","5","replica1","throughput",30.225610277484837
"nomad","6","replica1","throughput",30.08575665742472
"swarm","1","replica1","throughput",30.245725452303024
"swarm","2","replica1","throughput",30.219502654083193
"swarm","3","replica1","throughput",30.277048621505312
"swarm","4","replica1","throughput",30.244575292528435
"swarm","5","replica1","throughput",30.292406772618676
"swarm","6","replica1","throughput",30.23707525960078
"k8s","1","replica1","errorPct",0.0
"k8s","2","replica1","errorPct",0.0
"k8s","3","replica1","errorPct",0.0
"k8s","4","replica1","errorPct",0.0
"k8s","5","replica1","errorPct",0.0
"k8s","6","replica1","errorPct",0.0
"nomad","1","replica1","errorPct",0.0
"nomad","2","replica1","errorPct",0.0
"nomad","3","replica1","errorPct",0.0
"nomad","4","replica1","errorPct",0.0
"nomad","5","replica1","errorPct",0.0
"nomad","6","replica1","errorPct",0.0
"swarm","1","replica1","errorPct",0.0
"swarm","2","replica1","errorPct",0.0
"swarm","3","replica1","errorPct",0.0
"swarm","4","replica1","errorPct",0.0
"swarm","5","replica1","errorPct",0.0
"swarm","6","replica1","errorPct",0.0
"k8s","1","replica10","resTime",493
"k8s","2","replica10","resTime",493
"k8s","3","replica10","resTime",493
"k8s","4","replica10","resTime",494
"k8s","5","replica10","resTime",488
"k8s","6","replica10","resTime",489
"nomad","1","replica10","resTime",477.0
"nomad","2","replica10","resTime",476
"nomad","3","replica10","resTime",471
"nomad","4","replica10","resTime",470
"nomad","5","replica10","resTime",469
"nomad","6","replica10","resTime",471
"swarm","1","replica10","resTime",489
"swarm","2","replica10","resTime",488
"swarm","3","replica10","resTime",487
"swarm","4","replica10","resTime",489
"swarm","5","replica10","resTime",488
"swarm","6","replica10","resTime",489
"k8s","1","replica10","throughput",30.093932282417732
"k8s","2","replica10","throughput",30.196217167707864
"k8s","3","replica10","throughput",30.17216108373195
"k8s","4","replica10","throughput",30.142923712863993
"k8s","5","replica10","throughput",30.471054022449053
"k8s","6","replica10","throughput",30.423344820511392
"nomad","1","replica10","throughput",30.96279593338748
"nomad","2","replica10","throughput",31.237280147389615
"nomad","3","replica10","throughput",31.44103155693077
"nomad","4","replica10","throughput",31.550505150679694
"nomad","5","replica10","throughput",31.625436267448436
"nomad","6","replica10","throughput",31.528248391604357
"swarm","1","replica10","throughput",30.516225179134032
"swarm","2","replica10","throughput",30.57712521723783
"swarm","3","replica10","throughput",30.67312588909993
"swarm","4","replica10","throughput",30.55240529802018
"swarm","5","replica10","throughput",30.592602176406412
"swarm","6","replica10","throughput",30.54453855446084
"k8s","1","replica10","errorPct",0.0
"k8s","2","replica10","errorPct",0.0
"k8s","3","replica10","errorPct",0.0
"k8s","4","replica10","errorPct",0.0
"k8s","5","replica10","errorPct",0.0
"k8s","6","replica10","errorPct",0.0
"nomad","1","replica10","errorPct",0.100014284
"nomad","2","replica10","errorPct",0.0
"nomad","3","replica10","errorPct",0.0
"nomad","4","replica10","errorPct",0.0
"nomad","5","replica10","errorPct",0.0
"nomad","6","replica10","errorPct",0.0
"swarm","1","replica10","errorPct",0.0
"swarm","2","replica10","errorPct",0.0
"swarm","3","replica10","errorPct",0.0
"swarm","4","replica10","errorPct",0.0
"swarm","5","replica10","errorPct",0.0
"swarm","6","replica10","errorPct",0.0
"k8s","1","replica20","resTime",489
"k8s","2","replica20","resTime",492
"k8s","3","replica20","resTime",490
"k8s","4","replica20","resTime",491
"k8s","5","replica20","resTime",493
"k8s","6","replica20","resTime",492
"nomad","1","replica20","resTime",475
"nomad","2","replica20","resTime",469
"nomad","3","replica20","resTime",472
"nomad","4","replica20","resTime",472
"nomad","5","replica20","resTime",474
"nomad","6","replica20","resTime",475
"swarm","1","replica20","resTime",491
"swarm","2","replica20","resTime",492
"swarm","3","replica20","resTime",489
"swarm","4","replica20","resTime",488
"swarm","5","replica20","resTime",492
"swarm","6","replica20","resTime",488
"k8s","1","replica20","throughput",30.54651152640905
"k8s","2","replica20","throughput",30.39760536881038
"k8s","3","replica20","throughput",30.494818625759432
"k8s","4","replica20","throughput",30.484352324023536
"k8s","5","replica20","throughput",30.32905661423901
"k8s","6","replica20","throughput",30.408910562436674
"nomad","1","replica20","throughput",31.094934390017468
"nomad","2","replica20","throughput",31.721068518233157
"nomad","3","replica20","throughput",31.539045960758017
"nomad","4","replica20","throughput",31.481194945016984
"nomad","5","replica20","throughput",31.30871222287831
"nomad","6","replica20","throughput",31.303363087703982
"swarm","1","replica20","throughput",30.483290157020082
"swarm","2","replica20","throughput",30.41464561440713
"swarm","3","replica20","throughput",30.59220102122615
"swarm","4","replica20","throughput",30.68603612174802
"swarm","5","replica20","throughput",30.350862738125695
"swarm","6","replica20","throughput",30.596988826131813
"k8s","1","replica20","errorPct",0.0
"k8s","2","replica20","errorPct",0.0
"k8s","3","replica20","errorPct",0.0
"k8s","4","replica20","errorPct",0.0
"k8s","5","replica20","errorPct",0.0
"k8s","6","replica20","errorPct",0.0
"nomad","1","replica20","errorPct",0.08001143
"nomad","2","replica20","errorPct",0.0
"nomad","3","replica20","errorPct",0.0
"nomad","4","replica20","errorPct",0.0
"nomad","5","replica20","errorPct",0.0
"nomad","6","replica20","errorPct",0.0
"swarm","1","replica20","errorPct",0.0
"swarm","2","replica20","errorPct",0.0
"swarm","3","replica20","errorPct",0.0
"swarm","4","replica20","errorPct",0.0
"swarm","5","replica20","errorPct",0.0
"swarm","6","replica20","errorPct",0.0
