"framework","runNumber","factor","factorValue"
"k8s",1,"resTime",54.0
"k8s",2,"resTime",54.0
"k8s",3,"resTime",54.0
"k8s",4,"resTime",54.0
"k8s",5,"resTime",54.0
"k8s",6,"resTime",54.0
"nomad",1,"resTime",56.0
"nomad",2,"resTime",55
"nomad",3,"resTime",56.0
"nomad",4,"resTime",56.0
"nomad",5,"resTime",56.0
"nomad",6,"resTime",57.0
"swarm",1,"resTime",54.0
"swarm",2,"resTime",54.0
"swarm",3,"resTime",54.0
"swarm",4,"resTime",54.0
"swarm",5,"resTime",54.0
"swarm",6,"resTime",54.0
"k8s",1,"throughput",16.49685122244024
"k8s",2,"throughput",16.028554641113793
"k8s",3,"throughput",16.515144151256074
"k8s",4,"throughput",16.85005139265675
"k8s",5,"throughput",16.756345029421748
"k8s",6,"throughput",16.32368277207848
"nomad",1,"throughput",15.276564745791417
"nomad",2,"throughput",15.724857462442753
"nomad",3,"throughput",15.728449664691924
"nomad",4,"throughput",15.511564757902146
"nomad",5,"throughput",15.526538180866426
"nomad",6,"throughput",15.645744580984609
"swarm",1,"throughput",17.064006111839447
"swarm",2,"throughput",16.936751395588313
"swarm",3,"throughput",17.003762203843046
"swarm",4,"throughput",17.125625268811152
"swarm",5,"throughput",17.018785335253053
"swarm",6,"throughput",16.70369318656355
"k8s",1,"errorPct",0.0
"k8s",2,"errorPct",0.0
"k8s",3,"errorPct",0.0
"k8s",4,"errorPct",0.0
"k8s",5,"errorPct",0.0
"k8s",6,"errorPct",0.0
"nomad",1,"errorPct",0.0
"nomad",2,"errorPct",0.025714286
"nomad",3,"errorPct",0.0
"nomad",4,"errorPct",0.0
"nomad",5,"errorPct",0.0
"nomad",6,"errorPct",0.0
"swarm",1,"errorPct",0.0
"swarm",2,"errorPct",0.0
"swarm",3,"errorPct",0.0
"swarm",4,"errorPct",0.0
"swarm",5,"errorPct",0.0
"swarm",6,"errorPct",0.0
