"framework","runNumber","caseNumber","factor","factorValue"
"k8s","1","replica1","resTime",54.0
"k8s","2","replica1","resTime",54.0
"k8s","3","replica1","resTime",54.0
"k8s","4","replica1","resTime",54.0
"k8s","5","replica1","resTime",54.0
"k8s","6","replica1","resTime",54.0
"nomad","1","replica1","resTime",54.0
"nomad","2","replica1","resTime",54.0
"nomad","3","replica1","resTime",54.0
"nomad","4","replica1","resTime",54.0
"nomad","5","replica1","resTime",55.0
"nomad","6","replica1","resTime",54.0
"swarm","1","replica1","resTime",53.0
"swarm","2","replica1","resTime",53.0
"swarm","3","replica1","resTime",53.0
"swarm","4","replica1","resTime",53.0
"swarm","5","replica1","resTime",53.0
"swarm","6","replica1","resTime",53.0
"k8s","1","replica1","throughput",14.868618760543443
"k8s","2","replica1","throughput",15.095452861429349
"k8s","3","replica1","throughput",14.726530433637414
"k8s","4","replica1","throughput",15.606710885680842
"k8s","5","replica1","throughput",15.733639375095807
"k8s","6","replica1","throughput",15.230999871624428
"nomad","1","replica1","throughput",16.176174251597743
"nomad","2","replica1","throughput",16.578657678192148
"nomad","3","replica1","throughput",16.2596867083565
"nomad","4","replica1","throughput",16.4548303154391
"nomad","5","replica1","throughput",15.666270832223638
"nomad","6","replica1","throughput",15.110474840195936
"swarm","1","replica1","throughput",17.048761894555845
"swarm","2","replica1","throughput",17.285341980613747
"swarm","3","replica1","throughput",17.276434301916055
"swarm","4","replica1","throughput",17.00135039297407
"swarm","5","replica1","throughput",17.3935773966983
"swarm","6","replica1","throughput",17.219672344074638
"k8s","1","replica1","errorPct",0.0
"k8s","2","replica1","errorPct",0.0
"k8s","3","replica1","errorPct",0.0
"k8s","4","replica1","errorPct",0.0
"k8s","5","replica1","errorPct",0.0
"k8s","6","replica1","errorPct",0.0
"nomad","1","replica1","errorPct",0.0
"nomad","2","replica1","errorPct",0.0
"nomad","3","replica1","errorPct",0.0
"nomad","4","replica1","errorPct",0.0
"nomad","5","replica1","errorPct",0.0
"nomad","6","replica1","errorPct",0.0
"swarm","1","replica1","errorPct",0.0
"swarm","2","replica1","errorPct",0.0
"swarm","3","replica1","errorPct",0.0
"swarm","4","replica1","errorPct",0.0
"swarm","5","replica1","errorPct",0.0
"swarm","6","replica1","errorPct",0.0
"k8s","1","replica10","resTime",54.0
"k8s","2","replica10","resTime",54.0
"k8s","3","replica10","resTime",54.0
"k8s","4","replica10","resTime",54.0
"k8s","5","replica10","resTime",54.0
"k8s","6","replica10","resTime",54.0
"nomad","1","replica10","resTime",55.0
"nomad","2","replica10","resTime",55.0
"nomad","3","replica10","resTime",55.0
"nomad","4","replica10","resTime",55.0
"nomad","5","replica10","resTime",56.0
"nomad","6","replica10","resTime",56.0
"swarm","1","replica10","resTime",54.0
"swarm","2","replica10","resTime",54.0
"swarm","3","replica10","resTime",54.0
"swarm","4","replica10","resTime",53.0
"swarm","5","replica10","resTime",54.0
"swarm","6","replica10","resTime",54.0
"k8s","1","replica10","throughput",15.059916955315074
"k8s","2","replica10","throughput",14.40648769418402
"k8s","3","replica10","throughput",14.28423921937857
"k8s","4","replica10","throughput",14.454191157916993
"k8s","5","replica10","throughput",14.630755268848489
"k8s","6","replica10","throughput",14.383073013409954
"nomad","1","replica10","throughput",15.555576296323952
"nomad","2","replica10","throughput",16.387531352381096
"nomad","3","replica10","throughput",16.469952688884476
"nomad","4","replica10","throughput",16.067118321013677
"nomad","5","replica10","throughput",16.073213026099225
"nomad","6","replica10","throughput",16.210540649320155
"swarm","1","replica10","throughput",17.04238636258505
"swarm","2","replica10","throughput",17.26981921459823
"swarm","3","replica10","throughput",17.421464040107196
"swarm","4","replica10","throughput",17.362385730698485
"swarm","5","replica10","throughput",17.199084812127026
"swarm","6","replica10","throughput",16.96597884972602
"k8s","1","replica10","errorPct",0.0
"k8s","2","replica10","errorPct",0.0
"k8s","3","replica10","errorPct",0.0
"k8s","4","replica10","errorPct",0.0
"k8s","5","replica10","errorPct",0.0
"k8s","6","replica10","errorPct",0.0
"nomad","1","replica10","errorPct",0.0
"nomad","2","replica10","errorPct",0.017142856
"nomad","3","replica10","errorPct",0.0
"nomad","4","replica10","errorPct",0.0
"nomad","5","replica10","errorPct",0.0
"nomad","6","replica10","errorPct",0.0
"swarm","1","replica10","errorPct",0.0
"swarm","2","replica10","errorPct",0.0
"swarm","3","replica10","errorPct",0.0
"swarm","4","replica10","errorPct",0.0
"swarm","5","replica10","errorPct",0.0
"swarm","6","replica10","errorPct",0.0
"k8s","1","replica20","resTime",54.0
"k8s","2","replica20","resTime",54.0
"k8s","3","replica20","resTime",54.0
"k8s","4","replica20","resTime",54.0
"k8s","5","replica20","resTime",54.0
"k8s","6","replica20","resTime",54.0
"nomad","1","replica20","resTime",56.0
"nomad","2","replica20","resTime",55
"nomad","3","replica20","resTime",56.0
"nomad","4","replica20","resTime",56.0
"nomad","5","replica20","resTime",56.0
"nomad","6","replica20","resTime",57.0
"swarm","1","replica20","resTime",54.0
"swarm","2","replica20","resTime",54.0
"swarm","3","replica20","resTime",54.0
"swarm","4","replica20","resTime",54.0
"swarm","5","replica20","resTime",54.0
"swarm","6","replica20","resTime",54.0
"k8s","1","replica20","throughput",16.49685122244024
"k8s","2","replica20","throughput",16.028554641113793
"k8s","3","replica20","throughput",16.515144151256074
"k8s","4","replica20","throughput",16.85005139265675
"k8s","5","replica20","throughput",16.756345029421748
"k8s","6","replica20","throughput",16.32368277207848
"nomad","1","replica20","throughput",15.276564745791417
"nomad","2","replica20","throughput",15.724857462442753
"nomad","3","replica20","throughput",15.728449664691924
"nomad","4","replica20","throughput",15.511564757902146
"nomad","5","replica20","throughput",15.526538180866426
"nomad","6","replica20","throughput",15.645744580984609
"swarm","1","replica20","throughput",17.064006111839447
"swarm","2","replica20","throughput",16.936751395588313
"swarm","3","replica20","throughput",17.003762203843046
"swarm","4","replica20","throughput",17.125625268811152
"swarm","5","replica20","throughput",17.018785335253053
"swarm","6","replica20","throughput",16.70369318656355
"k8s","1","replica20","errorPct",0.0
"k8s","2","replica20","errorPct",0.0
"k8s","3","replica20","errorPct",0.0
"k8s","4","replica20","errorPct",0.0
"k8s","5","replica20","errorPct",0.0
"k8s","6","replica20","errorPct",0.0
"nomad","1","replica20","errorPct",0.0
"nomad","2","replica20","errorPct",0.025714286
"nomad","3","replica20","errorPct",0.0
"nomad","4","replica20","errorPct",0.0
"nomad","5","replica20","errorPct",0.0
"nomad","6","replica20","errorPct",0.0
"swarm","1","replica20","errorPct",0.0
"swarm","2","replica20","errorPct",0.0
"swarm","3","replica20","errorPct",0.0
"swarm","4","replica20","errorPct",0.0
"swarm","5","replica20","errorPct",0.0
"swarm","6","replica20","errorPct",0.0
