"framework","runNumber","factor","factorValue"
"k8s",1,"resTime",46.0
"k8s",2,"resTime",43.0
"k8s",3,"resTime",42.0
"k8s",4,"resTime",44.0
"k8s",5,"resTime",41
"k8s",6,"resTime",48.0
"nomad",1,"resTime",59
"nomad",2,"resTime",57.0
"nomad",3,"resTime",58
"nomad",4,"resTime",59
"nomad",5,"resTime",58
"nomad",6,"resTime",59.0
"swarm",1,"resTime",33.0
"swarm",2,"resTime",33.0
"swarm",3,"resTime",33.0
"swarm",4,"resTime",27.0
"swarm",5,"resTime",28.0
"swarm",6,"resTime",33.0
"k8s",1,"throughput",380.5630157988018
"k8s",2,"throughput",392.20959680853446
"k8s",3,"throughput",412.0604198307021
"k8s",4,"throughput",412.1574677045184
"k8s",5,"throughput",227.70587583942893
"k8s",6,"throughput",373.44088430801406
"nomad",1,"throughput",249.27945298058003
"nomad",2,"throughput",251.55660693164322
"nomad",3,"throughput",264.6894778960642
"nomad",4,"throughput",127.80464744172517
"nomad",5,"throughput",130.24663843696604
"nomad",6,"throughput",226.38538187939506
"swarm",1,"throughput",520.6783695328771
"swarm",2,"throughput",524.3917056214791
"swarm",3,"throughput",506.54895433823
"swarm",4,"throughput",597.4939397043258
"swarm",5,"throughput",573.5730322348044
"swarm",6,"throughput",502.3971521258577
"k8s",1,"errorPct",0.0
"k8s",2,"errorPct",0.0
"k8s",3,"errorPct",0.0
"k8s",4,"errorPct",0.0
"k8s",5,"errorPct",0.117142856
"k8s",6,"errorPct",0.0
"nomad",1,"errorPct",64.16857
"nomad",2,"errorPct",67.79429
"nomad",3,"errorPct",68.814285
"nomad",4,"errorPct",79.917145
"nomad",5,"errorPct",79.96286
"nomad",6,"errorPct",76.17714
"swarm",1,"errorPct",0.0
"swarm",2,"errorPct",0.0
"swarm",3,"errorPct",0.0
"swarm",4,"errorPct",0.0
"swarm",5,"errorPct",0.0
"swarm",6,"errorPct",0.0
