"framework","runNumber","caseNumber","factor","factorValue"
"k8s","1","user_5","resTime",11.0
"k8s","2","user_5","resTime",10.0
"k8s","3","user_5","resTime",10.0
"k8s","4","user_5","resTime",11.0
"k8s","5","user_5","resTime",10.0
"k8s","6","user_5","resTime",11.0
"nomad","1","user_5","resTime",13.0
"nomad","2","user_5","resTime",14
"nomad","3","user_5","resTime",15.0
"nomad","4","user_5","resTime",15.0
"nomad","5","user_5","resTime",15
"nomad","6","user_5","resTime",13.0
"swarm","1","user_5","resTime",8.0
"swarm","2","user_5","resTime",8.0
"swarm","3","user_5","resTime",8.0
"swarm","4","user_5","resTime",8.0
"swarm","5","user_5","resTime",8.0
"swarm","6","user_5","resTime",8.0
"k8s","1","user_5","throughput",400.9393436050175
"k8s","2","user_5","throughput",408.92627643416284
"k8s","3","user_5","throughput",421.16409756567157
"k8s","4","user_5","throughput",409.77848545871774
"k8s","5","user_5","throughput",414.02969184361507
"k8s","6","user_5","throughput",386.1685460202573
"nomad","1","user_5","throughput",262.54779754915245
"nomad","2","user_5","throughput",213.61039139312615
"nomad","3","user_5","throughput",181.80246379943807
"nomad","4","user_5","throughput",171.89409368635438
"nomad","5","user_5","throughput",172.23835573264898
"nomad","6","user_5","throughput",261.2342149154158
"swarm","1","user_5","throughput",505.1534486243035
"swarm","2","user_5","throughput",535.0618378609756
"swarm","3","user_5","throughput",529.8374156044688
"swarm","4","user_5","throughput",542.4422299025155
"swarm","5","user_5","throughput",547.6108520824858
"swarm","6","user_5","throughput",535.7990294383296
"k8s","1","user_5","errorPct",0.0
"k8s","2","user_5","errorPct",0.0
"k8s","3","user_5","errorPct",0.0
"k8s","4","user_5","errorPct",0.0
"k8s","5","user_5","errorPct",0.0
"k8s","6","user_5","errorPct",0.0
"nomad","1","user_5","errorPct",50.17143
"nomad","2","user_5","errorPct",64.43143
"nomad","3","user_5","errorPct",75.96571
"nomad","4","user_5","errorPct",75.88571
"nomad","5","user_5","errorPct",78.14
"nomad","6","user_5","errorPct",53.01143
"swarm","1","user_5","errorPct",0.017142856
"swarm","2","user_5","errorPct",0.0
"swarm","3","user_5","errorPct",0.0
"swarm","4","user_5","errorPct",0.0
"swarm","5","user_5","errorPct",0.0
"swarm","6","user_5","errorPct",0.0
"k8s","1","user_10","resTime",21.0
"k8s","2","user_10","resTime",22.0
"k8s","3","user_10","resTime",21.0
"k8s","4","user_10","resTime",21.0
"k8s","5","user_10","resTime",20.0
"k8s","6","user_10","resTime",22.0
"nomad","1","user_10","resTime",28
"nomad","2","user_10","resTime",26
"nomad","3","user_10","resTime",28
"nomad","4","user_10","resTime",29
"nomad","5","user_10","resTime",29.0
"nomad","6","user_10","resTime",26.0
"swarm","1","user_10","resTime",17.0
"swarm","2","user_10","resTime",16.0
"swarm","3","user_10","resTime",16.0
"swarm","4","user_10","resTime",16.0
"swarm","5","user_10","resTime",16.0
"swarm","6","user_10","resTime",16.0
"k8s","1","user_10","throughput",424.1447424229571
"k8s","2","user_10","throughput",413.70180373986426
"k8s","3","user_10","throughput",425.1700680272109
"k8s","4","user_10","throughput",450.8508199044196
"k8s","5","user_10","throughput",457.2413973297102
"k8s","6","user_10","throughput",389.3344605492953
"nomad","1","user_10","throughput",201.26203103516008
"nomad","2","user_10","throughput",283.2149520473962
"nomad","3","user_10","throughput",213.63117214268638
"nomad","4","user_10","throughput",207.33926146118955
"nomad","5","user_10","throughput",196.95595696183915
"nomad","6","user_10","throughput",300.5454203498213
"swarm","1","user_10","throughput",526.8148772521337
"swarm","2","user_10","throughput",547.6365570871993
"swarm","3","user_10","throughput",550.4010064475547
"swarm","4","user_10","throughput",543.9512619669279
"swarm","5","user_10","throughput",542.8208070969944
"swarm","6","user_10","throughput",535.0863782296285
"k8s","1","user_10","errorPct",0.0
"k8s","2","user_10","errorPct",0.0
"k8s","3","user_10","errorPct",0.0
"k8s","4","user_10","errorPct",0.0
"k8s","5","user_10","errorPct",0.0
"k8s","6","user_10","errorPct",0.0
"nomad","1","user_10","errorPct",76.58
"nomad","2","user_10","errorPct",50.557144
"nomad","3","user_10","errorPct",77.02
"nomad","4","user_10","errorPct",76.88286
"nomad","5","user_10","errorPct",77.04
"nomad","6","user_10","errorPct",58.908573
"swarm","1","user_10","errorPct",0.0
"swarm","2","user_10","errorPct",0.0
"swarm","3","user_10","errorPct",0.0
"swarm","4","user_10","errorPct",0.0
"swarm","5","user_10","errorPct",0.0
"swarm","6","user_10","errorPct",0.0
"k8s","1","user_20","resTime",46.0
"k8s","2","user_20","resTime",43.0
"k8s","3","user_20","resTime",42.0
"k8s","4","user_20","resTime",44.0
"k8s","5","user_20","resTime",41
"k8s","6","user_20","resTime",48.0
"nomad","1","user_20","resTime",59
"nomad","2","user_20","resTime",57.0
