"framework","runNumber","factor","factorValue"
"k8s",1,"resTime",37
"k8s",2,"resTime",32
"k8s",3,"resTime",35
"k8s",4,"resTime",35
"k8s",5,"resTime",32
"k8s",6,"resTime",33
"nomad",1,"resTime",43
"nomad",2,"resTime",44.0
"nomad",3,"resTime",44.0
"nomad",4,"resTime",43
"nomad",5,"resTime",44.0
"nomad",6,"resTime",45
"swarm",1,"resTime",31.0
"swarm",2,"resTime",31
"swarm",3,"resTime",32
"swarm",4,"resTime",32
"swarm",5,"resTime",32
"swarm",6,"resTime",32
"k8s",1,"throughput",360.88108816037783
"k8s",2,"throughput",410.6960532338133
"k8s",3,"throughput",383.17930974071476
"k8s",4,"throughput",380.1407808120967
"k8s",5,"throughput",417.98549980292154
"k8s",6,"throughput",412.8667665553734
"nomad",1,"throughput",211.3793464599916
"nomad",2,"throughput",216.16289363854813
"nomad",3,"throughput",125.92337150843058
"nomad",4,"throughput",124.35015010617266
"nomad",5,"throughput",176.69327032044944
"nomad",6,"throughput",210.36332049248432
"swarm",1,"throughput",439.26512877827037
"swarm",2,"throughput",443.02515476446683
"swarm",3,"throughput",433.93348709173426
"swarm",4,"throughput",439.4755679463512
"swarm",5,"throughput",430.04608294930875
"swarm",6,"throughput",446.2794108270101
"k8s",1,"errorPct",0.0
"k8s",2,"errorPct",0.0
"k8s",3,"errorPct",0.0
"k8s",4,"errorPct",0.0
"k8s",5,"errorPct",0.0
"k8s",6,"errorPct",0.0
"nomad",1,"errorPct",76.93099
"nomad",2,"errorPct",75.57937
"nomad",3,"errorPct",80.17431
"nomad",4,"errorPct",80.58865
"nomad",5,"errorPct",79.05987
"nomad",6,"errorPct",76.12516
"swarm",1,"errorPct",0.042863265
"swarm",2,"errorPct",0.0
"swarm",3,"errorPct",0.0
"swarm",4,"errorPct",0.0
"swarm",5,"errorPct",0.0
"swarm",6,"errorPct",0.0
