"framework","runNumber","caseNumber","factor","factorValue"
"k8s","1","replica1","resTime",37
"k8s","2","replica1","resTime",32
"k8s","3","replica1","resTime",35
"k8s","4","replica1","resTime",35
"k8s","5","replica1","resTime",32
"k8s","6","replica1","resTime",33
"nomad","1","replica1","resTime",43
"nomad","2","replica1","resTime",44.0
"nomad","3","replica1","resTime",44.0
"nomad","4","replica1","resTime",43
"nomad","5","replica1","resTime",44.0
"nomad","6","replica1","resTime",45
"swarm","1","replica1","resTime",31.0
"swarm","2","replica1","resTime",31
"swarm","3","replica1","resTime",32
"swarm","4","replica1","resTime",32
"swarm","5","replica1","resTime",32
"swarm","6","replica1","resTime",32
"k8s","1","replica1","throughput",360.88108816037783
"k8s","2","replica1","throughput",410.6960532338133
"k8s","3","replica1","throughput",383.17930974071476
"k8s","4","replica1","throughput",380.1407808120967
"k8s","5","replica1","throughput",417.98549980292154
"k8s","6","replica1","throughput",412.8667665553734
"nomad","1","replica1","throughput",211.3793464599916
"nomad","2","replica1","throughput",216.16289363854813
"nomad","3","replica1","throughput",125.92337150843058
"nomad","4","replica1","throughput",124.35015010617266
"nomad","5","replica1","throughput",176.69327032044944
"nomad","6","replica1","throughput",210.36332049248432
"swarm","1","replica1","throughput",439.26512877827037
"swarm","2","replica1","throughput",443.02515476446683
"swarm","3","replica1","throughput",433.93348709173426
"swarm","4","replica1","throughput",439.4755679463512
"swarm","5","replica1","throughput",430.04608294930875
"swarm","6","replica1","throughput",446.2794108270101
"k8s","1","replica1","errorPct",0.0
"k8s","2","replica1","errorPct",0.0
"k8s","3","replica1","errorPct",0.0
"k8s","4","replica1","errorPct",0.0
"k8s","5","replica1","errorPct",0.0
"k8s","6","replica1","errorPct",0.0
"nomad","1","replica1","errorPct",76.93099
"nomad","2","replica1","errorPct",75.57937
"nomad","3","replica1","errorPct",80.17431
"nomad","4","replica1","errorPct",80.58865
"nomad","5","replica1","errorPct",79.05987
"nomad","6","replica1","errorPct",76.12516
"swarm","1","replica1","errorPct",0.042863265
"swarm","2","replica1","errorPct",0.0
"swarm","3","replica1","errorPct",0.0
"swarm","4","replica1","errorPct",0.0
"swarm","5","replica1","errorPct",0.0
"swarm","6","replica1","errorPct",0.0
"k8s","1","replica10","resTime",17
"k8s","2","replica10","resTime",17
"k8s","3","replica10","resTime",16
"k8s","4","replica10","resTime",17
"k8s","5","replica10","resTime",17
"k8s","6","replica10","resTime",16
"nomad","1","replica10","resTime",45
"nomad","2","replica10","resTime",26
"nomad","3","replica10","resTime",26.0
"nomad","4","replica10","resTime",26.0
"nomad","5","replica10","resTime",31.0
"nomad","6","replica10","resTime",26.0
"swarm","1","replica10","resTime",16.0
"swarm","2","replica10","resTime",16
"swarm","3","replica10","resTime",16
"swarm","4","replica10","resTime",17
"swarm","5","replica10","resTime",19
"swarm","6","replica10","resTime",18
"k8s","1","replica10","throughput",707.8133532897797
"k8s","2","replica10","throughput",684.753257934489
"k8s","3","replica10","throughput",718.2144689584402
"k8s","4","replica10","throughput",730.3405960430754
"k8s","5","replica10","throughput",713.1648665172203
"k8s","6","replica10","throughput",721.918514698298
"nomad","1","replica10","throughput",210.23516395565076
"nomad","2","replica10","throughput",435.4995271043855
"nomad","3","replica10","throughput",441.7054838754002
"nomad","4","replica10","throughput",116.70638072544347
"nomad","5","replica10","throughput",152.89451511477364
"nomad","6","replica10","throughput",18.37396421280173
"swarm","1","replica10","throughput",805.7494298942713
"swarm","2","replica10","throughput",824.7118987580421
"swarm","3","replica10","throughput",834.4858832506677
"swarm","4","replica10","throughput",757.1725301830455
"swarm","5","replica10","throughput",674.4853904864698
"swarm","6","replica10","throughput",696.362478608668
"k8s","1","replica10","errorPct",0.0
"k8s","2","replica10","errorPct",0.0
"k8s","3","replica10","errorPct",0.0
"k8s","4","replica10","errorPct",0.0
"k8s","5","replica10","errorPct",0.0
"k8s","6","replica10","errorPct",0.0
"nomad","1","replica10","errorPct",74.47921
"nomad","2","replica10","errorPct",0.0
"nomad","3","replica10","errorPct",8.141163
"nomad","4","replica10","errorPct",81.10587
"nomad","5","replica10","errorPct",78.73982
"nomad","6","replica10","errorPct",99.12559
"swarm","1","replica10","errorPct",0.042863265
"swarm","2","replica10","errorPct",0.0
"swarm","3","replica10","errorPct",0.0
"swarm","4","replica10","errorPct",0.0
"swarm","5","replica10","errorPct",0.0
"swarm","6","replica10","errorPct",0.0
"k8s","1","replica20","resTime",19
