"framework","runNumber","factor","factorValue"
"k8s",1,"resTime",4.0
"k8s",2,"resTime",4.0
"k8s",3,"resTime",4.0
"k8s",4,"resTime",4.0
"k8s",5,"resTime",4.0
"k8s",6,"resTime",4.0
"nomad",1,"resTime",6.0
"nomad",2,"resTime",6.0
"nomad",3,"resTime",6.0
"nomad",4,"resTime",7
"nomad",5,"resTime",6.0
"nomad",6,"resTime",6
"swarm",1,"resTime",4.0
"swarm",2,"resTime",4.0
"swarm",3,"resTime",4.0
"swarm",4,"resTime",4.0
"swarm",5,"resTime",4.0
"swarm",6,"resTime",4.0
"k8s",1,"throughput",195.1132493045606
"k8s",2,"throughput",212.93423374095028
"k8s",3,"throughput",220.72549316381614
"k8s",4,"throughput",215.3461843732503
"k8s",5,"throughput",219.90449861774314
"k8s",6,"throughput",214.11704249305652
"nomad",1,"throughput",131.47297804426566
"nomad",2,"throughput",128.2871900555815
"nomad",3,"throughput",101.04100168759837
"nomad",4,"throughput",66.49151030214473
"nomad",5,"throughput",80.29160273449601
"nomad",6,"throughput",93.75019666333125
"swarm",1,"throughput",218.4809952745682
"swarm",2,"throughput",212.44438509490195
"swarm",3,"throughput",221.0530969538883
"swarm",4,"throughput",223.6078812194935
"swarm",5,"throughput",225.00803600128575
"swarm",6,"throughput",216.96007934540046
"k8s",1,"errorPct",0.0
"k8s",2,"errorPct",0.0
"k8s",3,"errorPct",0.0
"k8s",4,"errorPct",0.0
"k8s",5,"errorPct",0.0
"k8s",6,"errorPct",0.0
"nomad",1,"errorPct",10.914286
"nomad",2,"errorPct",16.051428
"nomad",3,"errorPct",54.325714
"nomad",4,"errorPct",72.957146
"nomad",5,"errorPct",68.15429
"nomad",6,"errorPct",57.43714
"swarm",1,"errorPct",0.0
"swarm",2,"errorPct",0.0
"swarm",3,"errorPct",0.0
"swarm",4,"errorPct",0.0
"swarm",5,"errorPct",0.0
"swarm",6,"errorPct",0.0
