"framework","runNumber","caseNumber","factor","factorValue"
"k8s","1","replica1","resTime",4.0
"k8s","2","replica1","resTime",4.0
"k8s","3","replica1","resTime",4.0
"k8s","4","replica1","resTime",4.0
"k8s","5","replica1","resTime",4.0
"k8s","6","replica1","resTime",4.0
"nomad","1","replica1","resTime",6
"nomad","2","replica1","resTime",6.0
"nomad","3","replica1","resTime",6
"nomad","4","replica1","resTime",6.0
"nomad","5","replica1","resTime",6
"nomad","6","replica1","resTime",6.0
"swarm","1","replica1","resTime",4.0
"swarm","2","replica1","resTime",4.0
"swarm","3","replica1","resTime",4.0
"swarm","4","replica1","resTime",4.0
"swarm","5","replica1","resTime",4.0
"swarm","6","replica1","resTime",4.0
"k8s","1","replica1","throughput",208.11035794981566
"k8s","2","replica1","throughput",214.86761085633952
"k8s","3","replica1","throughput",220.23243960911887
"k8s","4","replica1","throughput",215.4800896397173
"k8s","5","replica1","throughput",220.0690388013154
"k8s","6","replica1","throughput",215.9200972257352
"nomad","1","replica1","throughput",106.25835032698122
"nomad","2","replica1","throughput",76.23774531296586
"nomad","3","replica1","throughput",106.54897996567095
"nomad","4","replica1","throughput",76.19872480005897
"nomad","5","replica1","throughput",88.93921870984323
"nomad","6","replica1","throughput",112.18149846567597
"swarm","1","replica1","throughput",226.47858159699754
"swarm","2","replica1","throughput",229.56690563488365
"swarm","3","replica1","throughput",233.70414390833454
"swarm","4","replica1","throughput",236.06221250994835
"swarm","5","replica1","throughput",233.54040582649952
"swarm","6","replica1","throughput",231.80189547721386
"k8s","1","replica1","errorPct",0.0
"k8s","2","replica1","errorPct",0.0
"k8s","3","replica1","errorPct",0.0
"k8s","4","replica1","errorPct",0.0
"k8s","5","replica1","errorPct",0.0
"k8s","6","replica1","errorPct",0.0
"nomad","1","replica1","errorPct",56.825714
"nomad","2","replica1","errorPct",75.16
"nomad","3","replica1","errorPct",55.12857
"nomad","4","replica1","errorPct",76.37143
"nomad","5","replica1","errorPct",52.54
"nomad","6","replica1","errorPct",53.52
"swarm","1","replica1","errorPct",0.0
"swarm","2","replica1","errorPct",0.0
"swarm","3","replica1","errorPct",0.0
"swarm","4","replica1","errorPct",0.0
"swarm","5","replica1","errorPct",0.0
"swarm","6","replica1","errorPct",0.0
"k8s","1","replica10","resTime",4.0
"k8s","2","replica10","resTime",4.0
"k8s","3","replica10","resTime",4.0
"k8s","4","replica10","resTime",4.0
"k8s","5","replica10","resTime",4.0
"k8s","6","replica10","resTime",4.0
"nomad","1","replica10","resTime",6.0
"nomad","2","replica10","resTime",6.0
"nomad","3","replica10","resTime",6.0
"nomad","4","replica10","resTime",7
"nomad","5","replica10","resTime",6.0
"nomad","6","replica10","resTime",6
"swarm","1","replica10","resTime",4.0
"swarm","2","replica10","resTime",4.0
"swarm","3","replica10","resTime",4.0
"swarm","4","replica10","resTime",4.0
"swarm","5","replica10","resTime",4.0
"swarm","6","replica10","resTime",4.0
"k8s","1","replica10","throughput",195.1132493045606
"k8s","2","replica10","throughput",212.93423374095028
"k8s","3","replica10","throughput",220.72549316381614
"k8s","4","replica10","throughput",215.3461843732503
"k8s","5","replica10","throughput",219.90449861774314
"k8s","6","replica10","throughput",214.11704249305652
"nomad","1","replica10","throughput",131.47297804426566
"nomad","2","replica10","throughput",128.2871900555815
"nomad","3","replica10","throughput",101.04100168759837
"nomad","4","replica10","throughput",66.49151030214473
"nomad","5","replica10","throughput",80.29160273449601
"nomad","6","replica10","throughput",93.75019666333125
"swarm","1","replica10","throughput",218.4809952745682
"swarm","2","replica10","throughput",212.44438509490195
"swarm","3","replica10","throughput",221.0530969538883
"swarm","4","replica10","throughput",223.6078812194935
"swarm","5","replica10","throughput",225.00803600128575
"swarm","6","replica10","throughput",216.96007934540046
"k8s","1","replica10","errorPct",0.0
"k8s","2","replica10","errorPct",0.0
"k8s","3","replica10","errorPct",0.0
"k8s","4","replica10","errorPct",0.0
"k8s","5","replica10","errorPct",0.0
"k8s","6","replica10","errorPct",0.0
"nomad","1","replica10","errorPct",10.914286
"nomad","2","replica10","errorPct",16.051428
"nomad","3","replica10","errorPct",54.325714
"nomad","4","replica10","errorPct",72.957146
"nomad","5","replica10","errorPct",68.15429
"nomad","6","replica10","errorPct",57.43714
"swarm","1","replica10","errorPct",0.0
"swarm","2","replica10","errorPct",0.0
"swarm","3","replica10","errorPct",0.0
"swarm","4","replica10","errorPct",0.0
"swarm","5","replica10","errorPct",0.0
"swarm","6","replica10","errorPct",0.0
"k8s","1","replica20","resTime",4.0
"k8s","2","replica20","resTime",4.0
"k8s","3","replica20","resTime",4.0
"k8s","4","replica20","resTime",4.0
"k8s","5","replica20","resTime",4.0
"k8s","6","replica20","resTime",4.0
"nomad","1","replica20","resTime",7.0
"nomad","2","replica20","resTime",7.0
"nomad","3","replica20","resTime",7.0
"nomad","4","replica20","resTime",7.0
"nomad","5","replica20","resTime",7.0
"nomad","6","replica20","resTime",7.0
"swarm","1","replica20","resTime",4
"swarm","2","replica20","resTime",4.0
"swarm","3","replica20","resTime",4.0
"swarm","4","replica20","resTime",4.0
"swarm","5","replica20","resTime",4.0
"swarm","6","replica20","resTime",4.0
"k8s","1","replica20","throughput",215.73510195024534
"k8s","2","replica20","throughput",221.3522726554051
"k8s","3","replica20","throughput",208.65127813811523
"k8s","4","replica20","throughput",212.34513972310194
"k8s","5","replica20","throughput",217.87170469046654
"k8s","6","replica20","throughput",204.9264314111234
"nomad","1","replica20","throughput",125.33976027875563
"nomad","2","replica20","throughput",111.36140913545367
"nomad","3","replica20","throughput",98.43487905883636
"nomad","4","replica20","throughput",118.77411538735632
"nomad","5","replica20","throughput",111.78661520661022
"nomad","6","replica20","throughput",100.80283758271516
"swarm","1","replica20","throughput",207.67099228035198
"swarm","2","replica20","throughput",210.3706731260481
"swarm","3","replica20","throughput",205.65129765968823
"swarm","4","replica20","throughput",210.72531653952908
"swarm","5","replica20","throughput",203.80236993041603
"swarm","6","replica20","throughput",216.22289491567307
"k8s","1","replica20","errorPct",0.0
"k8s","2","replica20","errorPct",0.0
"k8s","3","replica20","errorPct",0.0
"k8s","4","replica20","errorPct",0.0
"k8s","5","replica20","errorPct",0.0
"k8s","6","replica20","errorPct",0.0
"nomad","1","replica20","errorPct",0.0
"nomad","2","replica20","errorPct",0.0
"nomad","3","replica20","errorPct",38.131428
"nomad","4","replica20","errorPct",0.0
"nomad","5","replica20","errorPct",21.88
"nomad","6","replica20","errorPct",39.58857
"swarm","1","replica20","errorPct",0.0028571428
"swarm","2","replica20","errorPct",0.0
"swarm","3","replica20","errorPct",0.0
"swarm","4","replica20","errorPct",0.0
"swarm","5","replica20","errorPct",0.0
"swarm","6","replica20","errorPct",0.0
