"framework","runNumber","factor","factorValue"
"k8s",1,"resTime",60.0
"k8s",2,"resTime",60.0
"k8s",3,"resTime",58.0
"k8s",4,"resTime",60.0
"k8s",5,"resTime",59
"k8s",6,"resTime",55.0
"nomad",1,"resTime",55.0
"nomad",2,"resTime",84.0
"nomad",3,"resTime",86.0
"nomad",4,"resTime",87.0
"nomad",5,"resTime",79
"nomad",6,"resTime",89
"swarm",1,"resTime",29.0
"swarm",2,"resTime",29.0
"swarm",3,"resTime",30.0
"swarm",4,"resTime",29.0
"swarm",5,"resTime",30.0
"swarm",6,"resTime",41.0
"k8s",1,"throughput",742.9420505200594
"k8s",2,"throughput",734.1373885684321
"k8s",3,"throughput",791.6760913820402
"k8s",4,"throughput",782.2103028271316
"k8s",5,"throughput",523.6595047571042
"k8s",6,"throughput",733.8757024238867
"nomad",1,"throughput",527.9791726580593
"nomad",2,"throughput",566.0499417777203
"nomad",3,"throughput",577.3100649886188
"nomad",4,"throughput",562.5562556255626
"nomad",5,"throughput",535.7589803012746
"nomad",6,"throughput",450.28751325130906
"swarm",1,"throughput",1559.158945117605
"swarm",2,"throughput",1575.9376829213381
"swarm",3,"throughput",1591.777333090777
"swarm",4,"throughput",1607.052665411635
"swarm",5,"throughput",1585.0731398034509
"swarm",6,"throughput",657.5746406192408
"k8s",1,"errorPct",0.0
"k8s",2,"errorPct",0.0
"k8s",3,"errorPct",0.0
"k8s",4,"errorPct",0.0
"k8s",5,"errorPct",76.25429
"k8s",6,"errorPct",0.0
"nomad",1,"errorPct",0.33714285
"nomad",2,"errorPct",0.0
"nomad",3,"errorPct",0.0
"nomad",4,"errorPct",0.0
"nomad",5,"errorPct",0.92285717
"nomad",6,"errorPct",59.951427
"swarm",1,"errorPct",0.0
"swarm",2,"errorPct",0.0
"swarm",3,"errorPct",0.0
"swarm",4,"errorPct",0.0
"swarm",5,"errorPct",0.0
"swarm",6,"errorPct",3.1542857
