"framework","runNumber","caseNumber","factor","factorValue"
"k8s","1","user_5","resTime",7.0
"k8s","2","user_5","resTime",6.0
"k8s","3","user_5","resTime",7.0
"k8s","4","user_5","resTime",7.0
"k8s","5","user_5","resTime",6.0
"k8s","6","user_5","resTime",6.0
"nomad","1","user_5","resTime",9
"nomad","2","user_5","resTime",9
"nomad","3","user_5","resTime",11.0
"nomad","4","user_5","resTime",9
"nomad","5","user_5","resTime",11.0
"nomad","6","user_5","resTime",11
"swarm","1","user_5","resTime",5.0
"swarm","2","user_5","resTime",3.0
"swarm","3","user_5","resTime",3.0
"swarm","4","user_5","resTime",3.0
"swarm","5","user_5","resTime",3.0
"swarm","6","user_5","resTime",3.0
"k8s","1","user_5","throughput",664.3635397289396
"k8s","2","user_5","throughput",691.5902624091053
"k8s","3","user_5","throughput",674.373795761079
"k8s","4","user_5","throughput",693.83871223535
"k8s","5","user_5","throughput",706.6139061616733
"k8s","6","user_5","throughput",723.6787693325615
"nomad","1","user_5","throughput",471.24351980941805
"nomad","2","user_5","throughput",463.776801171927
"nomad","3","user_5","throughput",396.62637248450005
"nomad","4","user_5","throughput",486.0294631013056
"nomad","5","user_5","throughput",381.4868597757373
"nomad","6","user_5","throughput",394.67511671440496
"swarm","1","user_5","throughput",793.2089670648503
"swarm","2","user_5","throughput",1265.4566490707932
"swarm","3","user_5","throughput",1337.0516101921535
"swarm","4","user_5","throughput",1377.4104683195592
"swarm","5","user_5","throughput",1307.5313807531381
"swarm","6","user_5","throughput",1322.351518815173
"k8s","1","user_5","errorPct",0.0
"k8s","2","user_5","errorPct",0.0
"k8s","3","user_5","errorPct",0.0
"k8s","4","user_5","errorPct",0.0
"k8s","5","user_5","errorPct",0.0
"k8s","6","user_5","errorPct",0.0
"nomad","1","user_5","errorPct",0.5285714
"nomad","2","user_5","errorPct",0.5
"nomad","3","user_5","errorPct",34.565716
"nomad","4","user_5","errorPct",0.55142856
"nomad","5","user_5","errorPct",0.17142858
"nomad","6","user_5","errorPct",0.0028571428
"swarm","1","user_5","errorPct",0.017142856
"swarm","2","user_5","errorPct",0.0
"swarm","3","user_5","errorPct",0.0
"swarm","4","user_5","errorPct",0.0
"swarm","5","user_5","errorPct",0.0
"swarm","6","user_5","errorPct",0.0
"k8s","1","user_10","resTime",12.0
"k8s","2","user_10","resTime",12.0
"k8s","3","user_10","resTime",12.0
"k8s","4","user_10","resTime",12.0
"k8s","5","user_10","resTime",12.0
"k8s","6","user_10","resTime",12.0
"nomad","1","user_10","resTime",18.0
"nomad","2","user_10","resTime",17.0
"nomad","3","user_10","resTime",16.0
"nomad","4","user_10","resTime",21.0
"nomad","5","user_10","resTime",21.0
"nomad","6","user_10","resTime",17
"swarm","1","user_10","resTime",6.0
"swarm","2","user_10","resTime",6.0
"swarm","3","user_10","resTime",6.0
"swarm","4","user_10","resTime",6.0
"swarm","5","user_10","resTime",6.0
"swarm","6","user_10","resTime",6.0
"k8s","1","user_10","throughput",718.9811010682005
"k8s","2","user_10","throughput",748.8713439031175
"k8s","3","user_10","throughput",758.8075880758807
"k8s","4","user_10","throughput",741.2113511224057
"k8s","5","user_10","throughput",722.8865894210711
"k8s","6","user_10","throughput",711.3387395077535
"nomad","1","user_10","throughput",542.3833875716721
"nomad","2","user_10","throughput",551.3287021722351
"nomad","3","user_10","throughput",497.6863579558888
"nomad","4","user_10","throughput",396.65332193783456
"nomad","5","user_10","throughput",407.61461676629074
"nomad","6","user_10","throughput",536.5812229771464
"swarm","1","user_10","throughput",1544.912822776429
"swarm","2","user_10","throughput",1536.7053038285915
"swarm","3","user_10","throughput",1529.5197308045274
"swarm","4","user_10","throughput",1527.3171583173328
"swarm","5","user_10","throughput",1513.1209199775194
"swarm","6","user_10","throughput",1546.6878783861416
"k8s","1","user_10","errorPct",0.0
"k8s","2","user_10","errorPct",0.0
"k8s","3","user_10","errorPct",0.0
"k8s","4","user_10","errorPct",0.0
"k8s","5","user_10","errorPct",0.0
"k8s","6","user_10","errorPct",0.0
"nomad","1","user_10","errorPct",0.0
"nomad","2","user_10","errorPct",0.0
"nomad","3","user_10","errorPct",15.8
"nomad","4","user_10","errorPct",24.417143
"nomad","5","user_10","errorPct",20.897142
"nomad","6","user_10","errorPct",0.7171429
"swarm","1","user_10","errorPct",0.0
"swarm","2","user_10","errorPct",0.0
"swarm","3","user_10","errorPct",0.0
"swarm","4","user_10","errorPct",0.0
"swarm","5","user_10","errorPct",0.0
"swarm","6","user_10","errorPct",0.0
"k8s","1","user_20","resTime",23.0
"k8s","2","user_20","resTime",23.0
"k8s","3","user_20","resTime",23.0
"k8s","4","user_20","resTime",23.0
"k8s","5","user_20","resTime",23.0
"k8s","6","user_20","resTime",24.0
"nomad","1","user_20","resTime",32
"nomad","2","user_20","resTime",31.0
"nomad","3","user_20","resTime",32
"nomad","4","user_20","resTime",34.0
"nomad","5","user_20","resTime",24.0
"nomad","6","user_20","resTime",33.0
"swarm","1","user_20","resTime",11.0
"swarm","2","user_20","resTime",11.0
"swarm","3","user_20","resTime",12.0
"swarm","4","user_20","resTime",11.0
"swarm","5","user_20","resTime",12.0
"swarm","6","user_20","resTime",11.0
"k8s","1","user_20","throughput",773.3268521178109
"k8s","2","user_20","throughput",783.418390187125
"k8s","3","user_20","throughput",762.8263807157491
"k8s","4","user_20","throughput",757.7397705130982
"k8s","5","user_20","throughput",791.0855954614289
"k8s","6","user_20","throughput",765.0942158877278
"nomad","1","user_20","throughput",561.2267994567678
"nomad","2","user_20","throughput",563.5263330062153
"nomad","3","user_20","throughput",556.1561657898113
"nomad","4","user_20","throughput",429.5017509369048
"nomad","5","user_20","throughput",68.87665456249267
"nomad","6","user_20","throughput",547.9256985538433
"swarm","1","user_20","throughput",1595.2597994530538
"swarm","2","user_20","throughput",1588.9590048576747
"swarm","3","user_20","throughput",1524.3238534907018
"swarm","4","user_20","throughput",1614.5400867238675
"swarm","5","user_20","throughput",1570.9861304367341
"swarm","6","user_20","throughput",1654.5334215751159
"k8s","1","user_20","errorPct",0.0
"k8s","2","user_20","errorPct",0.0
"k8s","3","user_20","errorPct",0.0
"k8s","4","user_20","errorPct",0.0
"k8s","5","user_20","errorPct",0.0
