"framework","runNumber","factor","factorValue"
"k8s",1,"resTime",15
"k8s",2,"resTime",14
"k8s",3,"resTime",13
"k8s",4,"resTime",13
"k8s",5,"resTime",13
"k8s",6,"resTime",13
"nomad",1,"resTime",26.0
"nomad",2,"resTime",26
"nomad",3,"resTime",26
"nomad",4,"resTime",25
"nomad",5,"resTime",25
"nomad",6,"resTime",25
"swarm",1,"resTime",13
"swarm",2,"resTime",11
"swarm",3,"resTime",11
"swarm",4,"resTime",11
"swarm",5,"resTime",10
"swarm",6,"resTime",10
"k8s",1,"throughput",746.4326088347589
"k8s",2,"throughput",790.6866400054226
"k8s",3,"throughput",843.8223379629629
"k8s",4,"throughput",867.9746019147775
"k8s",5,"throughput",871.6933193842475
"k8s",6,"throughput",901.7005926307652
"nomad",1,"throughput",460.58529927339396
"nomad",2,"throughput",466.46938857120006
"nomad",3,"throughput",474.98506976491666
"nomad",4,"throughput",499.949997857051
"nomad",5,"throughput",515.6332881475806
"nomad",6,"throughput",517.585635685973
"swarm",1,"throughput",1006.5868952424784
"swarm",2,"throughput",1048.0055103018685
"swarm",3,"throughput",1203.404401650619
"swarm",4,"throughput",1181.3056980826357
"swarm",5,"throughput",1251.83330352352
"swarm",6,"throughput",1236.6598346172875
"k8s",1,"errorPct",0.0
"k8s",2,"errorPct",0.0
"k8s",3,"errorPct",0.0
"k8s",4,"errorPct",0.0
"k8s",5,"errorPct",0.0
"k8s",6,"errorPct",0.0
"nomad",1,"errorPct",1.6430919
"nomad",2,"errorPct",0.0
"nomad",3,"errorPct",0.0
"nomad",4,"errorPct",0.0
"nomad",5,"errorPct",0.0
"nomad",6,"errorPct",0.0
"swarm",1,"errorPct",0.0
"swarm",2,"errorPct",0.0
"swarm",3,"errorPct",0.0
"swarm",4,"errorPct",0.0
"swarm",5,"errorPct",0.0
"swarm",6,"errorPct",0.0
