"framework","runNumber","caseNumber","factor","factorValue"
"k8s","1","replica1","resTime",18
"k8s","2","replica1","resTime",18
"k8s","3","replica1","resTime",18
"k8s","4","replica1","resTime",18
"k8s","5","replica1","resTime",18
"k8s","6","replica1","resTime",17
"nomad","1","replica1","resTime",25
"nomad","2","replica1","resTime",24
"nomad","3","replica1","resTime",24
"nomad","4","replica1","resTime",24
"nomad","5","replica1","resTime",24
"nomad","6","replica1","resTime",24
"swarm","1","replica1","resTime",13
"swarm","2","replica1","resTime",13
"swarm","3","replica1","resTime",12
"swarm","4","replica1","resTime",12
"swarm","5","replica1","resTime",12
"swarm","6","replica1","resTime",12
"k8s","1","replica1","throughput",738.9459014316484
"k8s","2","replica1","throughput",679.6201351666278
"k8s","3","replica1","throughput",780.4589754454828
"k8s","4","replica1","throughput",783.3415409410395
"k8s","5","replica1","throughput",731.714966754485
"k8s","6","replica1","throughput",764.7675867042549
"nomad","1","replica1","throughput",530.0345328971283
"nomad","2","replica1","throughput",548.5539619092406
"nomad","3","replica1","throughput",554.7541295456707
"nomad","4","replica1","throughput",539.089578679812
"nomad","5","replica1","throughput",557.707018550392
"nomad","6","replica1","throughput",544.4658804493263
"swarm","1","replica1","throughput",1092.637692019483
"swarm","2","replica1","throughput",1113.7101393927821
"swarm","3","replica1","throughput",1082.6990904028214
"swarm","4","replica1","throughput",1131.1697966835827
"swarm","5","replica1","throughput",1118.801751974168
"swarm","6","replica1","throughput",1119.3743402744458
"k8s","1","replica1","errorPct",0.0
"k8s","2","replica1","errorPct",0.0
"k8s","3","replica1","errorPct",0.0
"k8s","4","replica1","errorPct",0.0
"k8s","5","replica1","errorPct",0.0
"k8s","6","replica1","errorPct",0.0
"nomad","1","replica1","errorPct",0.0
"nomad","2","replica1","errorPct",0.0
"nomad","3","replica1","errorPct",0.0
"nomad","4","replica1","errorPct",0.0
"nomad","5","replica1","errorPct",0.0
"nomad","6","replica1","errorPct",0.0
"swarm","1","replica1","errorPct",0.0
"swarm","2","replica1","errorPct",0.0
"swarm","3","replica1","errorPct",0.0
"swarm","4","replica1","errorPct",0.0
"swarm","5","replica1","errorPct",0.0
"swarm","6","replica1","errorPct",0.0
"k8s","1","replica10","resTime",14
"k8s","2","replica10","resTime",12
"k8s","3","replica10","resTime",12
"k8s","4","replica10","resTime",12
"k8s","5","replica10","resTime",12
"k8s","6","replica10","resTime",12
"nomad","1","replica10","resTime",24.0
"nomad","2","replica10","resTime",22
"nomad","3","replica10","resTime",21
"nomad","4","replica10","resTime",21
"nomad","5","replica10","resTime",21
"nomad","6","replica10","resTime",20
"swarm","1","replica10","resTime",11
"swarm","2","replica10","resTime",10
"swarm","3","replica10","resTime",9
"swarm","4","replica10","resTime",10
"swarm","5","replica10","resTime",10
"swarm","6","replica10","resTime",10
"k8s","1","replica10","throughput",862.7958579881656
"k8s","2","replica10","throughput",944.4324499379284
"k8s","3","replica10","throughput",964.2355275121924
"k8s","4","replica10","throughput",967.113444797568
"k8s","5","replica10","throughput",972.9752272916841
"k8s","6","replica10","throughput",981.104039922622
"nomad","1","replica10","throughput",550.9911668844767
"nomad","2","replica10","throughput",544.8049319674939
"nomad","3","replica10","throughput",606.7620286085826
"nomad","4","replica10","throughput",604.1641489563731
"nomad","5","replica10","throughput",610.9782286083419
"nomad","6","replica10","throughput",630.0070210812465
"swarm","1","replica10","throughput",1188.5677410589954
"swarm","2","replica10","throughput",1306.027243888785
"swarm","3","replica10","throughput",1343.7392005529318
"swarm","4","replica10","throughput",1337.575966058938
"swarm","5","replica10","throughput",1284.8803054780437
"swarm","6","replica10","throughput",1341.8328220858896
"k8s","1","replica10","errorPct",0.0
"k8s","2","replica10","errorPct",0.0
"k8s","3","replica10","errorPct",0.0
"k8s","4","replica10","errorPct",0.0
"k8s","5","replica10","errorPct",0.0
"k8s","6","replica10","errorPct",0.0
"nomad","1","replica10","errorPct",0.002857551
"nomad","2","replica10","errorPct",0.0
"nomad","3","replica10","errorPct",0.0
"nomad","4","replica10","errorPct",0.0
"nomad","5","replica10","errorPct",0.0
"nomad","6","replica10","errorPct",0.0
"swarm","1","replica10","errorPct",0.0
"swarm","2","replica10","errorPct",0.0
