"framework","runNumber","factor","factorValue"
"k8s",1,"resTime",3.0
"k8s",2,"resTime",3.0
"k8s",3,"resTime",3.0
"k8s",4,"resTime",3.0
"k8s",5,"resTime",3.0
"k8s",6,"resTime",3.0
"nomad",1,"resTime",5.0
"nomad",2,"resTime",5.0
"nomad",3,"resTime",5.0
"nomad",4,"resTime",5.0
"nomad",5,"resTime",5.0
"nomad",6,"resTime",5.0
"swarm",1,"resTime",3.0
"swarm",2,"resTime",3.0
"swarm",3,"resTime",3.0
"swarm",4,"resTime",2.0
"swarm",5,"resTime",3.0
"swarm",6,"resTime",2.0
"k8s",1,"throughput",308.47332146445507
"k8s",2,"throughput",315.4915358127963
"k8s",3,"throughput",308.72637140664557
"k8s",4,"throughput",296.8592293534406
"k8s",5,"throughput",308.35917676910066
"k8s",6,"throughput",315.4687866169127
"nomad",1,"throughput",176.98326736782434
"nomad",2,"throughput",171.7605951749995
"nomad",3,"throughput",177.61718928410124
"nomad",4,"throughput",177.81029165968127
"nomad",5,"throughput",174.678591391839
"nomad",6,"throughput",176.87487366080452
"swarm",1,"throughput",347.1017007983339
"swarm",2,"throughput",364.3366470618852
"swarm",3,"throughput",363.5494894726455
"swarm",4,"throughput",364.72010337209787
"swarm",5,"throughput",361.34254240612836
"swarm",6,"throughput",373.35722819593786
"k8s",1,"errorPct",0.0
"k8s",2,"errorPct",0.0
"k8s",3,"errorPct",0.0
"k8s",4,"errorPct",0.0
"k8s",5,"errorPct",0.0
"k8s",6,"errorPct",0.0
"nomad",1,"errorPct",0.09142857
"nomad",2,"errorPct",0.0
"nomad",3,"errorPct",0.0
"nomad",4,"errorPct",0.0
"nomad",5,"errorPct",0.0
"nomad",6,"errorPct",0.0
"swarm",1,"errorPct",0.0
"swarm",2,"errorPct",0.0
"swarm",3,"errorPct",0.0
"swarm",4,"errorPct",0.0
"swarm",5,"errorPct",0.0
"swarm",6,"errorPct",0.0
