"framework","runNumber","caseNumber","factor","factorValue"
"k8s","1","replica1","resTime",3.0
"k8s","2","replica1","resTime",3.0
"k8s","3","replica1","resTime",3.0
"k8s","4","replica1","resTime",3.0
"k8s","5","replica1","resTime",3.0
"k8s","6","replica1","resTime",3.0
"nomad","1","replica1","resTime",5.0
"nomad","2","replica1","resTime",5.0
"nomad","3","replica1","resTime",5.0
"nomad","4","replica1","resTime",5.0
"nomad","5","replica1","resTime",5.0
"nomad","6","replica1","resTime",5.0
"swarm","1","replica1","resTime",2.0
"swarm","2","replica1","resTime",2.0
"swarm","3","replica1","resTime",2.0
"swarm","4","replica1","resTime",2.0
"swarm","5","replica1","resTime",2.0
"swarm","6","replica1","resTime",2.0
"k8s","1","replica1","throughput",310.9729009329187
"k8s","2","replica1","throughput",310.9784269822653
"k8s","3","replica1","throughput",308.6583064359666
"k8s","4","replica1","throughput",308.26140567200986
"k8s","5","replica1","throughput",319.22655964976286
"k8s","6","replica1","throughput",315.10240828269184
"nomad","1","replica1","throughput",197.23421281008035
"nomad","2","replica1","throughput",198.80038169673284
"nomad","3","replica1","throughput",200.97039993109587
"nomad","4","replica1","throughput",200.89772583774354
"nomad","5","replica1","throughput",204.85086856768274
"nomad","6","replica1","throughput",202.30629172567268
"swarm","1","replica1","throughput",378.5830178474851
"swarm","2","replica1","throughput",381.72934298926793
"swarm","3","replica1","throughput",367.8982498554685
"swarm","4","replica1","throughput",377.5864673010119
"swarm","5","replica1","throughput",377.6964831061759
"swarm","6","replica1","throughput",391.889017030377
"k8s","1","replica1","errorPct",0.0
"k8s","2","replica1","errorPct",0.0
"k8s","3","replica1","errorPct",0.0
"k8s","4","replica1","errorPct",0.0
"k8s","5","replica1","errorPct",0.0
"k8s","6","replica1","errorPct",0.0
"nomad","1","replica1","errorPct",0.0
"nomad","2","replica1","errorPct",0.0
"nomad","3","replica1","errorPct",0.0
"nomad","4","replica1","errorPct",0.0
"nomad","5","replica1","errorPct",0.0
"nomad","6","replica1","errorPct",0.0
"swarm","1","replica1","errorPct",0.0
"swarm","2","replica1","errorPct",0.0
"swarm","3","replica1","errorPct",0.0
"swarm","4","replica1","errorPct",0.0
"swarm","5","replica1","errorPct",0.0
"swarm","6","replica1","errorPct",0.0
"k8s","1","replica10","resTime",3.0
"k8s","2","replica10","resTime",3.0
"k8s","3","replica10","resTime",3.0
"k8s","4","replica10","resTime",3.0
"k8s","5","replica10","resTime",3.0
"k8s","6","replica10","resTime",3.0
"nomad","1","replica10","resTime",5.0
"nomad","2","replica10","resTime",5.0
"nomad","3","replica10","resTime",5.0
"nomad","4","replica10","resTime",5.0
"nomad","5","replica10","resTime",5.0
"nomad","6","replica10","resTime",5.0
"swarm","1","replica10","resTime",3.0
"swarm","2","replica10","resTime",3.0
"swarm","3","replica10","resTime",3.0
"swarm","4","replica10","resTime",2.0
"swarm","5","replica10","resTime",3.0
"swarm","6","replica10","resTime",2.0
"k8s","1","replica10","throughput",308.47332146445507
