"framework","runNumber","factor","factorValue"
"k8s",1,"resTime",44.0
"k8s",2,"resTime",44.0
"k8s",3,"resTime",44.0
"k8s",4,"resTime",44.0
"k8s",5,"resTime",44.0
"k8s",6,"resTime",44.0
"nomad",1,"resTime",27.0
"nomad",2,"resTime",22.0
"nomad",3,"resTime",23
"nomad",4,"resTime",23.0
"nomad",5,"resTime",24.0
"nomad",6,"resTime",24
"swarm",1,"resTime",42.0
"swarm",2,"resTime",42.0
"swarm",3,"resTime",42.0
"swarm",4,"resTime",42.0
"swarm",5,"resTime",42.0
"swarm",6,"resTime",42.0
"k8s",1,"throughput",419.48319670166353
"k8s",2,"throughput",434.25933967765553
"k8s",3,"throughput",427.90947880625475
"k8s",4,"throughput",428.4385251921853
"k8s",5,"throughput",420.5366047076069
"k8s",6,"throughput",431.8002368732728
"nomad",1,"throughput",622.9764348916223
"nomad",2,"throughput",631.3538773530838
"nomad",3,"throughput",633.7370818979887
"nomad",4,"throughput",640.6418554476807
"nomad",5,"throughput",541.5929203539823
"nomad",6,"throughput",658.2115420648305
"swarm",1,"throughput",463.7788702346721
"swarm",2,"throughput",463.281622279875
"swarm",3,"throughput",461.8693833383919
"swarm",4,"throughput",461.9120519453096
"swarm",5,"throughput",465.6918184600237
"swarm",6,"throughput",462.98133523817086
"k8s",1,"errorPct",0.0
"k8s",2,"errorPct",0.0
"k8s",3,"errorPct",0.0
"k8s",4,"errorPct",0.0
"k8s",5,"errorPct",0.0
"k8s",6,"errorPct",0.0
"nomad",1,"errorPct",2.0342858
"nomad",2,"errorPct",18.165714
"nomad",3,"errorPct",18.528572
"nomad",4,"errorPct",18.554285
"nomad",5,"errorPct",29.182858
"nomad",6,"errorPct",19.705715
"swarm",1,"errorPct",0.0
"swarm",2,"errorPct",0.0
"swarm",3,"errorPct",0.0
"swarm",4,"errorPct",0.0
"swarm",5,"errorPct",0.0
"swarm",6,"errorPct",0.0
