"framework","runNumber","caseNumber","factor","factorValue"
"k8s","1","user_5","resTime",43.0
"k8s","2","user_5","resTime",43.0
"k8s","3","user_5","resTime",43.0
"k8s","4","user_5","resTime",43.0
"k8s","5","user_5","resTime",43.0
"k8s","6","user_5","resTime",43.0
"nomad","1","user_5","resTime",8.0
"nomad","2","user_5","resTime",7.0
"nomad","3","user_5","resTime",7
"nomad","4","user_5","resTime",7
"nomad","5","user_5","resTime",7
"nomad","6","user_5","resTime",7.0
"swarm","1","user_5","resTime",43.0
"swarm","2","user_5","resTime",42.0
"swarm","3","user_5","resTime",42.0
"swarm","4","user_5","resTime",42.0
"swarm","5","user_5","resTime",42.0
"swarm","6","user_5","resTime",43.0
"k8s","1","user_5","throughput",114.48758627457396
"k8s","2","user_5","throughput",114.48908428359273
"k8s","3","user_5","throughput",114.34806898782355
"k8s","4","user_5","throughput",114.47597803369518
"k8s","5","user_5","throughput",114.48796077315356
"k8s","6","user_5","throughput",114.63532864311075
"nomad","1","user_5","throughput",537.6085187194791
"nomad","2","user_5","throughput",598.0102683692852
"nomad","3","user_5","throughput",591.6523876927662
"nomad","4","user_5","throughput",592.1634480828436
"nomad","5","user_5","throughput",590.20402068206
"nomad","6","user_5","throughput",589.6099560435484
"swarm","1","user_5","throughput",81.37838950622597
"swarm","2","user_5","throughput",115.96277263676151
"swarm","3","user_5","throughput",115.87485515643105
"swarm","4","user_5","throughput",116.18720081795789
"swarm","5","user_5","throughput",116.21382014749194
"swarm","6","user_5","throughput",115.56990823749287
"k8s","1","user_5","errorPct",0.0
"k8s","2","user_5","errorPct",0.0
"k8s","3","user_5","errorPct",0.0
"k8s","4","user_5","errorPct",0.0
"k8s","5","user_5","errorPct",0.0
"k8s","6","user_5","errorPct",0.0
"nomad","1","user_5","errorPct",9.411428
"nomad","2","user_5","errorPct",9.148571
"nomad","3","user_5","errorPct",9.237143
"nomad","4","user_5","errorPct",9.322857
"nomad","5","user_5","errorPct",9.66
"nomad","6","user_5","errorPct",9.171429
"swarm","1","user_5","errorPct",0.045714285
"swarm","2","user_5","errorPct",0.0
"swarm","3","user_5","errorPct",0.0
"swarm","4","user_5","errorPct",0.0
"swarm","5","user_5","errorPct",0.0
"swarm","6","user_5","errorPct",0.0
"k8s","1","user_10","resTime",43.0
"k8s","2","user_10","resTime",43.0
"k8s","3","user_10","resTime",43.0
"k8s","4","user_10","resTime",43.0
"k8s","5","user_10","resTime",43.0
"k8s","6","user_10","resTime",43.0
"nomad","1","user_10","resTime",13
"nomad","2","user_10","resTime",13
"nomad","3","user_10","resTime",14.0
"nomad","4","user_10","resTime",13
"nomad","5","user_10","resTime",14
"nomad","6","user_10","resTime",16.0
"swarm","1","user_10","resTime",42.0
"swarm","2","user_10","resTime",42.0
"swarm","3","user_10","resTime",42.0
"swarm","4","user_10","resTime",42.0
"swarm","5","user_10","resTime",42.0
"swarm","6","user_10","resTime",42.0
"k8s","1","user_10","throughput",227.5209319257372
"k8s","2","user_10","throughput",228.12746459135852
"k8s","3","user_10","throughput",228.3194384646496
"k8s","4","user_10","throughput",223.4508471979264
"k8s","5","user_10","throughput",228.0531428980993
"k8s","6","user_10","throughput",227.00150469568828
"nomad","1","user_10","throughput",621.4475883846201
"nomad","2","user_10","throughput",653.0678497998052
"nomad","3","user_10","throughput",557.0770185234423
"nomad","4","user_10","throughput",643.8711614342083
"nomad","5","user_10","throughput",588.533884994062
"nomad","6","user_10","throughput",548.5573539760732
"swarm","1","user_10","throughput",233.23226601805885
"swarm","2","user_10","throughput",231.86178387831893
"swarm","3","user_10","throughput",230.59387806195727
"swarm","4","user_10","throughput",231.6914135162151
"swarm","5","user_10","throughput",232.50097982555783
"swarm","6","user_10","throughput",232.66480977989906
"k8s","1","user_10","errorPct",0.0
"k8s","2","user_10","errorPct",0.0
"k8s","3","user_10","errorPct",0.0
"k8s","4","user_10","errorPct",0.0
"k8s","5","user_10","errorPct",0.0
"k8s","6","user_10","errorPct",0.0
"nomad","1","user_10","errorPct",13.968572
"nomad","2","user_10","errorPct",13.785714
"nomad","3","user_10","errorPct",28.165714
"nomad","4","user_10","errorPct",14.214286
"nomad","5","user_10","errorPct",12.214286
"nomad","6","user_10","errorPct",2.0057142
"swarm","1","user_10","errorPct",0.0
"swarm","2","user_10","errorPct",0.0
"swarm","3","user_10","errorPct",0.0
"swarm","4","user_10","errorPct",0.0
"swarm","5","user_10","errorPct",0.0
"swarm","6","user_10","errorPct",0.0
"k8s","1","user_20","resTime",44.0
"k8s","2","user_20","resTime",44.0
"k8s","3","user_20","resTime",44.0
"k8s","4","user_20","resTime",44.0
"k8s","5","user_20","resTime",44.0
"k8s","6","user_20","resTime",44.0
"nomad","1","user_20","resTime",27.0
"nomad","2","user_20","resTime",22.0
"nomad","3","user_20","resTime",23
"nomad","4","user_20","resTime",23.0
"nomad","5","user_20","resTime",24.0
"nomad","6","user_20","resTime",24
"swarm","1","user_20","resTime",42.0
"swarm","2","user_20","resTime",42.0
"swarm","3","user_20","resTime",42.0
"swarm","4","user_20","resTime",42.0
"swarm","5","user_20","resTime",42.0
"swarm","6","user_20","resTime",42.0
"k8s","1","user_20","throughput",419.48319670166353
"k8s","2","user_20","throughput",434.25933967765553
"k8s","3","user_20","throughput",427.90947880625475
"k8s","4","user_20","throughput",428.4385251921853
"k8s","5","user_20","throughput",420.5366047076069
"k8s","6","user_20","throughput",431.8002368732728
"nomad","1","user_20","throughput",622.9764348916223
"nomad","2","user_20","throughput",631.3538773530838
"nomad","3","user_20","throughput",633.7370818979887
"nomad","4","user_20","throughput",640.6418554476807
"nomad","5","user_20","throughput",541.5929203539823
"nomad","6","user_20","throughput",658.2115420648305
"swarm","1","user_20","throughput",463.7788702346721
"swarm","2","user_20","throughput",463.281622279875
"swarm","3","user_20","throughput",461.8693833383919
"swarm","4","user_20","throughput",461.9120519453096
"swarm","5","user_20","throughput",465.6918184600237
"swarm","6","user_20","throughput",462.98133523817086
"k8s","1","user_20","errorPct",0.0
"k8s","2","user_20","errorPct",0.0
"k8s","3","user_20","errorPct",0.0
"k8s","4","user_20","errorPct",0.0
"k8s","5","user_20","errorPct",0.0
"k8s","6","user_20","errorPct",0.0
"nomad","1","user_20","errorPct",2.0342858
"nomad","2","user_20","errorPct",18.165714
"nomad","3","user_20","errorPct",18.528572
"nomad","4","user_20","errorPct",18.554285
"nomad","5","user_20","errorPct",29.182858
"nomad","6","user_20","errorPct",19.705715
"swarm","1","user_20","errorPct",0.0
"swarm","2","user_20","errorPct",0.0
"swarm","3","user_20","errorPct",0.0
"swarm","4","user_20","errorPct",0.0
"swarm","5","user_20","errorPct",0.0
"swarm","6","user_20","errorPct",0.0
"k8s","1","user_50","resTime",52.0
"k8s","2","user_50","resTime",53.0
"k8s","3","user_50","resTime",53.0
"k8s","4","user_50","resTime",53.0
"k8s","5","user_50","resTime",53.0
"k8s","6","user_50","resTime",54.0
"nomad","1","user_50","resTime",48
"nomad","2","user_50","resTime",64.0
"nomad","3","user_50","resTime",49
"nomad","4","user_50","resTime",64
"nomad","5","user_50","resTime",64
"nomad","6","user_50","resTime",64.0
"swarm","1","user_50","resTime",43.0
"swarm","2","user_50","resTime",43.0
"swarm","3","user_50","resTime",43.0
"swarm","4","user_50","resTime",43.0
"swarm","5","user_50","resTime",43.0
"swarm","6","user_50","resTime",43.0
"k8s","1","user_50","throughput",764.72644642545
"k8s","2","user_50","throughput",896.355673931416
"k8s","3","user_50","throughput",895.0262114819078
"k8s","4","user_50","throughput",896.4015879113842
"k8s","5","user_50","throughput",898.3803485715752
"k8s","6","user_50","throughput",873.5150244584207
"nomad","1","user_50","throughput",591.5310415161688
"nomad","2","user_50","throughput",575.5816569911345
"nomad","3","user_50","throughput",587.5633172964839
"nomad","4","user_50","throughput",604.2319936807334
"nomad","5","user_50","throughput",591.6188316443437
"nomad","6","user_50","throughput",598.8735182523036
"swarm","1","user_50","throughput",1151.0886009340263
"swarm","2","user_50","throughput",958.3789704271632
"swarm","3","user_50","throughput",1053.740779768177
"swarm","4","user_50","throughput",1108.3665843308634
"swarm","5","user_50","throughput",1081.715910495735
