"framework","runNumber","factor","factorValue"
"k8s",1,"resTime",43
"k8s",2,"resTime",43
"k8s",3,"resTime",43
"k8s",4,"resTime",43
"k8s",5,"resTime",43
"k8s",6,"resTime",43
"nomad",1,"resTime",21.0
"nomad",2,"resTime",19
"nomad",3,"resTime",19
"nomad",4,"resTime",19.0
"nomad",5,"resTime",19
"nomad",6,"resTime",19.0
"swarm",1,"resTime",42
"swarm",2,"resTime",42
"swarm",3,"resTime",42
"swarm",4,"resTime",42
"swarm",5,"resTime",42
"swarm",6,"resTime",42
"k8s",1,"throughput",326.12950123014986
"k8s",2,"throughput",340.0478078358209
"k8s",3,"throughput",331.03467847210396
"k8s",4,"throughput",343.8669928956755
"k8s",5,"throughput",331.0221532756957
"k8s",6,"throughput",344.8870579887255
"nomad",1,"throughput",587.5135922529288
"nomad",2,"throughput",639.023851590106
"nomad",3,"throughput",644.0893004206824
"nomad",4,"throughput",641.8598495709905
"nomad",5,"throughput",645.0394475113425
"nomad",6,"throughput",635.2822624811058
"swarm",1,"throughput",339.7836725182538
"swarm",2,"throughput",344.9210510753218
"swarm",3,"throughput",345.9986949041941
"swarm",4,"throughput",349.53056332401115
"swarm",5,"throughput",349.86953000809814
"swarm",6,"throughput",346.66362879898566
"k8s",1,"errorPct",0.0
"k8s",2,"errorPct",0.0
"k8s",3,"errorPct",0.0
"k8s",4,"errorPct",0.0
"k8s",5,"errorPct",0.0
"k8s",6,"errorPct",0.0
"nomad",1,"errorPct",18.171167
"nomad",2,"errorPct",17.31676
"nomad",3,"errorPct",17.311045
"nomad",4,"errorPct",16.845264
"nomad",5,"errorPct",17.52822
"nomad",6,"errorPct",17.13102
"swarm",1,"errorPct",0.0
"swarm",2,"errorPct",0.0
"swarm",3,"errorPct",0.0
"swarm",4,"errorPct",0.0
"swarm",5,"errorPct",0.0
"swarm",6,"errorPct",0.0
