"framework","runNumber","caseNumber","factor","factorValue"
"k8s","1","replica1","resTime",44
"k8s","2","replica1","resTime",43
"k8s","3","replica1","resTime",43
"k8s","4","replica1","resTime",43
"k8s","5","replica1","resTime",43
"k8s","6","replica1","resTime",43
"nomad","1","replica1","resTime",21
"nomad","2","replica1","resTime",19
"nomad","3","replica1","resTime",19.0
"nomad","4","replica1","resTime",19
"nomad","5","replica1","resTime",19
"nomad","6","replica1","resTime",19.0
"swarm","1","replica1","resTime",42
"swarm","2","replica1","resTime",42
"swarm","3","replica1","resTime",42
"swarm","4","replica1","resTime",42
"swarm","5","replica1","resTime",42
"swarm","6","replica1","resTime",42
"k8s","1","replica1","throughput",330.2817233731301
"k8s","2","replica1","throughput",338.2532041988053
"k8s","3","replica1","throughput",334.2566502698314
"k8s","4","replica1","throughput",336.64252113936107
"k8s","5","replica1","throughput",333.9982438726426
"k8s","6","replica1","throughput",337.21344806652723
"nomad","1","replica1","throughput",538.0801232086847
"nomad","2","replica1","throughput",644.9343339587242
"nomad","3","replica1","throughput",635.8411932441325
"nomad","4","replica1","throughput",629.5393720490001
"nomad","5","replica1","throughput",647.9710925576802
"nomad","6","replica1","throughput",641.4098869430281
"swarm","1","replica1","throughput",346.64302553638294
"swarm","2","replica1","throughput",346.2691588415147
"swarm","3","replica1","throughput",347.31388759316786
"swarm","4","replica1","throughput",348.20202583033176
"swarm","5","replica1","throughput",343.48560098937986
"swarm","6","replica1","throughput",344.7443601615604
"k8s","1","replica1","errorPct",0.0
"k8s","2","replica1","errorPct",0.0
"k8s","3","replica1","errorPct",0.0
"k8s","4","replica1","errorPct",0.0
"k8s","5","replica1","errorPct",0.0
"k8s","6","replica1","errorPct",0.0
"nomad","1","replica1","errorPct",18.13402
"nomad","2","replica1","errorPct",17.488213
"nomad","3","replica1","errorPct",17.16531
"nomad","4","replica1","errorPct",17.322475
"nomad","5","replica1","errorPct",17.499643
"nomad","6","replica1","errorPct",17.319616
"swarm","1","replica1","errorPct",0.0
"swarm","2","replica1","errorPct",0.0
"swarm","3","replica1","errorPct",0.0
"swarm","4","replica1","errorPct",0.0
"swarm","5","replica1","errorPct",0.0
"swarm","6","replica1","errorPct",0.0
"k8s","1","replica10","resTime",43
"k8s","2","replica10","resTime",43
"k8s","3","replica10","resTime",43
"k8s","4","replica10","resTime",43
"k8s","5","replica10","resTime",43
"k8s","6","replica10","resTime",43
"nomad","1","replica10","resTime",21.0
"nomad","2","replica10","resTime",19
"nomad","3","replica10","resTime",19
"nomad","4","replica10","resTime",19.0
"nomad","5","replica10","resTime",19
"nomad","6","replica10","resTime",19.0
"swarm","1","replica10","resTime",42
"swarm","2","replica10","resTime",42
"swarm","3","replica10","resTime",42
"swarm","4","replica10","resTime",42
"swarm","5","replica10","resTime",42
"swarm","6","replica10","resTime",42
"k8s","1","replica10","throughput",326.12950123014986
"k8s","2","replica10","throughput",340.0478078358209
"k8s","3","replica10","throughput",331.03467847210396
"k8s","4","replica10","throughput",343.8669928956755
"k8s","5","replica10","throughput",331.0221532756957
"k8s","6","replica10","throughput",344.8870579887255
"nomad","1","replica10","throughput",587.5135922529288
"nomad","2","replica10","throughput",639.023851590106
"nomad","3","replica10","throughput",644.0893004206824
"nomad","4","replica10","throughput",641.8598495709905
"nomad","5","replica10","throughput",645.0394475113425
"nomad","6","replica10","throughput",635.2822624811058
"swarm","1","replica10","throughput",339.7836725182538
"swarm","2","replica10","throughput",344.9210510753218
"swarm","3","replica10","throughput",345.9986949041941
"swarm","4","replica10","throughput",349.53056332401115
"swarm","5","replica10","throughput",349.86953000809814
"swarm","6","replica10","throughput",346.66362879898566
"k8s","1","replica10","errorPct",0.0
"k8s","2","replica10","errorPct",0.0
"k8s","3","replica10","errorPct",0.0
"k8s","4","replica10","errorPct",0.0
"k8s","5","replica10","errorPct",0.0
"k8s","6","replica10","errorPct",0.0
"nomad","1","replica10","errorPct",18.171167
"nomad","2","replica10","errorPct",17.31676
"nomad","3","replica10","errorPct",17.311045
"nomad","4","replica10","errorPct",16.845264
"nomad","5","replica10","errorPct",17.52822
"nomad","6","replica10","errorPct",17.13102
"swarm","1","replica10","errorPct",0.0
"swarm","2","replica10","errorPct",0.0
"swarm","3","replica10","errorPct",0.0
"swarm","4","replica10","errorPct",0.0
"swarm","5","replica10","errorPct",0.0
"swarm","6","replica10","errorPct",0.0
"k8s","1","replica20","resTime",43
"k8s","2","replica20","resTime",43
