"framework","runNumber","factor","factorValue"
"k8s",1,"resTime",43.0
"k8s",2,"resTime",43.0
"k8s",3,"resTime",43.0
"k8s",4,"resTime",43.0
"k8s",5,"resTime",43.0
"k8s",6,"resTime",43.0
"nomad",1,"resTime",4
"nomad",2,"resTime",4.0
"nomad",3,"resTime",4.0
"nomad",4,"resTime",4.0
"nomad",5,"resTime",4.0
"nomad",6,"resTime",4.0
"swarm",1,"resTime",42.0
"swarm",2,"resTime",42.0
"swarm",3,"resTime",42.0
"swarm",4,"resTime",42.0
"swarm",5,"resTime",42.0
"swarm",6,"resTime",42.0
"k8s",1,"throughput",22.831184266574297
"k8s",2,"throughput",22.782068038971655
"k8s",3,"throughput",22.905894079219053
"k8s",4,"throughput",23.000939095484785
"k8s",5,"throughput",23.101334333071076
"k8s",6,"throughput",23.130662468781868
"nomad",1,"throughput",196.2114834147163
"nomad",2,"throughput",211.70934122101852
"nomad",3,"throughput",201.2569936805304
"nomad",4,"throughput",211.20343718508056
"nomad",5,"throughput",213.6817363167374
"nomad",6,"throughput",213.88152185869154
"swarm",1,"throughput",23.372224715259527
"swarm",2,"throughput",23.333722228703813
"swarm",3,"throughput",23.287224628568765
"swarm",4,"throughput",23.34363565787034
"swarm",5,"throughput",23.37372312689661
"swarm",6,"throughput",23.401353266828913
"k8s",1,"errorPct",0.0
"k8s",2,"errorPct",0.0
"k8s",3,"errorPct",0.0
"k8s",4,"errorPct",0.0
"k8s",5,"errorPct",0.0
"k8s",6,"errorPct",0.0
"nomad",1,"errorPct",0.117142856
"nomad",2,"errorPct",0.0
"nomad",3,"errorPct",0.0
"nomad",4,"errorPct",0.0
"nomad",5,"errorPct",0.0
"nomad",6,"errorPct",0.0
"swarm",1,"errorPct",0.0
"swarm",2,"errorPct",0.0
"swarm",3,"errorPct",0.0
"swarm",4,"errorPct",0.0
"swarm",5,"errorPct",0.0
"swarm",6,"errorPct",0.0
