"framework","runNumber","caseNumber","factor","factorValue"
"k8s","1","replica1","resTime",43.0
"k8s","2","replica1","resTime",43.0
"k8s","3","replica1","resTime",43.0
"k8s","4","replica1","resTime",43.0
"k8s","5","replica1","resTime",43.0
"k8s","6","replica1","resTime",43.0
"nomad","1","replica1","resTime",4.0
"nomad","2","replica1","resTime",4.0
"nomad","3","replica1","resTime",4.0
"nomad","4","replica1","resTime",4.0
"nomad","5","replica1","resTime",4.0
"nomad","6","replica1","resTime",4.0
"swarm","1","replica1","resTime",42.0
"swarm","2","replica1","resTime",42.0
"swarm","3","replica1","resTime",42.0
"swarm","4","replica1","resTime",42.0
"swarm","5","replica1","resTime",42.0
"swarm","6","replica1","resTime",43.0
"k8s","1","replica1","throughput",22.743621551335927
"k8s","2","replica1","throughput",22.791443961699954
"k8s","3","replica1","throughput",22.765234494924
"k8s","4","replica1","throughput",22.87385851276786
"k8s","5","replica1","throughput",22.780703832625615
"k8s","6","replica1","throughput",22.81558682667129
"nomad","1","replica1","throughput",223.1858181354419
"nomad","2","replica1","throughput",237.2318432914224
"nomad","3","replica1","throughput",239.04328049338534
"nomad","4","replica1","throughput",237.40241065190702
"nomad","5","replica1","throughput",244.37074533077327
"nomad","6","replica1","throughput",238.19732266209326
"swarm","1","replica1","throughput",23.426132051098417
"swarm","2","replica1","throughput",23.433911682273653
"swarm","3","replica1","throughput",23.455803904118035
"swarm","4","replica1","throughput",23.42610069207395
"swarm","5","replica1","throughput",23.424532847887775
"swarm","6","replica1","throughput",23.409883652878246
"k8s","1","replica1","errorPct",0.0
"k8s","2","replica1","errorPct",0.0
"k8s","3","replica1","errorPct",0.0
"k8s","4","replica1","errorPct",0.0
"k8s","5","replica1","errorPct",0.0
"k8s","6","replica1","errorPct",0.0
"nomad","1","replica1","errorPct",0.0
"nomad","2","replica1","errorPct",0.0
"nomad","3","replica1","errorPct",0.0
"nomad","4","replica1","errorPct",0.0
"nomad","5","replica1","errorPct",0.0
"nomad","6","replica1","errorPct",0.0
"swarm","1","replica1","errorPct",0.0
"swarm","2","replica1","errorPct",0.0
"swarm","3","replica1","errorPct",0.0
"swarm","4","replica1","errorPct",0.0
"swarm","5","replica1","errorPct",0.0
"swarm","6","replica1","errorPct",0.0
"k8s","1","replica10","resTime",43.0
"k8s","2","replica10","resTime",43.0
"k8s","3","replica10","resTime",43.0
"k8s","4","replica10","resTime",43.0
"k8s","5","replica10","resTime",43.0
"k8s","6","replica10","resTime",43.0
"nomad","1","replica10","resTime",4
"nomad","2","replica10","resTime",4.0
"nomad","3","replica10","resTime",4.0
"nomad","4","replica10","resTime",4.0
"nomad","5","replica10","resTime",4.0
"nomad","6","replica10","resTime",4.0
"swarm","1","replica10","resTime",42.0
"swarm","2","replica10","resTime",42.0
"swarm","3","replica10","resTime",42.0
"swarm","4","replica10","resTime",42.0
"swarm","5","replica10","resTime",42.0
"swarm","6","replica10","resTime",42.0
"k8s","1","replica10","throughput",22.831184266574297
"k8s","2","replica10","throughput",22.782068038971655
"k8s","3","replica10","throughput",22.905894079219053
"k8s","4","replica10","throughput",23.000939095484785
"k8s","5","replica10","throughput",23.101334333071076
"k8s","6","replica10","throughput",23.130662468781868
"nomad","1","replica10","throughput",196.2114834147163
"nomad","2","replica10","throughput",211.70934122101852
"nomad","3","replica10","throughput",201.2569936805304
"nomad","4","replica10","throughput",211.20343718508056
"nomad","5","replica10","throughput",213.6817363167374
"nomad","6","replica10","throughput",213.88152185869154
"swarm","1","replica10","throughput",23.372224715259527
"swarm","2","replica10","throughput",23.333722228703813
"swarm","3","replica10","throughput",23.287224628568765
"swarm","4","replica10","throughput",23.34363565787034
"swarm","5","replica10","throughput",23.37372312689661
"swarm","6","replica10","throughput",23.401353266828913
"k8s","1","replica10","errorPct",0.0
"k8s","2","replica10","errorPct",0.0
"k8s","3","replica10","errorPct",0.0
"k8s","4","replica10","errorPct",0.0
"k8s","5","replica10","errorPct",0.0
"k8s","6","replica10","errorPct",0.0
"nomad","1","replica10","errorPct",0.117142856
"nomad","2","replica10","errorPct",0.0
"nomad","3","replica10","errorPct",0.0
"nomad","4","replica10","errorPct",0.0
"nomad","5","replica10","errorPct",0.0
"nomad","6","replica10","errorPct",0.0
"swarm","1","replica10","errorPct",0.0
"swarm","2","replica10","errorPct",0.0
"swarm","3","replica10","errorPct",0.0
"swarm","4","replica10","errorPct",0.0
"swarm","5","replica10","errorPct",0.0
"swarm","6","replica10","errorPct",0.0
"k8s","1","replica20","resTime",43.0
"k8s","2","replica20","resTime",43.0
"k8s","3","replica20","resTime",43.0
"k8s","4","replica20","resTime",43.0
"k8s","5","replica20","resTime",43.0
"k8s","6","replica20","resTime",43.0
"nomad","1","replica20","resTime",5
"nomad","2","replica20","resTime",5.0
"nomad","3","replica20","resTime",4.0
"nomad","4","replica20","resTime",4.0
"nomad","5","replica20","resTime",4.0
"nomad","6","replica20","resTime",4.0
"swarm","1","replica20","resTime",43.0
"swarm","2","replica20","resTime",43.0
"swarm","3","replica20","resTime",43.0
"swarm","4","replica20","resTime",43.0
"swarm","5","replica20","resTime",43.0
"swarm","6","replica20","resTime",43.0
"k8s","1","replica20","throughput",22.91025724945997
"k8s","2","replica20","throughput",22.969963819025562
"k8s","3","replica20","throughput",22.950172552511635
"k8s","4","replica20","throughput",22.984656100291904
"k8s","5","replica20","throughput",22.99268898183775
"k8s","6","replica20","throughput",23.03737979424329
"nomad","1","replica20","throughput",180.58444876910607
"nomad","2","replica20","throughput",173.24245529107208
"nomad","3","replica20","throughput",194.56767063584715
"nomad","4","replica20","throughput",191.35826093612462
"nomad","5","replica20","throughput",192.32882734366416
"nomad","6","replica20","throughput",187.00676964506115
"swarm","1","replica20","throughput",23.099550482747606
"swarm","2","replica20","throughput",23.052978378940907
"swarm","3","replica20","throughput",23.069662471064053
"swarm","4","replica20","throughput",23.061742874745086
"swarm","5","replica20","throughput",23.093758680778933
"swarm","6","replica20","throughput",23.062396301582343
"k8s","1","replica20","errorPct",0.0
