"framework","runNumber","factor","factorValue"
"k8s",1,"resTime",74.0
"k8s",2,"resTime",78.0
"k8s",3,"resTime",80.0
"k8s",4,"resTime",77.0
"k8s",5,"resTime",74.0
"k8s",6,"resTime",75.0
"nomad",1,"resTime",35.0
"nomad",2,"resTime",33
"nomad",3,"resTime",55
"nomad",4,"resTime",37
"nomad",5,"resTime",64.0
"nomad",6,"resTime",76.0
"swarm",1,"resTime",64
"swarm",2,"resTime",69.0
"swarm",3,"resTime",63.0
"swarm",4,"resTime",69.0
"swarm",5,"resTime",64.0
"swarm",6,"resTime",66.0
"k8s",1,"throughput",61.52602111221467
"k8s",2,"throughput",58.03955644512691
"k8s",3,"throughput",56.71671781974455
"k8s",4,"throughput",59.11243522966026
"k8s",5,"throughput",60.878988226003685
"k8s",6,"throughput",59.69853943259097
"nomad",1,"throughput",107.05842000171499
"nomad",2,"throughput",111.12630460914197
"nomad",3,"throughput",81.11279248066914
"nomad",4,"throughput",102.80802438270916
"nomad",5,"throughput",49.08314890926336
"nomad",6,"throughput",62.94058408862034
"swarm",1,"throughput",69.5660299705146
"swarm",2,"throughput",64.50518990327907
"swarm",3,"throughput",70.34723394676122
"swarm",4,"throughput",65.04947477195512
"swarm",5,"throughput",69.77017703684065
"swarm",6,"throughput",67.95153308366
"k8s",1,"errorPct",0.0
"k8s",2,"errorPct",0.0
"k8s",3,"errorPct",0.0
"k8s",4,"errorPct",0.0
"k8s",5,"errorPct",0.0
"k8s",6,"errorPct",0.0
"nomad",1,"errorPct",0.12
"nomad",2,"errorPct",0.15714286
"nomad",3,"errorPct",7.957143
"nomad",4,"errorPct",7.7685714
"nomad",5,"errorPct",82.25714
"nomad",6,"errorPct",0.0
"swarm",1,"errorPct",0.03142857
"swarm",2,"errorPct",0.0
"swarm",3,"errorPct",0.0
"swarm",4,"errorPct",0.0
"swarm",5,"errorPct",0.0
"swarm",6,"errorPct",0.0
