"framework","runNumber","caseNumber","factor","factorValue"
"k8s","1","user_5","resTime",74.0
"k8s","2","user_5","resTime",78.0
"k8s","3","user_5","resTime",80.0
"k8s","4","user_5","resTime",77.0
"k8s","5","user_5","resTime",74.0
"k8s","6","user_5","resTime",75.0
"nomad","1","user_5","resTime",35.0
"nomad","2","user_5","resTime",33
"nomad","3","user_5","resTime",55
"nomad","4","user_5","resTime",37
"nomad","5","user_5","resTime",64.0
"nomad","6","user_5","resTime",76.0
"swarm","1","user_5","resTime",64
"swarm","2","user_5","resTime",69.0
"swarm","3","user_5","resTime",63.0
"swarm","4","user_5","resTime",69.0
"swarm","5","user_5","resTime",64.0
"swarm","6","user_5","resTime",66.0
"k8s","1","user_5","throughput",61.52602111221467
"k8s","2","user_5","throughput",58.03955644512691
"k8s","3","user_5","throughput",56.71671781974455
"k8s","4","user_5","throughput",59.11243522966026
"k8s","5","user_5","throughput",60.878988226003685
"k8s","6","user_5","throughput",59.69853943259097
"nomad","1","user_5","throughput",107.05842000171499
"nomad","2","user_5","throughput",111.12630460914197
"nomad","3","user_5","throughput",81.11279248066914
"nomad","4","user_5","throughput",102.80802438270916
"nomad","5","user_5","throughput",49.08314890926336
"nomad","6","user_5","throughput",62.94058408862034
"swarm","1","user_5","throughput",69.5660299705146
"swarm","2","user_5","throughput",64.50518990327907
"swarm","3","user_5","throughput",70.34723394676122
"swarm","4","user_5","throughput",65.04947477195512
"swarm","5","user_5","throughput",69.77017703684065
"swarm","6","user_5","throughput",67.95153308366
"k8s","1","user_5","errorPct",0.0
"k8s","2","user_5","errorPct",0.0
"k8s","3","user_5","errorPct",0.0
"k8s","4","user_5","errorPct",0.0
"k8s","5","user_5","errorPct",0.0
"k8s","6","user_5","errorPct",0.0
"nomad","1","user_5","errorPct",0.12
"nomad","2","user_5","errorPct",0.15714286
"nomad","3","user_5","errorPct",7.957143
"nomad","4","user_5","errorPct",7.7685714
"nomad","5","user_5","errorPct",82.25714
"nomad","6","user_5","errorPct",0.0
"swarm","1","user_5","errorPct",0.03142857
"swarm","2","user_5","errorPct",0.0
"swarm","3","user_5","errorPct",0.0
"swarm","4","user_5","errorPct",0.0
"swarm","5","user_5","errorPct",0.0
"swarm","6","user_5","errorPct",0.0
"k8s","1","user_10","resTime",152.0
"k8s","2","user_10","resTime",147.0
"k8s","3","user_10","resTime",153.0
"k8s","4","user_10","resTime",152.0
"k8s","5","user_10","resTime",157.0
"k8s","6","user_10","resTime",158.0
"nomad","1","user_10","resTime",80
"nomad","2","user_10","resTime",104
"nomad","3","user_10","resTime",68
"nomad","4","user_10","resTime",80
"nomad","5","user_10","resTime",75
"nomad","6","user_10","resTime",59
"swarm","1","user_10","resTime",143.0
"swarm","2","user_10","resTime",145.0
"swarm","3","user_10","resTime",145.0
"swarm","4","user_10","resTime",146.0
"swarm","5","user_10","resTime",137.0
"swarm","6","user_10","resTime",137.0
"k8s","1","user_10","throughput",60.022877290944606
"k8s","2","user_10","throughput",62.06620158392946
"k8s","3","user_10","throughput",59.632222527009134
"k8s","4","user_10","throughput",60.00044571759676
"k8s","5","user_10","throughput",58.249260234395024
"k8s","6","user_10","throughput",58.00194886548188
"nomad","1","user_10","throughput",103.97552605867074
"nomad","2","user_10","throughput",90.60568073457405
"nomad","3","user_10","throughput",108.79041469498124
"nomad","4","user_10","throughput",101.41824604622518
"nomad","5","user_10","throughput",104.8810743109098
"nomad","6","user_10","throughput",118.6008986233453
"swarm","1","user_10","throughput",63.282671034979046
"swarm","2","user_10","throughput",62.24258246252996
"swarm","3","user_10","throughput",61.969057964086275
"swarm","4","user_10","throughput",61.87692149940156
"swarm","5","user_10","throughput",66.0079699908909
"swarm","6","user_10","throughput",66.10021926387019
"k8s","1","user_10","errorPct",0.0
"k8s","2","user_10","errorPct",0.0
"k8s","3","user_10","errorPct",0.0
"k8s","4","user_10","errorPct",0.0
"k8s","5","user_10","errorPct",0.0
"k8s","6","user_10","errorPct",0.0
"nomad","1","user_10","errorPct",0.27142859
"nomad","2","user_10","errorPct",51.677143
"nomad","3","user_10","errorPct",6.66
"nomad","4","user_10","errorPct",0.25428572
"nomad","5","user_10","errorPct",0.23142858
"nomad","6","user_10","errorPct",10.328571
"swarm","1","user_10","errorPct",0.0
"swarm","2","user_10","errorPct",0.0
"swarm","3","user_10","errorPct",0.0
"swarm","4","user_10","errorPct",0.0
"swarm","5","user_10","errorPct",0.0
"swarm","6","user_10","errorPct",0.0
"k8s","1","user_20","resTime",311.0
"k8s","2","user_20","resTime",315.0
"k8s","3","user_20","resTime",322.0
"k8s","4","user_20","resTime",327.0
"k8s","5","user_20","resTime",319.0
"k8s","6","user_20","resTime",312.0
"nomad","1","user_20","resTime",101
"nomad","2","user_20","resTime",313.0
"nomad","3","user_20","resTime",232
"nomad","4","user_20","resTime",88
"nomad","5","user_20","resTime",157.0
"nomad","6","user_20","resTime",79
"swarm","1","user_20","resTime",287.0
"swarm","2","user_20","resTime",292.0
"swarm","3","user_20","resTime",296.0
"swarm","4","user_20","resTime",273.0
"swarm","5","user_20","resTime",273.0
"swarm","6","user_20","resTime",284.0
"k8s","1","user_20","throughput",60.10007521095127
"k8s","2","user_20","throughput",59.49446701456765
"k8s","3","user_20","throughput",58.00339071249708
"k8s","4","user_20","throughput",57.48608426145985
"k8s","5","user_20","throughput",58.442014094249025
"k8s","6","user_20","throughput",59.848293126680026
"nomad","1","user_20","throughput",120.13075268817204
"nomad","2","user_20","throughput",63.21192429739946
"nomad","3","user_20","throughput",87.8643183826139
"nomad","4","user_20","throughput",108.42531915480272
"nomad","5","user_20","throughput",104.65430077541694
"nomad","6","user_20","throughput",60.34865371338397
"swarm","1","user_20","throughput",64.82069669284805
"swarm","2","user_20","throughput",63.975433433561506
"swarm","3","user_20","throughput",63.04295747122089
"swarm","4","user_20","throughput",68.7167827980296
"swarm","5","user_20","throughput",68.40680549990716
"swarm","6","user_20","throughput",65.84033905893462
"k8s","1","user_20","errorPct",0.0
"k8s","2","user_20","errorPct",0.0
"k8s","3","user_20","errorPct",0.0
"k8s","4","user_20","errorPct",0.0
"k8s","5","user_20","errorPct",0.057142857
"k8s","6","user_20","errorPct",0.0
"nomad","1","user_20","errorPct",0.24857143
"nomad","2","user_20","errorPct",0.0
"nomad","3","user_20","errorPct",0.2657143
"nomad","4","user_20","errorPct",66.29429
"nomad","5","user_20","errorPct",0.28
"nomad","6","user_20","errorPct",86.01428
"swarm","1","user_20","errorPct",0.0
"swarm","2","user_20","errorPct",0.0
"swarm","3","user_20","errorPct",0.0
"swarm","4","user_20","errorPct",0.0
"swarm","5","user_20","errorPct",0.0
"swarm","6","user_20","errorPct",0.0
"k8s","1","user_50","resTime",842.0
"k8s","2","user_50","resTime",832.0
"k8s","3","user_50","resTime",812.0
"k8s","4","user_50","resTime",854.0
"k8s","5","user_50","resTime",823.0
"k8s","6","user_50","resTime",843.0
"nomad","1","user_50","resTime",816.0
"nomad","2","user_50","resTime",302
"nomad","3","user_50","resTime",753
"nomad","4","user_50","resTime",173
"nomad","5","user_50","resTime",808.0
"nomad","6","user_50","resTime",674
"swarm","1","user_50","resTime",755.0
"swarm","2","user_50","resTime",749.0
"swarm","3","user_50","resTime",762.0
"swarm","4","user_50","resTime",750.0
"swarm","5","user_50","resTime",746.0
"swarm","6","user_50","resTime",707.0
"k8s","1","user_50","throughput",57.67259760675198
"k8s","2","user_50","throughput",58.175580550739916
"k8s","3","user_50","throughput",59.62125173966295
"k8s","4","user_50","throughput",56.51441682773275
"k8s","5","user_50","throughput",59.12301980114395
"k8s","6","user_50","throughput",57.37911859116231
"nomad","1","user_50","throughput",61.43153017165724
"nomad","2","user_50","throughput",112.52961053771587
"nomad","3","user_50","throughput",66.48213654722237
"nomad","4","user_50","throughput",132.72576798577884
"nomad","5","user_50","throughput",62.29520451515642
"nomad","6","user_50","throughput",81.13251776086598
"swarm","1","user_50","throughput",63.85812549033918
"swarm","2","user_50","throughput",64.9808770561806
"swarm","3","user_50","throughput",63.04795427402082
"swarm","4","user_50","throughput",64.06079552526192
"swarm","5","user_50","throughput",64.46895083229415
"swarm","6","user_50","throughput",68.78065652119231
"k8s","1","user_50","errorPct",0.0
