"framework","runNumber","factor","factorValue"
"k8s",1,"resTime",60
"k8s",2,"resTime",65
"k8s",3,"resTime",75
"k8s",4,"resTime",74
"k8s",5,"resTime",73
"k8s",6,"resTime",73
"nomad",1,"resTime",68
"nomad",2,"resTime",75
"nomad",3,"resTime",67
"nomad",4,"resTime",70
"nomad",5,"resTime",67
"nomad",6,"resTime",73
"swarm",1,"resTime",37
"swarm",2,"resTime",47
"swarm",3,"resTime",46
"swarm",4,"resTime",46
"swarm",5,"resTime",46
"swarm",6,"resTime",47
"k8s",1,"throughput",170.7822946659509
"k8s",2,"throughput",150.09328558255237
"k8s",3,"throughput",138.71162093814164
"k8s",4,"throughput",137.54058026836037
"k8s",5,"throughput",141.17148735326154
"k8s",6,"throughput",140.46093825257682
"nomad",1,"throughput",148.97892285620628
"nomad",2,"throughput",130.76963319482226
"nomad",3,"throughput",147.0903473929765
"nomad",4,"throughput",141.46081177768883
"nomad",5,"throughput",150.16799763129777
"nomad",6,"throughput",133.67125160905886
"swarm",1,"throughput",271.9959583398104
"swarm",2,"throughput",222.44045689441467
"swarm",3,"throughput",223.33337587910196
"swarm",4,"throughput",222.71084183998167
"swarm",5,"throughput",224.3326751967999
"swarm",6,"throughput",225.67955373553028
"k8s",1,"errorPct",0.0
"k8s",2,"errorPct",0.0
"k8s",3,"errorPct",0.0
"k8s",4,"errorPct",0.0
"k8s",5,"errorPct",0.0
"k8s",6,"errorPct",0.0
"nomad",1,"errorPct",0.0
"nomad",2,"errorPct",0.0
"nomad",3,"errorPct",0.0
"nomad",4,"errorPct",0.0
"nomad",5,"errorPct",0.0
"nomad",6,"errorPct",0.0
"swarm",1,"errorPct",0.0
"swarm",2,"errorPct",0.0
"swarm",3,"errorPct",0.0
"swarm",4,"errorPct",0.0
"swarm",5,"errorPct",0.0
"swarm",6,"errorPct",0.0
