"framework","runNumber","caseNumber","factor","factorValue"
"k8s","1","replica1","resTime",239
"k8s","2","replica1","resTime",217
"k8s","3","replica1","resTime",220
"k8s","4","replica1","resTime",225
"k8s","5","replica1","resTime",228
"k8s","6","replica1","resTime",232
"nomad","1","replica1","resTime",236
"nomad","2","replica1","resTime",229
"nomad","3","replica1","resTime",234
"nomad","4","replica1","resTime",229
"nomad","5","replica1","resTime",222
"nomad","6","replica1","resTime",236
"swarm","1","replica1","resTime",202
"swarm","2","replica1","resTime",202
"swarm","3","replica1","resTime",201
"swarm","4","replica1","resTime",198
"swarm","5","replica1","resTime",205
"swarm","6","replica1","resTime",203
"k8s","1","replica1","throughput",58.52946292381386
"k8s","2","replica1","throughput",63.98032780890916
"k8s","3","replica1","throughput",62.82234712690311
"k8s","4","replica1","throughput",61.577199807851684
"k8s","5","replica1","throughput",61.09611617602386
"k8s","6","replica1","throughput",60.20458721278308
"nomad","1","replica1","throughput",62.4327636867711
"nomad","2","replica1","throughput",64.5696372328511
"nomad","3","replica1","throughput",63.203693067912134
"nomad","4","replica1","throughput",64.56570591469468
"nomad","5","replica1","throughput",66.168879544088
"nomad","6","replica1","throughput",62.99310396967258
"swarm","1","replica1","throughput",68.68552451834755
"swarm","2","replica1","throughput",68.98529811820644
"swarm","3","replica1","throughput",68.88589684536252
"swarm","4","replica1","throughput",70.24245137022459
"swarm","5","replica1","throughput",68.18992242775221
"swarm","6","replica1","throughput",68.76420920668168
"k8s","1","replica1","errorPct",0.0
"k8s","2","replica1","errorPct",0.0
"k8s","3","replica1","errorPct",0.0
"k8s","4","replica1","errorPct",0.0
"k8s","5","replica1","errorPct",0.0
"k8s","6","replica1","errorPct",0.0
"nomad","1","replica1","errorPct",0.0
"nomad","2","replica1","errorPct",0.0
"nomad","3","replica1","errorPct",0.0
"nomad","4","replica1","errorPct",0.0
"nomad","5","replica1","errorPct",0.0
"nomad","6","replica1","errorPct",0.0
"swarm","1","replica1","errorPct",0.0
"swarm","2","replica1","errorPct",0.0
"swarm","3","replica1","errorPct",0.0
"swarm","4","replica1","errorPct",0.0
"swarm","5","replica1","errorPct",0.0
"swarm","6","replica1","errorPct",0.0
"k8s","1","replica10","resTime",60
"k8s","2","replica10","resTime",65
"k8s","3","replica10","resTime",75
"k8s","4","replica10","resTime",74
"k8s","5","replica10","resTime",73
"k8s","6","replica10","resTime",73
"nomad","1","replica10","resTime",68
"nomad","2","replica10","resTime",75
"nomad","3","replica10","resTime",67
"nomad","4","replica10","resTime",70
"nomad","5","replica10","resTime",67
"nomad","6","replica10","resTime",73
"swarm","1","replica10","resTime",37
"swarm","2","replica10","resTime",47
"swarm","3","replica10","resTime",46
"swarm","4","replica10","resTime",46
"swarm","5","replica10","resTime",46
"swarm","6","replica10","resTime",47
"k8s","1","replica10","throughput",170.7822946659509
"k8s","2","replica10","throughput",150.09328558255237
"k8s","3","replica10","throughput",138.71162093814164
"k8s","4","replica10","throughput",137.54058026836037
"k8s","5","replica10","throughput",141.17148735326154
"k8s","6","replica10","throughput",140.46093825257682
"nomad","1","replica10","throughput",148.97892285620628
"nomad","2","replica10","throughput",130.76963319482226
"nomad","3","replica10","throughput",147.0903473929765
"nomad","4","replica10","throughput",141.46081177768883
"nomad","5","replica10","throughput",150.16799763129777
"nomad","6","replica10","throughput",133.67125160905886
"swarm","1","replica10","throughput",271.9959583398104
"swarm","2","replica10","throughput",222.44045689441467
"swarm","3","replica10","throughput",223.33337587910196
"swarm","4","replica10","throughput",222.71084183998167
"swarm","5","replica10","throughput",224.3326751967999
"swarm","6","replica10","throughput",225.67955373553028
"k8s","1","replica10","errorPct",0.0
"k8s","2","replica10","errorPct",0.0
"k8s","3","replica10","errorPct",0.0
"k8s","4","replica10","errorPct",0.0
"k8s","5","replica10","errorPct",0.0
"k8s","6","replica10","errorPct",0.0
"nomad","1","replica10","errorPct",0.0
"nomad","2","replica10","errorPct",0.0
"nomad","3","replica10","errorPct",0.0
"nomad","4","replica10","errorPct",0.0
"nomad","5","replica10","errorPct",0.0
"nomad","6","replica10","errorPct",0.0
"swarm","1","replica10","errorPct",0.0
"swarm","2","replica10","errorPct",0.0
"swarm","3","replica10","errorPct",0.0
"swarm","4","replica10","errorPct",0.0
"swarm","5","replica10","errorPct",0.0
"swarm","6","replica10","errorPct",0.0
"k8s","1","replica20","resTime",49
"k8s","2","replica20","resTime",62
"k8s","3","replica20","resTime",63
"k8s","4","replica20","resTime",63
"k8s","5","replica20","resTime",63
"k8s","6","replica20","resTime",63
"nomad","1","replica20","resTime",68
"nomad","2","replica20","resTime",69
"nomad","3","replica20","resTime",67
"nomad","4","replica20","resTime",70
"nomad","5","replica20","resTime",69
"nomad","6","replica20","resTime",68
"swarm","1","replica20","resTime",34
"swarm","2","replica20","resTime",41
"swarm","3","replica20","resTime",42
"swarm","4","replica20","resTime",42
"swarm","5","replica20","resTime",42
"swarm","6","replica20","resTime",42
"k8s","1","replica20","throughput",181.06418866479711
"k8s","2","replica20","throughput",138.69347928614175
"k8s","3","replica20","throughput",136.9147525205695
"k8s","4","replica20","throughput",133.708534879989
"k8s","5","replica20","throughput",133.53557323564763
"k8s","6","replica20","throughput",135.0397073464379
"nomad","1","replica20","throughput",133.51213798734125
"nomad","2","replica20","throughput",130.5578976429067
"nomad","3","replica20","throughput",130.38278403290587
"nomad","4","replica20","throughput",123.40911735768013
"nomad","5","replica20","throughput",123.09137146897127
"nomad","6","replica20","throughput",129.17478738483345
"swarm","1","replica20","throughput",276.7737802418558
"swarm","2","replica20","throughput",211.47954096339672
"swarm","3","replica20","throughput",204.30860845958492
"swarm","4","replica20","throughput",203.0956194721081
"swarm","5","replica20","throughput",203.55871472114288
"swarm","6","replica20","throughput",204.86836790249214
"k8s","1","replica20","errorPct",0.0
"k8s","2","replica20","errorPct",0.0
"k8s","3","replica20","errorPct",0.0
"k8s","4","replica20","errorPct",0.0
"k8s","5","replica20","errorPct",0.0
"k8s","6","replica20","errorPct",0.0
"nomad","1","replica20","errorPct",0.0
"nomad","2","replica20","errorPct",0.0
"nomad","3","replica20","errorPct",0.0
"nomad","4","replica20","errorPct",0.0
"nomad","5","replica20","errorPct",0.0
"nomad","6","replica20","errorPct",0.0
"swarm","1","replica20","errorPct",0.0
"swarm","2","replica20","errorPct",0.0
"swarm","3","replica20","errorPct",0.0
"swarm","4","replica20","errorPct",0.0
"swarm","5","replica20","errorPct",0.0
"swarm","6","replica20","errorPct",0.0
