"framework","runNumber","factor","factorValue"
"k8s",1,"resTime",13.0
"k8s",2,"resTime",12.0
"k8s",3,"resTime",12.0
"k8s",4,"resTime",12.0
"k8s",5,"resTime",12.0
"k8s",6,"resTime",12.0
"nomad",1,"resTime",14.0
"nomad",2,"resTime",14.0
"nomad",3,"resTime",14.0
"nomad",4,"resTime",15.0
"nomad",5,"resTime",14.0
"nomad",6,"resTime",14.0
"swarm",1,"resTime",11.0
"swarm",2,"resTime",12.0
"swarm",3,"resTime",12.0
"swarm",4,"resTime",12.0
"swarm",5,"resTime",12.0
"swarm",6,"resTime",12.0
"k8s",1,"throughput",51.092876631140086
"k8s",2,"throughput",53.935354624956666
"k8s",3,"throughput",52.79727505720962
"k8s",4,"throughput",53.104246670743045
"k8s",5,"throughput",51.94327201059049
"k8s",6,"throughput",52.67593763168984
"nomad",1,"throughput",52.5884801177982
"nomad",2,"throughput",51.19294180971438
"nomad",3,"throughput",51.81845773464509
"nomad",4,"throughput",49.323632079526604
"nomad",5,"throughput",49.676252764128634
"nomad",6,"throughput",50.25212207532649
"swarm",1,"throughput",58.438132384075445
"swarm",2,"throughput",56.97597567288627
"swarm",3,"throughput",57.00632118664358
"swarm",4,"throughput",56.778547442532
"swarm",5,"throughput",57.0225744226057
"swarm",6,"throughput",56.89891176767036
"k8s",1,"errorPct",0.0
"k8s",2,"errorPct",0.0
"k8s",3,"errorPct",0.0
"k8s",4,"errorPct",0.0
"k8s",5,"errorPct",0.0
"k8s",6,"errorPct",0.0
"nomad",1,"errorPct",0.0
"nomad",2,"errorPct",0.0
"nomad",3,"errorPct",0.0
"nomad",4,"errorPct",0.0
"nomad",5,"errorPct",0.0
"nomad",6,"errorPct",0.0
"swarm",1,"errorPct",0.0
"swarm",2,"errorPct",0.0
"swarm",3,"errorPct",0.0
"swarm",4,"errorPct",0.0
"swarm",5,"errorPct",0.0
"swarm",6,"errorPct",0.0
