"framework","runNumber","factor","factorValue"
"k8s",1,"resTime",10.0
"k8s",2,"resTime",10.0
"k8s",3,"resTime",10.0
"k8s",4,"resTime",10.0
"k8s",5,"resTime",10.0
"k8s",6,"resTime",10.0
"nomad",1,"resTime",14
"nomad",2,"resTime",16.0
"nomad",3,"resTime",15.0
"nomad",4,"resTime",12.0
"nomad",5,"resTime",14.0
"nomad",6,"resTime",15.0
"swarm",1,"resTime",7.0
"swarm",2,"resTime",7.0
"swarm",3,"resTime",7.0
"swarm",4,"resTime",7.0
"swarm",5,"resTime",7.0
"swarm",6,"resTime",7.0
"k8s",1,"throughput",934.6043953109563
"k8s",2,"throughput",908.2416441768736
"k8s",3,"throughput",950.7510933637573
"k8s",4,"throughput",945.5115217332576
"k8s",5,"throughput",888.2797827521446
"k8s",6,"throughput",946.7135515282662
"nomad",1,"throughput",639.3306825712392
"nomad",2,"throughput",513.4932884336561
"nomad",3,"throughput",547.0920712059584
"nomad",4,"throughput",123.17956228134408
"nomad",5,"throughput",650.7269549696947
"nomad",6,"throughput",645.8517862415116
"swarm",1,"throughput",1365.001365001365
"swarm",2,"throughput",1344.7573673492911
"swarm",3,"throughput",1313.370107696349
"swarm",4,"throughput",1340.2259237985834
"swarm",5,"throughput",1296.7765839199703
"swarm",6,"throughput",1323.701826708521
"k8s",1,"errorPct",0.0
"k8s",2,"errorPct",0.0
"k8s",3,"errorPct",0.0
"k8s",4,"errorPct",0.0
"k8s",5,"errorPct",0.0
"k8s",6,"errorPct",0.0
"nomad",1,"errorPct",0.76857144
"nomad",2,"errorPct",37.262856
"nomad",3,"errorPct",40.817142
"nomad",4,"errorPct",82.69714
"nomad",5,"errorPct",0.0
"nomad",6,"errorPct",0.0
"swarm",1,"errorPct",0.0
"swarm",2,"errorPct",0.0
"swarm",3,"errorPct",0.0
"swarm",4,"errorPct",0.0
"swarm",5,"errorPct",0.0
"swarm",6,"errorPct",0.0
