"framework","runNumber","caseNumber","factor","factorValue"
"k8s","1","user_5","resTime",5.0
"k8s","2","user_5","resTime",5.0
"k8s","3","user_5","resTime",5.0
"k8s","4","user_5","resTime",5.0
"k8s","5","user_5","resTime",5.0
"k8s","6","user_5","resTime",5.0
"nomad","1","user_5","resTime",8
"nomad","2","user_5","resTime",8
"nomad","3","user_5","resTime",8.0
"nomad","4","user_5","resTime",8.0
"nomad","5","user_5","resTime",8
"nomad","6","user_5","resTime",8.0
"swarm","1","user_5","resTime",4.0
"swarm","2","user_5","resTime",4.0
"swarm","3","user_5","resTime",4.0
"swarm","4","user_5","resTime",4.0
"swarm","5","user_5","resTime",4.0
"swarm","6","user_5","resTime",4.0
"k8s","1","user_5","throughput",818.2540795810539
"k8s","2","user_5","throughput",839.1071899498934
"k8s","3","user_5","throughput",861.0509742176736
"k8s","4","user_5","throughput",852.743397329695
"k8s","5","user_5","throughput",906.9707178025394
"k8s","6","user_5","throughput",832.0852055250457
"nomad","1","user_5","throughput",543.4650171048315
"nomad","2","user_5","throughput",561.9538102518709
"nomad","3","user_5","throughput",537.1636184494118
"nomad","4","user_5","throughput",575.2037864843545
"nomad","5","user_5","throughput",535.1854983779463
"nomad","6","user_5","throughput",556.2844146516638
"swarm","1","user_5","throughput",848.9568170790878
"swarm","2","user_5","throughput",1132.319637657716
"swarm","3","user_5","throughput",1174.7331677518964
"swarm","4","user_5","throughput",1156.948300938781
"swarm","5","user_5","throughput",1173.0401850051949
"swarm","6","user_5","throughput",1170.216322845966
"k8s","1","user_5","errorPct",0.0
"k8s","2","user_5","errorPct",0.0
"k8s","3","user_5","errorPct",0.0
"k8s","4","user_5","errorPct",0.0
"k8s","5","user_5","errorPct",0.0
"k8s","6","user_5","errorPct",0.0
"nomad","1","user_5","errorPct",0.5971429
"nomad","2","user_5","errorPct",0.23714286
"nomad","3","user_5","errorPct",0.30857143
"nomad","4","user_5","errorPct",0.0
"nomad","5","user_5","errorPct",0.54571426
"nomad","6","user_5","errorPct",0.41714287
"swarm","1","user_5","errorPct",0.017142856
"swarm","2","user_5","errorPct",0.0
"swarm","3","user_5","errorPct",0.0
"swarm","4","user_5","errorPct",0.0
"swarm","5","user_5","errorPct",0.0
"swarm","6","user_5","errorPct",0.0
"k8s","1","user_10","resTime",10.0
"k8s","2","user_10","resTime",10.0
"k8s","3","user_10","resTime",10.0
"k8s","4","user_10","resTime",10.0
"k8s","5","user_10","resTime",10.0
"k8s","6","user_10","resTime",10.0
"nomad","1","user_10","resTime",14
"nomad","2","user_10","resTime",16.0
"nomad","3","user_10","resTime",15.0
"nomad","4","user_10","resTime",12.0
"nomad","5","user_10","resTime",14.0
"nomad","6","user_10","resTime",15.0
"swarm","1","user_10","resTime",7.0
"swarm","2","user_10","resTime",7.0
"swarm","3","user_10","resTime",7.0
"swarm","4","user_10","resTime",7.0
"swarm","5","user_10","resTime",7.0
"swarm","6","user_10","resTime",7.0
"k8s","1","user_10","throughput",934.6043953109563
"k8s","2","user_10","throughput",908.2416441768736
"k8s","3","user_10","throughput",950.7510933637573
"k8s","4","user_10","throughput",945.5115217332576
"k8s","5","user_10","throughput",888.2797827521446
"k8s","6","user_10","throughput",946.7135515282662
"nomad","1","user_10","throughput",639.3306825712392
"nomad","2","user_10","throughput",513.4932884336561
"nomad","3","user_10","throughput",547.0920712059584
"nomad","4","user_10","throughput",123.17956228134408
"nomad","5","user_10","throughput",650.7269549696947
"nomad","6","user_10","throughput",645.8517862415116
"swarm","1","user_10","throughput",1365.001365001365
"swarm","2","user_10","throughput",1344.7573673492911
"swarm","3","user_10","throughput",1313.370107696349
"swarm","4","user_10","throughput",1340.2259237985834
"swarm","5","user_10","throughput",1296.7765839199703
"swarm","6","user_10","throughput",1323.701826708521
"k8s","1","user_10","errorPct",0.0
"k8s","2","user_10","errorPct",0.0
"k8s","3","user_10","errorPct",0.0
"k8s","4","user_10","errorPct",0.0
"k8s","5","user_10","errorPct",0.0
"k8s","6","user_10","errorPct",0.0
"nomad","1","user_10","errorPct",0.76857144
"nomad","2","user_10","errorPct",37.262856
"nomad","3","user_10","errorPct",40.817142
"nomad","4","user_10","errorPct",82.69714
"nomad","5","user_10","errorPct",0.0
"nomad","6","user_10","errorPct",0.0
"swarm","1","user_10","errorPct",0.0
"swarm","2","user_10","errorPct",0.0
"swarm","3","user_10","errorPct",0.0
"swarm","4","user_10","errorPct",0.0
"swarm","5","user_10","errorPct",0.0
"swarm","6","user_10","errorPct",0.0
"k8s","1","user_20","resTime",19.0
"k8s","2","user_20","resTime",19.0
"k8s","3","user_20","resTime",18.0
"k8s","4","user_20","resTime",18.0
