"framework","runNumber","factor","factorValue"
"k8s",1,"resTime",12
"k8s",2,"resTime",12
"k8s",3,"resTime",11
"k8s",4,"resTime",11
"k8s",5,"resTime",10
"k8s",6,"resTime",11
"nomad",1,"resTime",19
"nomad",2,"resTime",19
"nomad",3,"resTime",19
"nomad",4,"resTime",19
"nomad",5,"resTime",19
"nomad",6,"resTime",19
"swarm",1,"resTime",9
"swarm",2,"resTime",8
"swarm",3,"resTime",8
"swarm",4,"resTime",8
"swarm",5,"resTime",8
"swarm",6,"resTime",8
"k8s",1,"throughput",935.9955065796513
"k8s",2,"throughput",985.6080662423252
"k8s",3,"throughput",1022.677459890704
"k8s",4,"throughput",1058.273859925003
"k8s",5,"throughput",1137.789771434145
"k8s",6,"throughput",1083.3694508079996
"nomad",1,"throughput",639.0146811774158
"nomad",2,"throughput",668.8391116547532
"nomad",3,"throughput",665.4939621565085
"nomad",4,"throughput",667.3340961098398
"nomad",5,"throughput",658.1595230482782
"nomad",6,"throughput",668.0857562856761
"swarm",1,"throughput",1372.8374720489585
"swarm",2,"throughput",1447.2106199081923
"swarm",3,"throughput",1471.8004794549354
"swarm",4,"throughput",1525.3018349823474
"swarm",5,"throughput",1565.70175831059
"swarm",6,"throughput",1505.485050548505
"k8s",1,"errorPct",0.0
"k8s",2,"errorPct",0.0
"k8s",3,"errorPct",0.0
"k8s",4,"errorPct",0.0
"k8s",5,"errorPct",0.0
"k8s",6,"errorPct",0.0
"nomad",1,"errorPct",0.0
"nomad",2,"errorPct",0.0
"nomad",3,"errorPct",0.0
"nomad",4,"errorPct",0.0
"nomad",5,"errorPct",0.0
"nomad",6,"errorPct",0.0
"swarm",1,"errorPct",0.0
"swarm",2,"errorPct",0.0
"swarm",3,"errorPct",0.0
"swarm",4,"errorPct",0.0
"swarm",5,"errorPct",0.0
"swarm",6,"errorPct",0.0
