"framework","runNumber","caseNumber","factor","factorValue"
"k8s","1","replica1","resTime",14
"k8s","2","replica1","resTime",14
"k8s","3","replica1","resTime",14
"k8s","4","replica1","resTime",14
"k8s","5","replica1","resTime",14
"k8s","6","replica1","resTime",14
"nomad","1","replica1","resTime",20
"nomad","2","replica1","resTime",19
"nomad","3","replica1","resTime",19
"nomad","4","replica1","resTime",19
"nomad","5","replica1","resTime",19
"nomad","6","replica1","resTime",20
"swarm","1","replica1","resTime",10
"swarm","2","replica1","resTime",10
"swarm","3","replica1","resTime",10
"swarm","4","replica1","resTime",10
"swarm","5","replica1","resTime",10
"swarm","6","replica1","resTime",10
"k8s","1","replica1","throughput",944.2795466810577
"k8s","2","replica1","throughput",943.2106085925288
"k8s","3","replica1","throughput",980.0873802722231
"k8s","4","replica1","throughput",951.1320088060229
"k8s","5","replica1","throughput",948.3225841417809
"k8s","6","replica1","throughput",974.8453952866454
"nomad","1","replica1","throughput",633.5197957964482
"nomad","2","replica1","throughput",668.4941450648532
"nomad","3","replica1","throughput",656.246483891535
"nomad","4","replica1","throughput",667.3468220217777
"nomad","5","replica1","throughput",666.6222188357208
"nomad","6","replica1","throughput",660.0463984609291
"swarm","1","replica1","throughput",1333.6000914599292
"swarm","2","replica1","throughput",1370.955104599232
"swarm","3","replica1","throughput",1383.4203036053132
"swarm","4","replica1","throughput",1349.647113270855
"swarm","5","replica1","throughput",1327.630031488296
"swarm","6","replica1","throughput",1351.836829296558
"k8s","1","replica1","errorPct",0.0
"k8s","2","replica1","errorPct",0.0
"k8s","3","replica1","errorPct",0.0
"k8s","4","replica1","errorPct",0.0
"k8s","5","replica1","errorPct",0.0
"k8s","6","replica1","errorPct",0.0
"nomad","1","replica1","errorPct",0.0
"nomad","2","replica1","errorPct",0.0
"nomad","3","replica1","errorPct",0.0
"nomad","4","replica1","errorPct",0.0
"nomad","5","replica1","errorPct",0.0
"nomad","6","replica1","errorPct",0.0
"swarm","1","replica1","errorPct",0.0
"swarm","2","replica1","errorPct",0.0
"swarm","3","replica1","errorPct",0.0
"swarm","4","replica1","errorPct",0.0
"swarm","5","replica1","errorPct",0.0
"swarm","6","replica1","errorPct",0.0
"k8s","1","replica10","resTime",11
"k8s","2","replica10","resTime",10
"k8s","3","replica10","resTime",10
"k8s","4","replica10","resTime",10
"k8s","5","replica10","resTime",10
"k8s","6","replica10","resTime",10
"nomad","1","replica10","resTime",20
"nomad","2","replica10","resTime",19
"nomad","3","replica10","resTime",19
"nomad","4","replica10","resTime",19
"nomad","5","replica10","resTime",19
"nomad","6","replica10","resTime",19
"swarm","1","replica10","resTime",10
"swarm","2","replica10","resTime",8
"swarm","3","replica10","resTime",8
"swarm","4","replica10","resTime",8
"swarm","5","replica10","resTime",8
"swarm","6","replica10","resTime",8
"k8s","1","replica10","throughput",1013.5839657070034
"k8s","2","replica10","throughput",1056.1339972838389
"k8s","3","replica10","throughput",1097.7445967564854
"k8s","4","replica10","throughput",1076.0739214661296
"k8s","5","replica10","throughput",1113.7455841634576
"k8s","6","replica10","throughput",1086.126629422719
"nomad","1","replica10","throughput",651.7609371798932
"nomad","2","replica10","throughput",666.1527040146194
"nomad","3","replica10","throughput",657.6647685628911
"nomad","4","replica10","throughput",659.7975074944852
"nomad","5","replica10","throughput",655.1898449786565
"nomad","6","replica10","throughput",665.3041825095057
"swarm","1","replica10","throughput",1314.1194141945175
"swarm","2","replica10","throughput",1523.8406270411497
"swarm","3","replica10","throughput",1533.2544689800209
"swarm","4","replica10","throughput",1600.4298911552182
"swarm","5","replica10","throughput",1481.5834038950043
"swarm","6","replica10","throughput",1584.4161724091095
"k8s","1","replica10","errorPct",0.0
"k8s","2","replica10","errorPct",0.0
"k8s","3","replica10","errorPct",0.0
"k8s","4","replica10","errorPct",0.0
"k8s","5","replica10","errorPct",0.0
"k8s","6","replica10","errorPct",0.0
"nomad","1","replica10","errorPct",0.0
"nomad","2","replica10","errorPct",0.0
"nomad","3","replica10","errorPct",0.0
"nomad","4","replica10","errorPct",0.0
"nomad","5","replica10","errorPct",0.0
"nomad","6","replica10","errorPct",0.0
"swarm","1","replica10","errorPct",0.0
"swarm","2","replica10","errorPct",0.0
"swarm","3","replica10","errorPct",0.0
"swarm","4","replica10","errorPct",0.0
"swarm","5","replica10","errorPct",0.0
"swarm","6","replica10","errorPct",0.0
"k8s","1","replica20","resTime",12
"k8s","2","replica20","resTime",12
"k8s","3","replica20","resTime",11
"k8s","4","replica20","resTime",11
"k8s","5","replica20","resTime",10
"k8s","6","replica20","resTime",11
"nomad","1","replica20","resTime",19
"nomad","2","replica20","resTime",19
"nomad","3","replica20","resTime",19
"nomad","4","replica20","resTime",19
"nomad","5","replica20","resTime",19
"nomad","6","replica20","resTime",19
"swarm","1","replica20","resTime",9
"swarm","2","replica20","resTime",8
"swarm","3","replica20","resTime",8
"swarm","4","replica20","resTime",8
"swarm","5","replica20","resTime",8
"swarm","6","replica20","resTime",8
"k8s","1","replica20","throughput",935.9955065796513
"k8s","2","replica20","throughput",985.6080662423252
"k8s","3","replica20","throughput",1022.677459890704
"k8s","4","replica20","throughput",1058.273859925003
"k8s","5","replica20","throughput",1137.789771434145
"k8s","6","replica20","throughput",1083.3694508079996
"nomad","1","replica20","throughput",639.0146811774158
"nomad","2","replica20","throughput",668.8391116547532
"nomad","3","replica20","throughput",665.4939621565085
"nomad","4","replica20","throughput",667.3340961098398
"nomad","5","replica20","throughput",658.1595230482782
"nomad","6","replica20","throughput",668.0857562856761
"swarm","1","replica20","throughput",1372.8374720489585
"swarm","2","replica20","throughput",1447.2106199081923
"swarm","3","replica20","throughput",1471.8004794549354
"swarm","4","replica20","throughput",1525.3018349823474
"swarm","5","replica20","throughput",1565.70175831059
"swarm","6","replica20","throughput",1505.485050548505
"k8s","1","replica20","errorPct",0.0
"k8s","2","replica20","errorPct",0.0
"k8s","3","replica20","errorPct",0.0
"k8s","4","replica20","errorPct",0.0
"k8s","5","replica20","errorPct",0.0
"k8s","6","replica20","errorPct",0.0
"nomad","1","replica20","errorPct",0.0
"nomad","2","replica20","errorPct",0.0
"nomad","3","replica20","errorPct",0.0
"nomad","4","replica20","errorPct",0.0
"nomad","5","replica20","errorPct",0.0
"nomad","6","replica20","errorPct",0.0
"swarm","1","replica20","errorPct",0.0
"swarm","2","replica20","errorPct",0.0
"swarm","3","replica20","errorPct",0.0
"swarm","4","replica20","errorPct",0.0
"swarm","5","replica20","errorPct",0.0
"swarm","6","replica20","errorPct",0.0
