"framework","runNumber","factor","factorValue"
"k8s",1,"resTime",3.0
"k8s",2,"resTime",3.0
"k8s",3,"resTime",3.0
"k8s",4,"resTime",3.0
"k8s",5,"resTime",3.0
"k8s",6,"resTime",3.0
"nomad",1,"resTime",5
"nomad",2,"resTime",5.0
"nomad",3,"resTime",5.0
"nomad",4,"resTime",5.0
"nomad",5,"resTime",5.0
"nomad",6,"resTime",5.0
"swarm",1,"resTime",2.0
"swarm",2,"resTime",2.0
"swarm",3,"resTime",2.0
"swarm",4,"resTime",2.0
"swarm",5,"resTime",2.0
"swarm",6,"resTime",2.0
"k8s",1,"throughput",339.61129061993614
"k8s",2,"throughput",337.87371245981717
"k8s",3,"throughput",335.38396672991047
"k8s",4,"throughput",348.9914148111956
"k8s",5,"throughput",331.4362553384911
"k8s",6,"throughput",334.95066655182643
"nomad",1,"throughput",204.1603454312055
"nomad",2,"throughput",179.09867313468732
"nomad",3,"throughput",194.17798909274495
"nomad",4,"throughput",188.09114359415304
"nomad",5,"throughput",189.83256767531037
"nomad",6,"throughput",196.98112358032893
"swarm",1,"throughput",375.46799403542275
"swarm",2,"throughput",379.440812653809
"swarm",3,"throughput",370.11187953387054
"swarm",4,"throughput",389.40809968847356
"swarm",5,"throughput",381.8626167408571
"swarm",6,"throughput",384.0877914951989
"k8s",1,"errorPct",0.0
"k8s",2,"errorPct",0.0
"k8s",3,"errorPct",0.0
"k8s",4,"errorPct",0.0
"k8s",5,"errorPct",0.0
"k8s",6,"errorPct",0.0
"nomad",1,"errorPct",0.03142857
"nomad",2,"errorPct",0.0
"nomad",3,"errorPct",0.0
"nomad",4,"errorPct",0.0
"nomad",5,"errorPct",0.0
"nomad",6,"errorPct",0.0
"swarm",1,"errorPct",0.0
"swarm",2,"errorPct",0.0
"swarm",3,"errorPct",0.0
"swarm",4,"errorPct",0.0
"swarm",5,"errorPct",0.0
"swarm",6,"errorPct",0.0
