"framework","runNumber","caseNumber","factor","factorValue"
"k8s","1","replica1","resTime",3.0
"k8s","2","replica1","resTime",3.0
"k8s","3","replica1","resTime",3.0
"k8s","4","replica1","resTime",3.0
"k8s","5","replica1","resTime",3.0
"k8s","6","replica1","resTime",3.0
"nomad","1","replica1","resTime",4.0
"nomad","2","replica1","resTime",4.0
"nomad","3","replica1","resTime",4.0
"nomad","4","replica1","resTime",4.0
"nomad","5","replica1","resTime",4.0
"nomad","6","replica1","resTime",4.0
"swarm","1","replica1","resTime",2.0
"swarm","2","replica1","resTime",2.0
"swarm","3","replica1","resTime",2.0
"swarm","4","replica1","resTime",2.0
"swarm","5","replica1","resTime",2.0
"swarm","6","replica1","resTime",2.0
"k8s","1","replica1","throughput",337.5250732911588
"k8s","2","replica1","throughput",336.047315462017
"k8s","3","replica1","throughput",339.4169786070327
"k8s","4","replica1","throughput",344.9737327143519
"k8s","5","replica1","throughput",339.17686619957163
"k8s","6","replica1","throughput",352.41403614761117
"nomad","1","replica1","throughput",213.18844640442455
"nomad","2","replica1","throughput",218.55330202817464
"nomad","3","replica1","throughput",214.70153419582007
"nomad","4","replica1","throughput",210.67077574998797
"nomad","5","replica1","throughput",216.3324844858704
"nomad","6","replica1","throughput",216.99774322347048
"swarm","1","replica1","throughput",367.61616670867994
"swarm","2","replica1","throughput",390.991554582421
"swarm","3","replica1","throughput",390.7994640464493
"swarm","4","replica1","throughput",378.2597888229636
"swarm","5","replica1","throughput",382.4718609987979
"swarm","6","replica1","throughput",393.88244297144917
"k8s","1","replica1","errorPct",0.0
"k8s","2","replica1","errorPct",0.0
"k8s","3","replica1","errorPct",0.0
"k8s","4","replica1","errorPct",0.0
"k8s","5","replica1","errorPct",0.0
"k8s","6","replica1","errorPct",0.0
"nomad","1","replica1","errorPct",0.0
"nomad","2","replica1","errorPct",0.0
"nomad","3","replica1","errorPct",0.0
"nomad","4","replica1","errorPct",0.0
"nomad","5","replica1","errorPct",0.0
"nomad","6","replica1","errorPct",0.0
"swarm","1","replica1","errorPct",0.0
"swarm","2","replica1","errorPct",0.0
"swarm","3","replica1","errorPct",0.0
"swarm","4","replica1","errorPct",0.0
"swarm","5","replica1","errorPct",0.0
"swarm","6","replica1","errorPct",0.0
"k8s","1","replica10","resTime",3.0
"k8s","2","replica10","resTime",3.0
"k8s","3","replica10","resTime",3.0
"k8s","4","replica10","resTime",3.0
"k8s","5","replica10","resTime",3.0
"k8s","6","replica10","resTime",3.0
"nomad","1","replica10","resTime",5
"nomad","2","replica10","resTime",5.0
"nomad","3","replica10","resTime",5.0
"nomad","4","replica10","resTime",5.0
"nomad","5","replica10","resTime",5.0
"nomad","6","replica10","resTime",5.0
"swarm","1","replica10","resTime",2.0
"swarm","2","replica10","resTime",2.0
"swarm","3","replica10","resTime",2.0
"swarm","4","replica10","resTime",2.0
"swarm","5","replica10","resTime",2.0
"swarm","6","replica10","resTime",2.0
"k8s","1","replica10","throughput",339.61129061993614
