"framework","runNumber","caseNumber","factor","factorValue"
"k8s","1","user_5","resTime",8.0
"k8s","2","user_5","resTime",9.0
"k8s","3","user_5","resTime",9.0
"k8s","4","user_5","resTime",8.0
"k8s","5","user_5","resTime",8.0
"k8s","6","user_5","resTime",8.0
"nomad","1","user_5","resTime",9.0
"nomad","2","user_5","resTime",10
"nomad","3","user_5","resTime",11.0
"nomad","4","user_5","resTime",11.0
"nomad","5","user_5","resTime",11.0
"nomad","6","user_5","resTime",11.0
"swarm","1","user_5","resTime",7.0
"swarm","2","user_5","resTime",7.0
"swarm","3","user_5","resTime",7.0
"swarm","4","user_5","resTime",7.0
"swarm","5","user_5","resTime",7.0
"swarm","6","user_5","resTime",7.0
"k8s","1","user_5","throughput",547.4224224224224
"k8s","2","user_5","throughput",532.708288940976
"k8s","3","user_5","throughput",539.9068275074816
"k8s","4","user_5","throughput",540.3319181783095
"k8s","5","user_5","throughput",557.4491128595547
"k8s","6","user_5","throughput",561.9330496909369
"nomad","1","user_5","throughput",469.9491852111442
"nomad","2","user_5","throughput",365.6123653797989
"nomad","3","user_5","throughput",446.96447270962636
"nomad","4","user_5","throughput",451.01930362619515
"nomad","5","user_5","throughput",444.3992991188197
"nomad","6","user_5","throughput",447.8566858605246
"swarm","1","user_5","throughput",616.5879782961032
"swarm","2","user_5","throughput",678.3471586944725
"swarm","3","user_5","throughput",674.9850539023779
"swarm","4","user_5","throughput",677.5461215324158
"swarm","5","user_5","throughput",663.6580833554552
"swarm","6","user_5","throughput",664.464441660022
"k8s","1","user_5","errorPct",0.0
"k8s","2","user_5","errorPct",0.0
"k8s","3","user_5","errorPct",0.0
"k8s","4","user_5","errorPct",0.0
"k8s","5","user_5","errorPct",0.0
"k8s","6","user_5","errorPct",0.0
"nomad","1","user_5","errorPct",0.38285714
"nomad","2","user_5","errorPct",41.60857
"nomad","3","user_5","errorPct",0.0
"nomad","4","user_5","errorPct",0.0
"nomad","5","user_5","errorPct",0.0
"nomad","6","user_5","errorPct",0.0
"swarm","1","user_5","errorPct",0.0
"swarm","2","user_5","errorPct",0.0
"swarm","3","user_5","errorPct",0.0
"swarm","4","user_5","errorPct",0.0
"swarm","5","user_5","errorPct",0.0
"swarm","6","user_5","errorPct",0.0
"k8s","1","user_10","resTime",16.0
"k8s","2","user_10","resTime",16.0
"k8s","3","user_10","resTime",16.0
"k8s","4","user_10","resTime",16.0
"k8s","5","user_10","resTime",15.0
"k8s","6","user_10","resTime",16.0
"nomad","1","user_10","resTime",20.0
"nomad","2","user_10","resTime",19.0
"nomad","3","user_10","resTime",17
"nomad","4","user_10","resTime",17.0
"nomad","5","user_10","resTime",21.0
"nomad","6","user_10","resTime",19
"swarm","1","user_10","resTime",13.0
"swarm","2","user_10","resTime",13.0
"swarm","3","user_10","resTime",13.0
"swarm","4","user_10","resTime",13.0
"swarm","5","user_10","resTime",13.0
"swarm","6","user_10","resTime",13.0
"k8s","1","user_10","throughput",590.3685586573332
"k8s","2","user_10","throughput",592.4972914409534
"k8s","3","user_10","throughput",577.3672055427252
"k8s","4","user_10","throughput",601.8502596553977
"k8s","5","user_10","throughput",631.3017441965333
"k8s","6","user_10","throughput",605.8298137506058
"nomad","1","user_10","throughput",482.738645297436
"nomad","2","user_10","throughput",490.3324503874103
"nomad","3","user_10","throughput",454.2178252804523
"nomad","4","user_10","throughput",487.6621476640983
"nomad","5","user_10","throughput",451.3566491282369
"nomad","6","user_10","throughput",479.4032910410549
"swarm","1","user_10","throughput",749.8018380856488
"swarm","2","user_10","throughput",742.2015819496576
"swarm","3","user_10","throughput",733.3528894103843
"swarm","4","user_10","throughput",733.2453438920663
"swarm","5","user_10","throughput",731.6818229329988
"swarm","6","user_10","throughput",750.8634930169695
"k8s","1","user_10","errorPct",0.0
"k8s","2","user_10","errorPct",0.0
"k8s","3","user_10","errorPct",0.0
"k8s","4","user_10","errorPct",0.0
"k8s","5","user_10","errorPct",0.0
"k8s","6","user_10","errorPct",0.0
"nomad","1","user_10","errorPct",0.0
"nomad","2","user_10","errorPct",1.0971428
"nomad","3","user_10","errorPct",26.54
"nomad","4","user_10","errorPct",0.0
"nomad","5","user_10","errorPct",0.0
"nomad","6","user_10","errorPct",1.1114286
"swarm","1","user_10","errorPct",0.0
"swarm","2","user_10","errorPct",0.0
"swarm","3","user_10","errorPct",0.0
"swarm","4","user_10","errorPct",0.0
"swarm","5","user_10","errorPct",0.0
"swarm","6","user_10","errorPct",0.0
"k8s","1","user_20","resTime",30
"k8s","2","user_20","resTime",30.0
"k8s","3","user_20","resTime",31.0
"k8s","4","user_20","resTime",30.0
"k8s","5","user_20","resTime",32.0
"k8s","6","user_20","resTime",30.0
"nomad","1","user_20","resTime",39.0
"nomad","2","user_20","resTime",34
"nomad","3","user_20","resTime",36.0
"nomad","4","user_20","resTime",32.0
"nomad","5","user_20","resTime",29.0
"nomad","6","user_20","resTime",39.0
"swarm","1","user_20","resTime",25.0
