"framework","runNumber","factor","factorValue"
"k8s",1,"resTime",23
"k8s",2,"resTime",23
"k8s",3,"resTime",23
"k8s",4,"resTime",23
"k8s",5,"resTime",22
"k8s",6,"resTime",24
"nomad",1,"resTime",29
"nomad",2,"resTime",29
"nomad",3,"resTime",29
"nomad",4,"resTime",30
"nomad",5,"resTime",29
"nomad",6,"resTime",30
"swarm",1,"resTime",19
"swarm",2,"resTime",19
"swarm",3,"resTime",19
"swarm",4,"resTime",19
"swarm",5,"resTime",19
"swarm",6,"resTime",19
"k8s",1,"throughput",607.4571681508097
"k8s",2,"throughput",613.7212605882044
"k8s",3,"throughput",604.2789059262329
"k8s",4,"throughput",609.1701916549167
"k8s",5,"throughput",633.7033482425801
"k8s",6,"throughput",594.485781265926
"nomad",1,"throughput",491.46139370277785
"nomad",2,"throughput",498.29132849209736
"nomad",3,"throughput",487.3751793100567
"nomad",4,"throughput",485.1589469160278
"nomad",5,"throughput",501.37539757586177
"nomad",6,"throughput",489.0028505952714
"swarm",1,"throughput",789.4024497529945
"swarm",2,"throughput",783.903050938578
"swarm",3,"throughput",782.815855404438
"swarm",4,"throughput",793.591400775563
"swarm",5,"throughput",789.206621262009
"swarm",6,"throughput",788.1046752544815
"k8s",1,"errorPct",0.0
"k8s",2,"errorPct",0.0
"k8s",3,"errorPct",0.0
"k8s",4,"errorPct",0.0
"k8s",5,"errorPct",0.0
"k8s",6,"errorPct",0.0
"nomad",1,"errorPct",0.0
"nomad",2,"errorPct",0.0
"nomad",3,"errorPct",0.0
"nomad",4,"errorPct",0.0
"nomad",5,"errorPct",0.0
"nomad",6,"errorPct",0.0
"swarm",1,"errorPct",0.0
"swarm",2,"errorPct",0.0
"swarm",3,"errorPct",0.0
"swarm",4,"errorPct",0.0
"swarm",5,"errorPct",0.0
"swarm",6,"errorPct",0.0
