"framework","runNumber","caseNumber","factor","factorValue"
"k8s","1","replica1","resTime",23
"k8s","2","replica1","resTime",23
"k8s","3","replica1","resTime",23
"k8s","4","replica1","resTime",23
"k8s","5","replica1","resTime",22
"k8s","6","replica1","resTime",24
"nomad","1","replica1","resTime",29
"nomad","2","replica1","resTime",29
"nomad","3","replica1","resTime",29
"nomad","4","replica1","resTime",30
"nomad","5","replica1","resTime",29
"nomad","6","replica1","resTime",30
"swarm","1","replica1","resTime",19
"swarm","2","replica1","resTime",19
"swarm","3","replica1","resTime",19
"swarm","4","replica1","resTime",19
"swarm","5","replica1","resTime",19
"swarm","6","replica1","resTime",19
"k8s","1","replica1","throughput",607.4571681508097
"k8s","2","replica1","throughput",613.7212605882044
"k8s","3","replica1","throughput",604.2789059262329
"k8s","4","replica1","throughput",609.1701916549167
"k8s","5","replica1","throughput",633.7033482425801
"k8s","6","replica1","throughput",594.485781265926
"nomad","1","replica1","throughput",491.46139370277785
"nomad","2","replica1","throughput",498.29132849209736
"nomad","3","replica1","throughput",487.3751793100567
"nomad","4","replica1","throughput",485.1589469160278
"nomad","5","replica1","throughput",501.37539757586177
"nomad","6","replica1","throughput",489.0028505952714
"swarm","1","replica1","throughput",789.4024497529945
"swarm","2","replica1","throughput",783.903050938578
"swarm","3","replica1","throughput",782.815855404438
"swarm","4","replica1","throughput",793.591400775563
"swarm","5","replica1","throughput",789.206621262009
"swarm","6","replica1","throughput",788.1046752544815
"k8s","1","replica1","errorPct",0.0
"k8s","2","replica1","errorPct",0.0
"k8s","3","replica1","errorPct",0.0
"k8s","4","replica1","errorPct",0.0
"k8s","5","replica1","errorPct",0.0
"k8s","6","replica1","errorPct",0.0
"nomad","1","replica1","errorPct",0.0
"nomad","2","replica1","errorPct",0.0
"nomad","3","replica1","errorPct",0.0
"nomad","4","replica1","errorPct",0.0
"nomad","5","replica1","errorPct",0.0
"nomad","6","replica1","errorPct",0.0
"swarm","1","replica1","errorPct",0.0
"swarm","2","replica1","errorPct",0.0
"swarm","3","replica1","errorPct",0.0
"swarm","4","replica1","errorPct",0.0
"swarm","5","replica1","errorPct",0.0
"swarm","6","replica1","errorPct",0.0
"k8s","1","replica10","resTime",13
"k8s","2","replica10","resTime",14
"k8s","3","replica10","resTime",14
"k8s","4","replica10","resTime",14
"k8s","5","replica10","resTime",14
"k8s","6","replica10","resTime",13
"nomad","1","replica10","resTime",26
"nomad","2","replica10","resTime",22
"nomad","3","replica10","resTime",21
"nomad","4","replica10","resTime",21
"nomad","5","replica10","resTime",21
"nomad","6","replica10","resTime",22
"swarm","1","replica10","resTime",11
"swarm","2","replica10","resTime",11
"swarm","3","replica10","resTime",10
"swarm","4","replica10","resTime",11
"swarm","5","replica10","resTime",11
"swarm","6","replica10","resTime",11
"k8s","1","replica10","throughput",848.3430704710189
"k8s","2","replica10","throughput",826.1331444759207
"k8s","3","replica10","throughput",807.5831352548867
"k8s","4","replica10","throughput",834.2869403518811
"k8s","5","replica10","throughput",831.018023794258
"k8s","6","replica10","throughput",837.5616294097938
"nomad","1","replica10","throughput",523.9641217685431
"nomad","2","replica10","throughput",591.8916176172113
"nomad","3","replica10","throughput",596.4412932694765
"nomad","4","replica10","throughput",603.5389683183002
"nomad","5","replica10","throughput",611.9932846000489
"nomad","6","replica10","throughput",586.8198205751656
"swarm","1","replica10","throughput",1197.4337040205303
"swarm","2","replica10","throughput",1243.8244179847165
"swarm","3","replica10","throughput",1267.7051258829922
"swarm","4","replica10","throughput",1248.439227997574
"swarm","5","replica10","throughput",1243.4266628766345
"swarm","6","replica10","throughput",1235.7427875278083
"k8s","1","replica10","errorPct",0.0
"k8s","2","replica10","errorPct",0.0
"k8s","3","replica10","errorPct",0.0
"k8s","4","replica10","errorPct",0.0
"k8s","5","replica10","errorPct",0.0
"k8s","6","replica10","errorPct",0.0
"nomad","1","replica10","errorPct",0.8458351
"nomad","2","replica10","errorPct",0.0
"nomad","3","replica10","errorPct",0.0
"nomad","4","replica10","errorPct",0.0
"nomad","5","replica10","errorPct",0.0
"nomad","6","replica10","errorPct",0.0
"swarm","1","replica10","errorPct",0.0
"swarm","2","replica10","errorPct",0.0
