"framework","runNumber","factor","factorValue"
"k8s",1,"resTime",3.0
"k8s",2,"resTime",4.0
"k8s",3,"resTime",3.0
"k8s",4,"resTime",3.0
"k8s",5,"resTime",3.0
"k8s",6,"resTime",3.0
"nomad",1,"resTime",5.0
"nomad",2,"resTime",5.0
"nomad",3,"resTime",6.0
"nomad",4,"resTime",6.0
"nomad",5,"resTime",6.0
"nomad",6,"resTime",6.0
"swarm",1,"resTime",3.0
"swarm",2,"resTime",3.0
"swarm",3,"resTime",3.0
"swarm",4,"resTime",3.0
"swarm",5,"resTime",3.0
"swarm",6,"resTime",3.0
"k8s",1,"throughput",264.0433332830394
"k8s",2,"throughput",259.62080526956055
"k8s",3,"throughput",256.4797784014715
"k8s",4,"throughput",268.92874156716306
"k8s",5,"throughput",261.5394962002047
"k8s",6,"throughput",269.4940441816236
"nomad",1,"throughput",185.68427307259725
"nomad",2,"throughput",170.752688172043
"nomad",3,"throughput",154.29989728035412
"nomad",4,"throughput",153.7150737393168
"nomad",5,"throughput",151.79574364734813
"nomad",6,"throughput",153.77450506577156
"swarm",1,"throughput",300.89667208280673
"swarm",2,"throughput",292.2389679789588
"swarm",3,"throughput",288.7741126384053
"swarm",4,"throughput",295.75048798830517
"swarm",5,"throughput",298.6781359070855
"swarm",6,"throughput",284.78437754271766
"k8s",1,"errorPct",0.0
"k8s",2,"errorPct",0.0
"k8s",3,"errorPct",0.0
"k8s",4,"errorPct",0.0
"k8s",5,"errorPct",0.0
"k8s",6,"errorPct",0.0
"nomad",1,"errorPct",0.0
"nomad",2,"errorPct",0.18285714
"nomad",3,"errorPct",0.0
"nomad",4,"errorPct",0.0
"nomad",5,"errorPct",0.0
"nomad",6,"errorPct",0.0
"swarm",1,"errorPct",0.0
"swarm",2,"errorPct",0.0
"swarm",3,"errorPct",0.0
"swarm",4,"errorPct",0.0
"swarm",5,"errorPct",0.0
"swarm",6,"errorPct",0.0
