"framework","runNumber","caseNumber","factor","factorValue"
"k8s","1","replica1","resTime",3.0
"k8s","2","replica1","resTime",4.0
"k8s","3","replica1","resTime",3.0
"k8s","4","replica1","resTime",4.0
"k8s","5","replica1","resTime",3.0
"k8s","6","replica1","resTime",4.0
"nomad","1","replica1","resTime",5.0
"nomad","2","replica1","resTime",5.0
"nomad","3","replica1","resTime",5.0
"nomad","4","replica1","resTime",5.0
"nomad","5","replica1","resTime",5.0
"nomad","6","replica1","resTime",5.0
"swarm","1","replica1","resTime",3.0
"swarm","2","replica1","resTime",3.0
"swarm","3","replica1","resTime",3.0
"swarm","4","replica1","resTime",3.0
"swarm","5","replica1","resTime",3.0
"swarm","6","replica1","resTime",3.0
"k8s","1","replica1","throughput",269.7183369937965
"k8s","2","replica1","throughput",265.42699620060216
"k8s","3","replica1","throughput",272.33115468409585
"k8s","4","replica1","throughput",262.20567413078817
"k8s","5","replica1","throughput",268.3637478914277
"k8s","6","replica1","throughput",266.2974009373669
"nomad","1","replica1","throughput",186.40123131327655
"nomad","2","replica1","throughput",191.6401108227384
"nomad","3","replica1","throughput",184.74824093282027
"nomad","4","replica1","throughput",183.79457018326943
"nomad","5","replica1","throughput",174.73178670740415
"nomad","6","replica1","throughput",180.2274985968002
"swarm","1","replica1","throughput",312.52511362520204
"swarm","2","replica1","throughput",309.756442934013
"swarm","3","replica1","throughput",313.78877532723686
"swarm","4","replica1","throughput",317.63029648519387
"swarm","5","replica1","throughput",318.7294533334547
"swarm","6","replica1","throughput",307.41124598169586
"k8s","1","replica1","errorPct",0.0
"k8s","2","replica1","errorPct",0.0
"k8s","3","replica1","errorPct",0.0
"k8s","4","replica1","errorPct",0.0
"k8s","5","replica1","errorPct",0.0
"k8s","6","replica1","errorPct",0.0
"nomad","1","replica1","errorPct",0.0
"nomad","2","replica1","errorPct",0.0
"nomad","3","replica1","errorPct",0.0
"nomad","4","replica1","errorPct",0.0
"nomad","5","replica1","errorPct",0.0
"nomad","6","replica1","errorPct",0.0
"swarm","1","replica1","errorPct",0.0
"swarm","2","replica1","errorPct",0.0
"swarm","3","replica1","errorPct",0.0
"swarm","4","replica1","errorPct",0.0
"swarm","5","replica1","errorPct",0.0
"swarm","6","replica1","errorPct",0.0
"k8s","1","replica10","resTime",4.0
"k8s","2","replica10","resTime",3.0
"k8s","3","replica10","resTime",4.0
"k8s","4","replica10","resTime",4.0
"k8s","5","replica10","resTime",4.0
"k8s","6","replica10","resTime",3.0
"nomad","1","replica10","resTime",5.0
"nomad","2","replica10","resTime",5.0
"nomad","3","replica10","resTime",6.0
"nomad","4","replica10","resTime",5.0
"nomad","5","replica10","resTime",5.0
"nomad","6","replica10","resTime",5.0
"swarm","1","replica10","resTime",3.0
"swarm","2","replica10","resTime",3.0
"swarm","3","replica10","resTime",3.0
"swarm","4","replica10","resTime",3.0
"swarm","5","replica10","resTime",3.0
"swarm","6","replica10","resTime",3.0
"k8s","1","replica10","throughput",257.5859048992839
"k8s","2","replica10","throughput",271.954498127399
"k8s","3","replica10","throughput",261.88391808271047
"k8s","4","replica10","throughput",259.4783743309165
"k8s","5","replica10","throughput",265.3424813312611
"k8s","6","replica10","throughput",270.60460800989637
"nomad","1","replica10","throughput",187.0737391229983
"nomad","2","replica10","throughput",179.09912126898192
"nomad","3","replica10","throughput",161.32154610569788
"nomad","4","replica10","throughput",165.0172796665708
"nomad","5","replica10","throughput",166.7301829268293
"nomad","6","replica10","throughput",169.0110919565207
"swarm","1","replica10","throughput",303.6586529702154
"swarm","2","replica10","throughput",285.89165523100047
"swarm","3","replica10","throughput",309.55371199122635
"swarm","4","replica10","throughput",301.3059460576269
"swarm","5","replica10","throughput",309.3539805018606
"swarm","6","replica10","throughput",314.510621472988
"k8s","1","replica10","errorPct",0.0
"k8s","2","replica10","errorPct",0.0
"k8s","3","replica10","errorPct",0.0
"k8s","4","replica10","errorPct",0.0
"k8s","5","replica10","errorPct",0.0
"k8s","6","replica10","errorPct",0.0
"nomad","1","replica10","errorPct",0.0
"nomad","2","replica10","errorPct",0.18857142
"nomad","3","replica10","errorPct",0.0
"nomad","4","replica10","errorPct",0.0
"nomad","5","replica10","errorPct",0.0
"nomad","6","replica10","errorPct",0.0
"swarm","1","replica10","errorPct",0.0
"swarm","2","replica10","errorPct",0.0
"swarm","3","replica10","errorPct",0.0
"swarm","4","replica10","errorPct",0.0
"swarm","5","replica10","errorPct",0.0
"swarm","6","replica10","errorPct",0.0
"k8s","1","replica20","resTime",3.0
"k8s","2","replica20","resTime",4.0
"k8s","3","replica20","resTime",3.0
"k8s","4","replica20","resTime",3.0
"k8s","5","replica20","resTime",3.0
"k8s","6","replica20","resTime",3.0
"nomad","1","replica20","resTime",5.0
"nomad","2","replica20","resTime",5.0
"nomad","3","replica20","resTime",6.0
"nomad","4","replica20","resTime",6.0
"nomad","5","replica20","resTime",6.0
"nomad","6","replica20","resTime",6.0
"swarm","1","replica20","resTime",3.0
"swarm","2","replica20","resTime",3.0
"swarm","3","replica20","resTime",3.0
"swarm","4","replica20","resTime",3.0
"swarm","5","replica20","resTime",3.0
"swarm","6","replica20","resTime",3.0
"k8s","1","replica20","throughput",264.0433332830394
"k8s","2","replica20","throughput",259.62080526956055
"k8s","3","replica20","throughput",256.4797784014715
"k8s","4","replica20","throughput",268.92874156716306
"k8s","5","replica20","throughput",261.5394962002047
"k8s","6","replica20","throughput",269.4940441816236
"nomad","1","replica20","throughput",185.68427307259725
"nomad","2","replica20","throughput",170.752688172043
"nomad","3","replica20","throughput",154.29989728035412
"nomad","4","replica20","throughput",153.7150737393168
"nomad","5","replica20","throughput",151.79574364734813
"nomad","6","replica20","throughput",153.77450506577156
"swarm","1","replica20","throughput",300.89667208280673
"swarm","2","replica20","throughput",292.2389679789588
"swarm","3","replica20","throughput",288.7741126384053
"swarm","4","replica20","throughput",295.75048798830517
"swarm","5","replica20","throughput",298.6781359070855
"swarm","6","replica20","throughput",284.78437754271766
"k8s","1","replica20","errorPct",0.0
"k8s","2","replica20","errorPct",0.0
"k8s","3","replica20","errorPct",0.0
"k8s","4","replica20","errorPct",0.0
"k8s","5","replica20","errorPct",0.0
"k8s","6","replica20","errorPct",0.0
"nomad","1","replica20","errorPct",0.0
"nomad","2","replica20","errorPct",0.18285714
"nomad","3","replica20","errorPct",0.0
"nomad","4","replica20","errorPct",0.0
"nomad","5","replica20","errorPct",0.0
"nomad","6","replica20","errorPct",0.0
"swarm","1","replica20","errorPct",0.0
"swarm","2","replica20","errorPct",0.0
"swarm","3","replica20","errorPct",0.0
"swarm","4","replica20","errorPct",0.0
"swarm","5","replica20","errorPct",0.0
"swarm","6","replica20","errorPct",0.0
