"framework","runNumber","factor","factorValue"
"warm_0","k8s","1","resTime",12.0
"cold_0","k8s","1","resTime",13.0
"warm_1","k8s","1","resTime",12.0
"cold_1","k8s","1","resTime",7.0
"warm_2","k8s","1","resTime",12.0
"cold_2","k8s","1","resTime",8.0
"warm_0","k8s","2","resTime",12.0
"cold_0","k8s","2","resTime",6.0
"warm_1","k8s","2","resTime",12.0
"cold_1","k8s","2","resTime",5.0
"warm_2","k8s","2","resTime",12.0
"cold_2","k8s","2","resTime",6.0
"warm_0","k8s","3","resTime",12.0
"cold_0","k8s","3","resTime",8.0
"warm_1","k8s","3","resTime",12.0
"cold_1","k8s","3","resTime",5.0
"warm_2","k8s","3","resTime",12.0
"cold_2","k8s","3","resTime",4.0
"warm_0","k8s","4","resTime",12.0
"cold_0","k8s","4","resTime",4.0
"warm_1","k8s","4","resTime",12.0
"cold_1","k8s","4","resTime",7.0
"warm_2","k8s","4","resTime",12.0
"cold_2","k8s","4","resTime",6
"warm_0","k8s","5","resTime",14.0
"cold_0","k8s","5","resTime",6.0
"warm_1","k8s","5","resTime",12.0
"cold_1","k8s","5","resTime",6.0
"warm_2","k8s","5","resTime",11.0
"cold_2","k8s","5","resTime",7.0
"warm_0","k8s","6","resTime",12.0
"cold_0","k8s","6","resTime",7.0
"warm_1","k8s","6","resTime",12.0
"cold_1","k8s","6","resTime",4.0
"warm_2","k8s","6","resTime",12.0
"cold_2","k8s","6","resTime",6.0
"warm_0","swarm","1","resTime",9.0
"cold_0","swarm","1","resTime",12.0
"warm_1","swarm","1","resTime",10.0
"cold_1","swarm","1","resTime",12.0
"warm_2","swarm","1","resTime",9.0
"cold_2","swarm","1","resTime",11.0
"warm_0","swarm","2","resTime",9.0
"cold_0","swarm","2","resTime",12.0
"warm_1","swarm","2","resTime",9.0
"cold_1","swarm","2","resTime",11.0
"warm_2","swarm","2","resTime",10.0
"cold_2","swarm","2","resTime",11.0
"warm_0","swarm","3","resTime",9.0
"cold_0","swarm","3","resTime",11.0
"warm_1","swarm","3","resTime",9.0
"cold_1","swarm","3","resTime",11.0
"warm_2","swarm","3","resTime",9.0
"cold_2","swarm","3","resTime",11.0
"warm_0","swarm","4","resTime",9.0
"cold_0","swarm","4","resTime",12.0
"warm_1","swarm","4","resTime",9.0
"cold_1","swarm","4","resTime",10.0
"warm_2","swarm","4","resTime",9.0
"cold_2","swarm","4","resTime",11.0
"warm_0","swarm","5","resTime",9.0
"cold_0","swarm","5","resTime",12.0
"warm_1","swarm","5","resTime",9.0
"cold_1","swarm","5","resTime",11.0
"warm_2","swarm","5","resTime",9.0
"cold_2","swarm","5","resTime",11.0
"warm_0","swarm","6","resTime",9.0
"cold_0","swarm","6","resTime",11.0
"warm_1","swarm","6","resTime",9.0
"cold_1","swarm","6","resTime",11.0
"warm_2","swarm","6","resTime",9.0
"cold_2","swarm","6","resTime",11.0
"warm_0","k8s","1","throughput",1415.7139382145465
"cold_0","k8s","1","throughput",532.8206536665751
"warm_1","k8s","1","throughput",1329.374143444495
"cold_1","k8s","1","throughput",1034.2989159409988
"warm_2","k8s","1","throughput",1367.8025851938896
"cold_2","k8s","1","throughput",974.7111036677273
"warm_0","k8s","2","throughput",1218.0828798660527
"cold_0","k8s","2","throughput",684.7864454641722
"warm_1","k8s","2","throughput",1393.3445056260475
"cold_1","k8s","2","throughput",924.9841068022887
"warm_2","k8s","2","throughput",1381.4384049370994
"cold_2","k8s","2","throughput",675.722744688262
"warm_0","k8s","3","throughput",1421.9398973857806
"cold_0","k8s","3","throughput",948.1915933528837
"warm_1","k8s","3","throughput",1356.327196457702
"cold_1","k8s","3","throughput",854.249229414355
"warm_2","k8s","3","throughput",1385.3844322780292
"cold_2","k8s","3","throughput",668.3509416628387
"warm_0","k8s","4","throughput",1418.8200877620673
"cold_0","k8s","4","throughput",708.3739045764363
"warm_1","k8s","4","throughput",1311.6970926301553
"cold_1","k8s","4","throughput",1016.0614525139665
"warm_2","k8s","4","throughput",1382.4228028503562
"cold_2","k8s","4","throughput",307.79679434936156
"warm_0","k8s","5","throughput",1250.8059316569954
"cold_0","k8s","5","throughput",668.7349189934506
"warm_1","k8s","5","throughput",1458.2811325482335
"cold_1","k8s","5","throughput",637.6684562287717
"warm_2","k8s","5","throughput",1439.8812469074717
"cold_2","k8s","5","throughput",939.0125847047434
"warm_0","k8s","6","throughput",1379.1469194312797
"cold_0","k8s","6","throughput",681.6584680252986
"warm_1","k8s","6","throughput",1347.2222222222222
"cold_1","k8s","6","throughput",659.4900849858358
"warm_2","k8s","6","throughput",1455.36384096024
"cold_2","k8s","6","throughput",1010.0659493231516
"warm_0","swarm","1","throughput",1554.902484637991
"cold_0","swarm","1","throughput",1505.8214747736092
"warm_1","swarm","1","throughput",1543.357199681782
"cold_1","swarm","1","throughput",1494.9910095042385
"warm_2","swarm","1","throughput",1731.6274918179115
"cold_2","swarm","1","throughput",1728.5417285417286
"warm_0","swarm","2","throughput",1765.7766990291263
"cold_0","swarm","2","throughput",1542.5390935595017
"warm_1","swarm","2","throughput",1723.4231566479125
"cold_1","swarm","2","throughput",1573.8236884802595
"warm_2","swarm","2","throughput",1571.2742980561557
"cold_2","swarm","2","throughput",1598.9010989010987
"warm_0","swarm","3","throughput",1806.8922694815274
"cold_0","swarm","3","throughput",1591.4684167350288
"warm_1","swarm","3","throughput",1739.9103139013455
"cold_1","swarm","3","throughput",1586.6957470010905
"warm_2","swarm","3","throughput",1725.9786476868328
"cold_2","swarm","3","throughput",1530.370759926374
"warm_0","swarm","4","throughput",1733.6907953529937
"cold_0","swarm","4","throughput",1417.783191230207
"warm_1","swarm","4","throughput",1776.014647543485
"cold_1","swarm","4","throughput",1673.8567730802417
"warm_2","swarm","4","throughput",1736.7949865711728
"cold_2","swarm","4","throughput",2075.606276747503
"warm_0","swarm","5","throughput",1837.7012946005684
"cold_0","swarm","5","throughput",1315.5515370705243
"warm_1","swarm","5","throughput",1702.252120503071
"cold_1","swarm","5","throughput",1643.6035018356397
"warm_2","swarm","5","throughput",1766.8488160291438
"cold_2","swarm","5","throughput",1461.944235116805
"warm_0","swarm","6","throughput",1753.012048192771
"cold_0","swarm","6","throughput",1589.7295820813986
"warm_1","swarm","6","throughput",2255.813953488372
"cold_1","swarm","6","throughput",1512.4740124740126
"warm_2","swarm","6","throughput",1749.3237150586115
