"startTime","framework","runNumber","factor","factorValue"
"warm_0","k8s","1","resTime",4.0
"cold_0","k8s","1","resTime",4.0
"warm_1","k8s","1","resTime",4.0
"cold_1","k8s","1","resTime",4.0
"warm_2","k8s","1","resTime",4.0
"cold_2","k8s","1","resTime",4.0
"warm_0","k8s","2","resTime",4.0
"cold_0","k8s","2","resTime",4.0
"warm_1","k8s","2","resTime",4.0
"cold_1","k8s","2","resTime",4.0
"warm_2","k8s","2","resTime",4.0
"cold_2","k8s","2","resTime",4.0
"warm_0","k8s","3","resTime",4.0
"cold_0","k8s","3","resTime",5
"warm_1","k8s","3","resTime",5.0
"cold_1","k8s","3","resTime",4
"warm_2","k8s","3","resTime",4.0
"cold_2","k8s","3","resTime",4.0
"warm_0","k8s","4","resTime",4.0
"cold_0","k8s","4","resTime",4.0
"warm_1","k8s","4","resTime",4.0
"cold_1","k8s","4","resTime",4.0
"warm_2","k8s","4","resTime",4.0
"cold_2","k8s","4","resTime",4
"warm_0","k8s","5","resTime",4.0
"cold_0","k8s","5","resTime",4
"warm_1","k8s","5","resTime",4.0
"cold_1","k8s","5","resTime",4
"warm_2","k8s","5","resTime",4.0
"cold_2","k8s","5","resTime",4.0
"warm_0","k8s","6","resTime",4.0
"cold_0","k8s","6","resTime",4.0
"warm_1","k8s","6","resTime",4.0
"cold_1","k8s","6","resTime",4.0
"warm_2","k8s","6","resTime",4.0
"cold_2","k8s","6","resTime",4.0
"warm_0","swarm","1","resTime",3.0
"cold_0","swarm","1","resTime",4.0
"warm_1","swarm","1","resTime",3.0
"cold_1","swarm","1","resTime",4.0
"warm_2","swarm","1","resTime",4.0
"cold_2","swarm","1","resTime",3.0
"warm_0","swarm","2","resTime",3.0
"cold_0","swarm","2","resTime",4.0
"warm_1","swarm","2","resTime",3.0
"cold_1","swarm","2","resTime",3.0
"warm_2","swarm","2","resTime",3.0
"cold_2","swarm","2","resTime",4.0
"warm_0","swarm","3","resTime",3.0
"cold_0","swarm","3","resTime",3.0
"warm_1","swarm","3","resTime",3.0
"cold_1","swarm","3","resTime",4.0
"warm_2","swarm","3","resTime",3.0
"cold_2","swarm","3","resTime",3.0
"warm_0","swarm","4","resTime",3.0
"cold_0","swarm","4","resTime",4.0
"warm_1","swarm","4","resTime",3.0
"cold_1","swarm","4","resTime",3.0
"warm_2","swarm","4","resTime",3.0
"cold_2","swarm","4","resTime",3.0
"warm_0","swarm","5","resTime",3.0
"cold_0","swarm","5","resTime",3.0
"warm_1","swarm","5","resTime",3.0
"cold_1","swarm","5","resTime",3
"warm_2","swarm","5","resTime",4.0
"cold_2","swarm","5","resTime",3.0
"warm_0","swarm","6","resTime",3.0
"cold_0","swarm","6","resTime",3.0
"warm_1","swarm","6","resTime",3.0
"cold_1","swarm","6","resTime",4.0
"warm_2","swarm","6","resTime",3.0
"cold_2","swarm","6","resTime",3.5
"warm_0","k8s","1","throughput",953.5492312724894
"cold_0","k8s","1","throughput",893.6235438381361
"warm_1","k8s","1","throughput",892.802450229709
"cold_1","k8s","1","throughput",852.837916910474
"warm_2","k8s","1","throughput",994.8805460750852
"cold_2","k8s","1","throughput",945.814406229721
"warm_0","k8s","2","throughput",1065.6187168707731
"cold_0","k8s","2","throughput",969.2435577722362
"warm_1","k8s","2","throughput",992.3404255319149
"cold_1","k8s","2","throughput",945.201037613489
"warm_2","k8s","2","throughput",1000.3431708991077
"cold_2","k8s","2","throughput",905.56073314694
"warm_0","k8s","3","throughput",935.1940968880334
"cold_0","k8s","3","throughput",333.6214845550945
"warm_1","k8s","3","throughput",847.3837209302326
"cold_1","k8s","3","throughput",868.5739830129637
"warm_2","k8s","3","throughput",1029.3079096045199
"cold_2","k8s","3","throughput",938.6572210594106
"warm_0","k8s","4","throughput",1078.231921583133
"cold_0","k8s","4","throughput",943.0604982206405
"warm_1","k8s","4","throughput",1123.5305453844671
"cold_1","k8s","4","throughput",852.7131782945737
"warm_2","k8s","4","throughput",1038.1054131054132
"cold_2","k8s","4","throughput",926.2672811059907
"warm_0","k8s","5","throughput",990.1494565217391
"cold_0","k8s","5","throughput",893.3333333333333
"warm_1","k8s","5","throughput",1007.7787381158167
"cold_1","k8s","5","throughput",949.1939423546654
"warm_2","k8s","5","throughput",1065.2293075095927
"cold_2","k8s","5","throughput",958.2511505588429
"warm_0","k8s","6","throughput",1123.3140655105972
"cold_0","k8s","6","throughput",924.6629659000794
"warm_1","k8s","6","throughput",1070.510466397356
"cold_1","k8s","6","throughput",901.7788089713844
"warm_2","k8s","6","throughput",1075.050709939148
"cold_2","k8s","6","throughput",367.04782361488407
"warm_0","swarm","1","throughput",1158.8153448618566
"cold_0","swarm","1","throughput",1139.116842516608
"warm_1","swarm","1","throughput",1019.2307692307693
"cold_1","swarm","1","throughput",1077.833240894805
"warm_2","swarm","1","throughput",1039.9571887263646
"cold_2","swarm","1","throughput",1102.704747493853
"warm_0","swarm","2","throughput",1207.03933747412
"cold_0","swarm","2","throughput",1146.0585806958916
"warm_1","swarm","2","throughput",1243.866012374653
"cold_1","swarm","2","throughput",1134.020618556701
"warm_2","swarm","2","throughput",1192.9609167178228
"cold_2","swarm","2","throughput",1121.1538461538462
"warm_0","swarm","3","throughput",1180.400890868597
"cold_0","swarm","3","throughput",1157.4349811395673
"warm_1","swarm","3","throughput",1153.3135509396639
"cold_1","swarm","3","throughput",1110.4761904761904
"warm_2","swarm","3","throughput",1319.0045248868778
"cold_2","swarm","3","throughput",1140.4538341158059
"warm_0","swarm","4","throughput",1224.532661205629
"cold_0","swarm","4","throughput",1015.6794425087107
"warm_1","swarm","4","throughput",1378.9025543992432
"cold_1","swarm","4","throughput",1091.7602996254682
"warm_2","swarm","4","throughput",1066.3983903420524
"cold_2","swarm","4","throughput",1121.1538461538462
"warm_0","swarm","5","throughput",1194.1827120032774
"cold_0","swarm","5","throughput",1146.7348544453187
"warm_1","swarm","5","throughput",1173.7467284074896
"cold_1","swarm","5","throughput",396.8794712815971
"warm_2","swarm","5","throughput",1058.4604212055192
"cold_2","swarm","5","throughput",1149.4479495268138
"warm_0","swarm","6","throughput",1127.2235112142305
"cold_0","swarm","6","throughput",1185.9235150528884
"warm_1","swarm","6","throughput",1176.3518966908798
"cold_1","swarm","6","throughput",982.3083403538332
"warm_2","swarm","6","throughput",1170.4477012648063
"cold_2","swarm","6","throughput",1078.8304959289414
"warm_0","k8s","1","errorPct",0.0
"cold_0","k8s","1","errorPct",0.0
"warm_1","k8s","1","errorPct",0.0
"cold_1","k8s","1","errorPct",0.0
"warm_2","k8s","1","errorPct",0.0
"cold_2","k8s","1","errorPct",0.0
"warm_0","k8s","2","errorPct",0.0
"cold_0","k8s","2","errorPct",0.0
"warm_1","k8s","2","errorPct",0.0
"cold_1","k8s","2","errorPct",0.0
"warm_2","k8s","2","errorPct",0.0
"cold_2","k8s","2","errorPct",0.0
"warm_0","k8s","3","errorPct",0.0
"cold_0","k8s","3","errorPct",0.703259
"warm_1","k8s","3","errorPct",0.0
"cold_1","k8s","3","errorPct",0.017152658
"warm_2","k8s","3","errorPct",0.0
"cold_2","k8s","3","errorPct",0.0
"warm_0","k8s","4","errorPct",0.0
"cold_0","k8s","4","errorPct",0.0
"warm_1","k8s","4","errorPct",0.0
"cold_1","k8s","4","errorPct",0.0
"warm_2","k8s","4","errorPct",0.0
"cold_2","k8s","4","errorPct",0.017152658
"warm_0","k8s","5","errorPct",0.0
"cold_0","k8s","5","errorPct",0.017152658
"warm_1","k8s","5","errorPct",0.0
"cold_1","k8s","5","errorPct",0.017152658
"warm_2","k8s","5","errorPct",0.0
"cold_2","k8s","5","errorPct",0.0
"warm_0","k8s","6","errorPct",0.0
"cold_0","k8s","6","errorPct",0.0
"warm_1","k8s","6","errorPct",0.0
"cold_1","k8s","6","errorPct",0.0
"warm_2","k8s","6","errorPct",0.0
"cold_2","k8s","6","errorPct",0.34305316
"warm_0","swarm","1","errorPct",0.0
"cold_0","swarm","1","errorPct",0.0
"warm_1","swarm","1","errorPct",0.0
"cold_1","swarm","1","errorPct",0.0
"warm_2","swarm","1","errorPct",0.0
"cold_2","swarm","1","errorPct",0.0
"warm_0","swarm","2","errorPct",0.0
"cold_0","swarm","2","errorPct",0.0
"warm_1","swarm","2","errorPct",0.0
"cold_1","swarm","2","errorPct",0.0
"warm_2","swarm","2","errorPct",0.0
"cold_2","swarm","2","errorPct",0.0
"warm_0","swarm","3","errorPct",0.0
"cold_0","swarm","3","errorPct",0.0
"warm_1","swarm","3","errorPct",0.0
"cold_1","swarm","3","errorPct",0.0
"warm_2","swarm","3","errorPct",0.0
"cold_2","swarm","3","errorPct",0.0
"warm_0","swarm","4","errorPct",0.0
"cold_0","swarm","4","errorPct",0.0
"warm_1","swarm","4","errorPct",0.0
"cold_1","swarm","4","errorPct",0.0
"warm_2","swarm","4","errorPct",0.0
"cold_2","swarm","4","errorPct",0.0
"warm_0","swarm","5","errorPct",0.0
"cold_0","swarm","5","errorPct",0.0
"warm_1","swarm","5","errorPct",0.0
"cold_1","swarm","5","errorPct",0.08576329
