"startTime","framework","runNumber","caseNumber","factor","factorValue"
"warm_0","k8s","1","user_5","resTime",4.0
"cold_0","k8s","1","user_5","resTime",4.0
"warm_1","k8s","1","user_5","resTime",4.0
"cold_1","k8s","1","user_5","resTime",4.0
"warm_2","k8s","1","user_5","resTime",4.0
"cold_2","k8s","1","user_5","resTime",4.0
"warm_0","k8s","2","user_5","resTime",4.0
"cold_0","k8s","2","user_5","resTime",4.0
"warm_1","k8s","2","user_5","resTime",4.0
"cold_1","k8s","2","user_5","resTime",4.0
"warm_2","k8s","2","user_5","resTime",4.0
"cold_2","k8s","2","user_5","resTime",4.0
"warm_0","k8s","3","user_5","resTime",4.0
"cold_0","k8s","3","user_5","resTime",5
"warm_1","k8s","3","user_5","resTime",5.0
"cold_1","k8s","3","user_5","resTime",4
"warm_2","k8s","3","user_5","resTime",4.0
"cold_2","k8s","3","user_5","resTime",4.0
"warm_0","k8s","4","user_5","resTime",4.0
"cold_0","k8s","4","user_5","resTime",4.0
"warm_1","k8s","4","user_5","resTime",4.0
"cold_1","k8s","4","user_5","resTime",4.0
"warm_2","k8s","4","user_5","resTime",4.0
"cold_2","k8s","4","user_5","resTime",4
"warm_0","k8s","5","user_5","resTime",4.0
"cold_0","k8s","5","user_5","resTime",4
"warm_1","k8s","5","user_5","resTime",4.0
"cold_1","k8s","5","user_5","resTime",4
"warm_2","k8s","5","user_5","resTime",4.0
"cold_2","k8s","5","user_5","resTime",4.0
"warm_0","k8s","6","user_5","resTime",4.0
"cold_0","k8s","6","user_5","resTime",4.0
"warm_1","k8s","6","user_5","resTime",4.0
"cold_1","k8s","6","user_5","resTime",4.0
"warm_2","k8s","6","user_5","resTime",4.0
"cold_2","k8s","6","user_5","resTime",4.0
"warm_0","swarm","1","user_5","resTime",3.0
"cold_0","swarm","1","user_5","resTime",4.0
"warm_1","swarm","1","user_5","resTime",3.0
"cold_1","swarm","1","user_5","resTime",4.0
"warm_2","swarm","1","user_5","resTime",4.0
"cold_2","swarm","1","user_5","resTime",3.0
"warm_0","swarm","2","user_5","resTime",3.0
"cold_0","swarm","2","user_5","resTime",4.0
"warm_1","swarm","2","user_5","resTime",3.0
"cold_1","swarm","2","user_5","resTime",3.0
"warm_2","swarm","2","user_5","resTime",3.0
"cold_2","swarm","2","user_5","resTime",4.0
"warm_0","swarm","3","user_5","resTime",3.0
"cold_0","swarm","3","user_5","resTime",3.0
"warm_1","swarm","3","user_5","resTime",3.0
"cold_1","swarm","3","user_5","resTime",4.0
"warm_2","swarm","3","user_5","resTime",3.0
"cold_2","swarm","3","user_5","resTime",3.0
"warm_0","swarm","4","user_5","resTime",3.0
"cold_0","swarm","4","user_5","resTime",4.0
"warm_1","swarm","4","user_5","resTime",3.0
"cold_1","swarm","4","user_5","resTime",3.0
"warm_2","swarm","4","user_5","resTime",3.0
"cold_2","swarm","4","user_5","resTime",3.0
"warm_0","swarm","5","user_5","resTime",3.0
"cold_0","swarm","5","user_5","resTime",3.0
"warm_1","swarm","5","user_5","resTime",3.0
"cold_1","swarm","5","user_5","resTime",3
"warm_2","swarm","5","user_5","resTime",4.0
"cold_2","swarm","5","user_5","resTime",3.0
"warm_0","swarm","6","user_5","resTime",3.0
"cold_0","swarm","6","user_5","resTime",3.0
"warm_1","swarm","6","user_5","resTime",3.0
"cold_1","swarm","6","user_5","resTime",4.0
"warm_2","swarm","6","user_5","resTime",3.0
"cold_2","swarm","6","user_5","resTime",3.5
"warm_0","k8s","1","user_5","throughput",953.5492312724894
"cold_0","k8s","1","user_5","throughput",893.6235438381361
"warm_1","k8s","1","user_5","throughput",892.802450229709
"cold_1","k8s","1","user_5","throughput",852.837916910474
"warm_2","k8s","1","user_5","throughput",994.8805460750852
"cold_2","k8s","1","user_5","throughput",945.814406229721
"warm_0","k8s","2","user_5","throughput",1065.6187168707731
"cold_0","k8s","2","user_5","throughput",969.2435577722362
"warm_1","k8s","2","user_5","throughput",992.3404255319149
"cold_1","k8s","2","user_5","throughput",945.201037613489
"warm_2","k8s","2","user_5","throughput",1000.3431708991077
"cold_2","k8s","2","user_5","throughput",905.56073314694
"warm_0","k8s","3","user_5","throughput",935.1940968880334
"cold_0","k8s","3","user_5","throughput",333.6214845550945
"warm_1","k8s","3","user_5","throughput",847.3837209302326
"cold_1","k8s","3","user_5","throughput",868.5739830129637
"warm_2","k8s","3","user_5","throughput",1029.3079096045199
"cold_2","k8s","3","user_5","throughput",938.6572210594106
"warm_0","k8s","4","user_5","throughput",1078.231921583133
"cold_0","k8s","4","user_5","throughput",943.0604982206405
"warm_1","k8s","4","user_5","throughput",1123.5305453844671
"cold_1","k8s","4","user_5","throughput",852.7131782945737
"warm_2","k8s","4","user_5","throughput",1038.1054131054132
"cold_2","k8s","4","user_5","throughput",926.2672811059907
"warm_0","k8s","5","user_5","throughput",990.1494565217391
"cold_0","k8s","5","user_5","throughput",893.3333333333333
"warm_1","k8s","5","user_5","throughput",1007.7787381158167
"cold_1","k8s","5","user_5","throughput",949.1939423546654
"warm_2","k8s","5","user_5","throughput",1065.2293075095927
"cold_2","k8s","5","user_5","throughput",958.2511505588429
"warm_0","k8s","6","user_5","throughput",1123.3140655105972
"cold_0","k8s","6","user_5","throughput",924.6629659000794
"warm_1","k8s","6","user_5","throughput",1070.510466397356
"cold_1","k8s","6","user_5","throughput",901.7788089713844
"warm_2","k8s","6","user_5","throughput",1075.050709939148
"cold_2","k8s","6","user_5","throughput",367.04782361488407
"warm_0","swarm","1","user_5","throughput",1158.8153448618566
"cold_0","swarm","1","user_5","throughput",1139.116842516608
"warm_1","swarm","1","user_5","throughput",1019.2307692307693
"cold_1","swarm","1","user_5","throughput",1077.833240894805
"warm_2","swarm","1","user_5","throughput",1039.9571887263646
"cold_2","swarm","1","user_5","throughput",1102.704747493853
"warm_0","swarm","2","user_5","throughput",1207.03933747412
"cold_0","swarm","2","user_5","throughput",1146.0585806958916
"warm_1","swarm","2","user_5","throughput",1243.866012374653
"cold_1","swarm","2","user_5","throughput",1134.020618556701
"warm_2","swarm","2","user_5","throughput",1192.9609167178228
"cold_2","swarm","2","user_5","throughput",1121.1538461538462
"warm_0","swarm","3","user_5","throughput",1180.400890868597
"cold_0","swarm","3","user_5","throughput",1157.4349811395673
"warm_1","swarm","3","user_5","throughput",1153.3135509396639
"cold_1","swarm","3","user_5","throughput",1110.4761904761904
"warm_2","swarm","3","user_5","throughput",1319.0045248868778
"cold_2","swarm","3","user_5","throughput",1140.4538341158059
"warm_0","swarm","4","user_5","throughput",1224.532661205629
"cold_0","swarm","4","user_5","throughput",1015.6794425087107
"warm_1","swarm","4","user_5","throughput",1378.9025543992432
"cold_1","swarm","4","user_5","throughput",1091.7602996254682
"warm_2","swarm","4","user_5","throughput",1066.3983903420524
"cold_2","swarm","4","user_5","throughput",1121.1538461538462
"warm_0","swarm","5","user_5","throughput",1194.1827120032774
"cold_0","swarm","5","user_5","throughput",1146.7348544453187
"warm_1","swarm","5","user_5","throughput",1173.7467284074896
"cold_1","swarm","5","user_5","throughput",396.8794712815971
"warm_2","swarm","5","user_5","throughput",1058.4604212055192
"cold_2","swarm","5","user_5","throughput",1149.4479495268138
"warm_0","swarm","6","user_5","throughput",1127.2235112142305
"cold_0","swarm","6","user_5","throughput",1185.9235150528884
"warm_1","swarm","6","user_5","throughput",1176.3518966908798
"cold_1","swarm","6","user_5","throughput",982.3083403538332
"warm_2","swarm","6","user_5","throughput",1170.4477012648063
"cold_2","swarm","6","user_5","throughput",1078.8304959289414
"warm_0","k8s","1","user_5","errorPct",0.0
"cold_0","k8s","1","user_5","errorPct",0.0
"warm_1","k8s","1","user_5","errorPct",0.0
"cold_1","k8s","1","user_5","errorPct",0.0
"warm_2","k8s","1","user_5","errorPct",0.0
"cold_2","k8s","1","user_5","errorPct",0.0
"warm_0","k8s","2","user_5","errorPct",0.0
"cold_0","k8s","2","user_5","errorPct",0.0
"warm_1","k8s","2","user_5","errorPct",0.0
"cold_1","k8s","2","user_5","errorPct",0.0
"warm_2","k8s","2","user_5","errorPct",0.0
"cold_2","k8s","2","user_5","errorPct",0.0
"warm_0","k8s","3","user_5","errorPct",0.0
"cold_0","k8s","3","user_5","errorPct",0.703259
"warm_1","k8s","3","user_5","errorPct",0.0
"cold_1","k8s","3","user_5","errorPct",0.017152658
"warm_2","k8s","3","user_5","errorPct",0.0
"cold_2","k8s","3","user_5","errorPct",0.0
"warm_0","k8s","4","user_5","errorPct",0.0
"cold_0","k8s","4","user_5","errorPct",0.0
"warm_1","k8s","4","user_5","errorPct",0.0
"cold_1","k8s","4","user_5","errorPct",0.0
"warm_2","k8s","4","user_5","errorPct",0.0
"cold_2","k8s","4","user_5","errorPct",0.017152658
"warm_0","k8s","5","user_5","errorPct",0.0
"cold_0","k8s","5","user_5","errorPct",0.017152658
"warm_1","k8s","5","user_5","errorPct",0.0
"cold_1","k8s","5","user_5","errorPct",0.017152658
"warm_2","k8s","5","user_5","errorPct",0.0
"cold_2","k8s","5","user_5","errorPct",0.0
"warm_0","k8s","6","user_5","errorPct",0.0
"cold_0","k8s","6","user_5","errorPct",0.0
"warm_1","k8s","6","user_5","errorPct",0.0
"cold_1","k8s","6","user_5","errorPct",0.0
"warm_2","k8s","6","user_5","errorPct",0.0
"cold_2","k8s","6","user_5","errorPct",0.34305316
"warm_0","swarm","1","user_5","errorPct",0.0
"cold_0","swarm","1","user_5","errorPct",0.0
"warm_1","swarm","1","user_5","errorPct",0.0
"cold_1","swarm","1","user_5","errorPct",0.0
"warm_2","swarm","1","user_5","errorPct",0.0
"cold_2","swarm","1","user_5","errorPct",0.0
"warm_0","swarm","2","user_5","errorPct",0.0
"cold_0","swarm","2","user_5","errorPct",0.0
"warm_1","swarm","2","user_5","errorPct",0.0
"cold_1","swarm","2","user_5","errorPct",0.0
"warm_2","swarm","2","user_5","errorPct",0.0
"cold_2","swarm","2","user_5","errorPct",0.0
"warm_0","swarm","3","user_5","errorPct",0.0
"cold_0","swarm","3","user_5","errorPct",0.0
"warm_1","swarm","3","user_5","errorPct",0.0
"cold_1","swarm","3","user_5","errorPct",0.0
"warm_2","swarm","3","user_5","errorPct",0.0
"cold_2","swarm","3","user_5","errorPct",0.0
"warm_0","swarm","4","user_5","errorPct",0.0
"cold_0","swarm","4","user_5","errorPct",0.0
"warm_1","swarm","4","user_5","errorPct",0.0
"cold_1","swarm","4","user_5","errorPct",0.0
"warm_2","swarm","4","user_5","errorPct",0.0
"cold_2","swarm","4","user_5","errorPct",0.0
"warm_0","swarm","5","user_5","errorPct",0.0
"cold_0","swarm","5","user_5","errorPct",0.0
"warm_1","swarm","5","user_5","errorPct",0.0
"cold_1","swarm","5","user_5","errorPct",0.08576329
"warm_2","swarm","5","user_5","errorPct",0.0
"cold_2","swarm","5","user_5","errorPct",0.0
"warm_0","swarm","6","user_5","errorPct",0.0
"cold_0","swarm","6","user_5","errorPct",0.0
"warm_1","swarm","6","user_5","errorPct",0.0
"cold_1","swarm","6","user_5","errorPct",0.0
"warm_2","swarm","6","user_5","errorPct",0.0
"cold_2","swarm","6","user_5","errorPct",0.0
"warm_0","k8s","1","user_10","resTime",6.0
"cold_0","k8s","1","user_10","resTime",6.0
"warm_1","k8s","1","user_10","resTime",6.0
"cold_1","k8s","1","user_10","resTime",6
"warm_2","k8s","1","user_10","resTime",7.0
"cold_2","k8s","1","user_10","resTime",7.0
"warm_0","k8s","2","user_10","resTime",7.0
"cold_0","k8s","2","user_10","resTime",6
"warm_1","k8s","2","user_10","resTime",6.0
"cold_1","k8s","2","user_10","resTime",7.0
"warm_2","k8s","2","user_10","resTime",6.0
"cold_2","k8s","2","user_10","resTime",6.0
"warm_0","k8s","3","user_10","resTime",6.0
"cold_0","k8s","3","user_10","resTime",7.0
"warm_1","k8s","3","user_10","resTime",6.0
"cold_1","k8s","3","user_10","resTime",5.0
"warm_2","k8s","3","user_10","resTime",6.0
"cold_2","k8s","3","user_10","resTime",6.0
"warm_0","k8s","4","user_10","resTime",6.0
"cold_0","k8s","4","user_10","resTime",6.0
"warm_1","k8s","4","user_10","resTime",6.0
"cold_1","k8s","4","user_10","resTime",6.0
"warm_2","k8s","4","user_10","resTime",6.0
"cold_2","k8s","4","user_10","resTime",6.0
"warm_0","k8s","5","user_10","resTime",7.0
"cold_0","k8s","5","user_10","resTime",6.0
"warm_1","k8s","5","user_10","resTime",6.0
"cold_1","k8s","5","user_10","resTime",6.0
"warm_2","k8s","5","user_10","resTime",6.0
"cold_2","k8s","5","user_10","resTime",7.0
"warm_0","k8s","6","user_10","resTime",6.0
"cold_0","k8s","6","user_10","resTime",6.0
"warm_1","k8s","6","user_10","resTime",6.0
"cold_1","k8s","6","user_10","resTime",6.0
"warm_2","k8s","6","user_10","resTime",6.0
"cold_2","k8s","6","user_10","resTime",7.0
"warm_0","swarm","1","user_10","resTime",5.0
"cold_0","swarm","1","user_10","resTime",6.0
"warm_1","swarm","1","user_10","resTime",5.0
"cold_1","swarm","1","user_10","resTime",6.0
"warm_2","swarm","1","user_10","resTime",5.0
"cold_2","swarm","1","user_10","resTime",6.0
"warm_0","swarm","2","user_10","resTime",5.0
"cold_0","swarm","2","user_10","resTime",6.0
"warm_1","swarm","2","user_10","resTime",5.0
"cold_1","swarm","2","user_10","resTime",5.0
"warm_2","swarm","2","user_10","resTime",5.0
"cold_2","swarm","2","user_10","resTime",7.0
"warm_0","swarm","3","user_10","resTime",5.0
"cold_0","swarm","3","user_10","resTime",6.0
"warm_1","swarm","3","user_10","resTime",5.0
"cold_1","swarm","3","user_10","resTime",6.0
"warm_2","swarm","3","user_10","resTime",5.0
"cold_2","swarm","3","user_10","resTime",7.0
"warm_0","swarm","4","user_10","resTime",5.0
"cold_0","swarm","4","user_10","resTime",6.0
"warm_1","swarm","4","user_10","resTime",5.0
"cold_1","swarm","4","user_10","resTime",5.0
"warm_2","swarm","4","user_10","resTime",4.0
"cold_2","swarm","4","user_10","resTime",6.0
"warm_0","swarm","5","user_10","resTime",5.0
"cold_0","swarm","5","user_10","resTime",5.0
"warm_1","swarm","5","user_10","resTime",5.0
"cold_1","swarm","5","user_10","resTime",6.0
"warm_2","swarm","5","user_10","resTime",5.0
"cold_2","swarm","5","user_10","resTime",6.0
"warm_0","swarm","6","user_10","resTime",5.0
"cold_0","swarm","6","user_10","resTime",6.0
"warm_1","swarm","6","user_10","resTime",5.0
"cold_1","swarm","6","user_10","resTime",5.0
"warm_2","swarm","6","user_10","resTime",5.0
"cold_2","swarm","6","user_10","resTime",6.0
"warm_0","k8s","1","user_10","throughput",1394.4032528103323
"cold_0","k8s","1","user_10","throughput",976.8766756032171
"warm_1","k8s","1","user_10","throughput",1225.562329199075
"cold_1","k8s","1","user_10","throughput",365.3834036922689
"warm_2","k8s","1","user_10","throughput",1203.7992979558126
"cold_2","k8s","1","user_10","throughput",1013.0321459600348
"warm_0","k8s","2","user_10","throughput",1185.4412362749085
"cold_0","k8s","2","user_10","throughput",802.4504405286343
"warm_1","k8s","2","user_10","throughput",1415.0485436893202
"cold_1","k8s","2","user_10","throughput",1006.3870188158122
"warm_2","k8s","2","user_10","throughput",1237.0040314025036
"cold_2","k8s","2","user_10","throughput",901.639344262295
"warm_0","k8s","3","user_10","throughput",1061.7373884538335
"cold_0","k8s","3","user_10","throughput",1111.111111111111
"warm_1","k8s","3","user_10","throughput",1274.3169398907103
"cold_1","k8s","3","user_10","throughput",922.9064429317714
"warm_2","k8s","3","user_10","throughput",1172.0948934459188
"cold_2","k8s","3","user_10","throughput",1026.9508543244672
"warm_0","k8s","4","user_10","throughput",1241.7465388711394
"cold_0","k8s","4","user_10","throughput",979.3381488325214
"warm_1","k8s","4","user_10","throughput",1252.4167561761546
"cold_1","k8s","4","user_10","throughput",1050.4504504504505
"warm_2","k8s","4","user_10","throughput",1239.1073326248672
"cold_2","k8s","4","user_10","throughput",1033.3215171924849
"warm_0","k8s","5","user_10","throughput",1201.0712814173878
"cold_0","k8s","5","user_10","throughput",985.1301115241636
"warm_1","k8s","5","user_10","throughput",1279.6312554872695
"cold_1","k8s","5","user_10","throughput",1047.4308300395257
"warm_2","k8s","5","user_10","throughput",1251.878891990552
"cold_2","k8s","5","user_10","throughput",977.6957907093745
"warm_0","k8s","6","user_10","throughput",1201.8140589569161
"cold_0","k8s","6","user_10","throughput",1067.9611650485438
"warm_1","k8s","6","user_10","throughput",1239.1073326248672
"cold_1","k8s","6","user_10","throughput",957.4642798489078
"warm_2","k8s","6","user_10","throughput",1208.5406301824212
"cold_2","k8s","6","user_10","throughput",994.5411122483794
"warm_0","swarm","1","user_10","throughput",1481.5756035578145
"cold_0","swarm","1","user_10","throughput",1396.7417345471968
"warm_1","swarm","1","user_10","throughput",1369.8308270676691
"cold_1","swarm","1","user_10","throughput",1387.434554973822
"warm_2","swarm","1","user_10","throughput",1591.5915915915914
"cold_2","swarm","1","user_10","throughput",1344.8673587081892
"warm_0","swarm","2","user_10","throughput",1493.722777350756
"cold_0","swarm","2","user_10","throughput",1445.5740143813537
"warm_1","swarm","2","user_10","throughput",1474.0834386852086
"cold_1","swarm","2","user_10","throughput",1436.3143631436315
"warm_2","swarm","2","user_10","throughput",1549.2957746478874
"cold_2","swarm","2","user_10","throughput",1282.7282728272828
"warm_0","swarm","3","user_10","throughput",1358.974358974359
"cold_0","swarm","3","user_10","throughput",1311.881188118812
"warm_1","swarm","3","user_10","throughput",1453.5028671154325
"cold_1","swarm","3","user_10","throughput",1113.2327668512507
"warm_2","swarm","3","user_10","throughput",1456.0439560439563
"cold_2","swarm","3","user_10","throughput",1254.5728426942112
"warm_0","swarm","4","user_10","throughput",1158.8153448618566
"cold_0","swarm","4","user_10","throughput",1562.5837577057089
"warm_1","swarm","4","user_10","throughput",1623.0512249443207
"cold_1","swarm","4","user_10","throughput",1531.791907514451
"warm_2","swarm","4","user_10","throughput",1623.9554317548748
"cold_2","swarm","4","user_10","throughput",1353.2961931290622
"warm_0","swarm","5","user_10","throughput",1528.9798059270915
"cold_0","swarm","5","user_10","throughput",1452.7784699725892
"warm_1","swarm","5","user_10","throughput",1528.5789197692711
"cold_1","swarm","5","user_10","throughput",1422.9924334879179
"warm_2","swarm","5","user_10","throughput",1417.1122994652408
"cold_2","swarm","5","user_10","throughput",1332.5714285714287
"warm_0","swarm","6","user_10","throughput",1598.5741705511377
"cold_0","swarm","6","user_10","throughput",1368.5446009389673
"warm_1","swarm","6","user_10","throughput",1760.797342192691
"cold_1","swarm","6","user_10","throughput",1401.1055034847393
"warm_2","swarm","6","user_10","throughput",1573.9740820734341
"cold_2","swarm","6","user_10","throughput",1372.4105461393597
"warm_0","k8s","1","user_10","errorPct",0.0
"cold_0","k8s","1","user_10","errorPct",0.0
"warm_1","k8s","1","user_10","errorPct",0.0
"cold_1","k8s","1","user_10","errorPct",0.53173244
"warm_2","k8s","1","user_10","errorPct",0.0
"cold_2","k8s","1","user_10","errorPct",0.0
"warm_0","k8s","2","user_10","errorPct",0.0
"cold_0","k8s","2","user_10","errorPct",0.017152658
"warm_1","k8s","2","user_10","errorPct",0.0
"cold_1","k8s","2","user_10","errorPct",0.0
"warm_2","k8s","2","user_10","errorPct",0.0
"cold_2","k8s","2","user_10","errorPct",0.0
"warm_0","k8s","3","user_10","errorPct",0.0
"cold_0","k8s","3","user_10","errorPct",0.0
"warm_1","k8s","3","user_10","errorPct",0.0
"cold_1","k8s","3","user_10","errorPct",0.0
"warm_2","k8s","3","user_10","errorPct",0.0
"cold_2","k8s","3","user_10","errorPct",0.0
"warm_0","k8s","4","user_10","errorPct",0.0
"cold_0","k8s","4","user_10","errorPct",0.0
"warm_1","k8s","4","user_10","errorPct",0.0
"cold_1","k8s","4","user_10","errorPct",0.0
"warm_2","k8s","4","user_10","errorPct",0.0
"cold_2","k8s","4","user_10","errorPct",0.0
"warm_0","k8s","5","user_10","errorPct",0.0
"cold_0","k8s","5","user_10","errorPct",0.0
"warm_1","k8s","5","user_10","errorPct",0.0
"cold_1","k8s","5","user_10","errorPct",0.0
"warm_2","k8s","5","user_10","errorPct",0.0
"cold_2","k8s","5","user_10","errorPct",0.0
"warm_0","k8s","6","user_10","errorPct",0.0
"cold_0","k8s","6","user_10","errorPct",0.0
"warm_1","k8s","6","user_10","errorPct",0.0
"cold_1","k8s","6","user_10","errorPct",0.0
"warm_2","k8s","6","user_10","errorPct",0.0
"cold_2","k8s","6","user_10","errorPct",0.0
"warm_0","swarm","1","user_10","errorPct",0.0
"cold_0","swarm","1","user_10","errorPct",0.0
"warm_1","swarm","1","user_10","errorPct",0.0
"cold_1","swarm","1","user_10","errorPct",0.0
"warm_2","swarm","1","user_10","errorPct",0.0
"cold_2","swarm","1","user_10","errorPct",0.0
"warm_0","swarm","2","user_10","errorPct",0.0
"cold_0","swarm","2","user_10","errorPct",0.0
"warm_1","swarm","2","user_10","errorPct",0.0
"cold_1","swarm","2","user_10","errorPct",0.0
"warm_2","swarm","2","user_10","errorPct",0.0
"cold_2","swarm","2","user_10","errorPct",0.0
"warm_0","swarm","3","user_10","errorPct",0.0
"cold_0","swarm","3","user_10","errorPct",0.0
"warm_1","swarm","3","user_10","errorPct",0.0
"cold_1","swarm","3","user_10","errorPct",0.0
"warm_2","swarm","3","user_10","errorPct",0.0
"cold_2","swarm","3","user_10","errorPct",0.0
"warm_0","swarm","4","user_10","errorPct",0.0
"cold_0","swarm","4","user_10","errorPct",0.0
"warm_1","swarm","4","user_10","errorPct",0.0
"cold_1","swarm","4","user_10","errorPct",0.0
"warm_2","swarm","4","user_10","errorPct",0.0
"cold_2","swarm","4","user_10","errorPct",0.0
"warm_0","swarm","5","user_10","errorPct",0.0
"cold_0","swarm","5","user_10","errorPct",0.0
"warm_1","swarm","5","user_10","errorPct",0.0
"cold_1","swarm","5","user_10","errorPct",0.0
"warm_2","swarm","5","user_10","errorPct",0.0
"cold_2","swarm","5","user_10","errorPct",0.0
"warm_0","swarm","6","user_10","errorPct",0.0
"cold_0","swarm","6","user_10","errorPct",0.0
"warm_1","swarm","6","user_10","errorPct",0.0
"cold_1","swarm","6","user_10","errorPct",0.0
"warm_2","swarm","6","user_10","errorPct",0.0
"cold_2","swarm","6","user_10","errorPct",0.0
"warm_0","k8s","1","user_20","resTime",12.0
"cold_0","k8s","1","user_20","resTime",13.0
"warm_1","k8s","1","user_20","resTime",12.0
"cold_1","k8s","1","user_20","resTime",7.0
"warm_2","k8s","1","user_20","resTime",12.0
"cold_2","k8s","1","user_20","resTime",8.0
"warm_0","k8s","2","user_20","resTime",12.0
"cold_0","k8s","2","user_20","resTime",6.0
"warm_1","k8s","2","user_20","resTime",12.0
"cold_1","k8s","2","user_20","resTime",5.0
"warm_2","k8s","2","user_20","resTime",12.0
"cold_2","k8s","2","user_20","resTime",6.0
"warm_0","k8s","3","user_20","resTime",12.0
"cold_0","k8s","3","user_20","resTime",8.0
"warm_1","k8s","3","user_20","resTime",12.0
"cold_1","k8s","3","user_20","resTime",5.0
"warm_2","k8s","3","user_20","resTime",12.0
"cold_2","k8s","3","user_20","resTime",4.0
"warm_0","k8s","4","user_20","resTime",12.0
"cold_0","k8s","4","user_20","resTime",4.0
"warm_1","k8s","4","user_20","resTime",12.0
"cold_1","k8s","4","user_20","resTime",7.0
"warm_2","k8s","4","user_20","resTime",12.0
"cold_2","k8s","4","user_20","resTime",6
"warm_0","k8s","5","user_20","resTime",14.0
"cold_0","k8s","5","user_20","resTime",6.0
"warm_1","k8s","5","user_20","resTime",12.0
"cold_1","k8s","5","user_20","resTime",6.0
"warm_2","k8s","5","user_20","resTime",11.0
"cold_2","k8s","5","user_20","resTime",7.0
"warm_0","k8s","6","user_20","resTime",12.0
"cold_0","k8s","6","user_20","resTime",7.0
"warm_1","k8s","6","user_20","resTime",12.0
"cold_1","k8s","6","user_20","resTime",4.0
"warm_2","k8s","6","user_20","resTime",12.0
"cold_2","k8s","6","user_20","resTime",6.0
"warm_0","swarm","1","user_20","resTime",9.0
"cold_0","swarm","1","user_20","resTime",12.0
"warm_1","swarm","1","user_20","resTime",10.0
"cold_1","swarm","1","user_20","resTime",12.0
"warm_2","swarm","1","user_20","resTime",9.0
"cold_2","swarm","1","user_20","resTime",11.0
"warm_0","swarm","2","user_20","resTime",9.0
"cold_0","swarm","2","user_20","resTime",12.0
"warm_1","swarm","2","user_20","resTime",9.0
"cold_1","swarm","2","user_20","resTime",11.0
"warm_2","swarm","2","user_20","resTime",10.0
"cold_2","swarm","2","user_20","resTime",11.0
"warm_0","swarm","3","user_20","resTime",9.0
"cold_0","swarm","3","user_20","resTime",11.0
"warm_1","swarm","3","user_20","resTime",9.0
"cold_1","swarm","3","user_20","resTime",11.0
"warm_2","swarm","3","user_20","resTime",9.0
"cold_2","swarm","3","user_20","resTime",11.0
"warm_0","swarm","4","user_20","resTime",9.0
"cold_0","swarm","4","user_20","resTime",12.0
"warm_1","swarm","4","user_20","resTime",9.0
"cold_1","swarm","4","user_20","resTime",10.0
"warm_2","swarm","4","user_20","resTime",9.0
"cold_2","swarm","4","user_20","resTime",11.0
"warm_0","swarm","5","user_20","resTime",9.0
"cold_0","swarm","5","user_20","resTime",12.0
"warm_1","swarm","5","user_20","resTime",9.0
"cold_1","swarm","5","user_20","resTime",11.0
"warm_2","swarm","5","user_20","resTime",9.0
"cold_2","swarm","5","user_20","resTime",11.0
"warm_0","swarm","6","user_20","resTime",9.0
"cold_0","swarm","6","user_20","resTime",11.0
"warm_1","swarm","6","user_20","resTime",9.0
"cold_1","swarm","6","user_20","resTime",11.0
"warm_2","swarm","6","user_20","resTime",9.0
"cold_2","swarm","6","user_20","resTime",11.0
"warm_0","k8s","1","user_20","throughput",1415.7139382145465
"cold_0","k8s","1","user_20","throughput",532.8206536665751
"warm_1","k8s","1","user_20","throughput",1329.374143444495
"cold_1","k8s","1","user_20","throughput",1034.2989159409988
"warm_2","k8s","1","user_20","throughput",1367.8025851938896
"cold_2","k8s","1","user_20","throughput",974.7111036677273
"warm_0","k8s","2","user_20","throughput",1218.0828798660527
"cold_0","k8s","2","user_20","throughput",684.7864454641722
