"startTime","framework","runNumber","caseNumber","factor","factorValue"
"warm_0","k8s","1","replica1","resTime",10.0
"cold_0","k8s","1","replica1","resTime",6.0
"warm_1","k8s","1","replica1","resTime",9.0
"cold_1","k8s","1","replica1","resTime",7.0
"warm_2","k8s","1","replica1","resTime",9.0
"cold_2","k8s","1","replica1","resTime",11.0
"warm_0","k8s","2","replica1","resTime",9.0
"cold_0","k8s","2","replica1","resTime",6.0
"warm_1","k8s","2","replica1","resTime",9.0
"cold_1","k8s","2","replica1","resTime",7.0
"warm_2","k8s","2","replica1","resTime",10.0
"cold_2","k8s","2","replica1","resTime",8.0
"warm_0","k8s","3","replica1","resTime",10.0
"cold_0","k8s","3","replica1","resTime",7.0
"warm_1","k8s","3","replica1","resTime",9.0
"cold_1","k8s","3","replica1","resTime",7.0
"warm_2","k8s","3","replica1","resTime",9.0
"cold_2","k8s","3","replica1","resTime",9.0
"warm_0","k8s","4","replica1","resTime",10.0
"cold_0","k8s","4","replica1","resTime",6.0
"warm_1","k8s","4","replica1","resTime",9.0
"cold_1","k8s","4","replica1","resTime",7.0
"warm_2","k8s","4","replica1","resTime",9.0
"cold_2","k8s","4","replica1","resTime",5.0
"warm_0","k8s","5","replica1","resTime",9.0
"cold_0","k8s","5","replica1","resTime",5
"warm_1","k8s","5","replica1","resTime",9.0
"cold_1","k8s","5","replica1","resTime",7.0
"warm_2","k8s","5","replica1","resTime",9.0
"cold_2","k8s","5","replica1","resTime",7.0
"warm_0","k8s","6","replica1","resTime",9.0
"cold_0","k8s","6","replica1","resTime",7.0
"warm_1","k8s","6","replica1","resTime",9.0
"cold_1","k8s","6","replica1","resTime",7.0
"warm_2","k8s","6","replica1","resTime",10.0
"cold_2","k8s","6","replica1","resTime",4.0
"warm_0","swarm","1","replica1","resTime",9.0
"cold_0","swarm","1","replica1","resTime",8.0
"warm_1","swarm","1","replica1","resTime",6.5
"cold_1","swarm","1","replica1","resTime",9.0
"warm_2","swarm","1","replica1","resTime",7.0
"cold_2","swarm","1","replica1","resTime",8.0
"warm_0","swarm","2","replica1","resTime",7.0
"cold_0","swarm","2","replica1","resTime",8.0
"warm_1","swarm","2","replica1","resTime",7.0
"cold_1","swarm","2","replica1","resTime",8.0
"warm_2","swarm","2","replica1","resTime",7.0
"cold_2","swarm","2","replica1","resTime",9.0
"warm_0","swarm","3","replica1","resTime",7.0
"cold_0","swarm","3","replica1","resTime",8.0
"warm_1","swarm","3","replica1","resTime",7.0
"cold_1","swarm","3","replica1","resTime",9.0
"warm_2","swarm","3","replica1","resTime",7.0
"cold_2","swarm","3","replica1","resTime",8.0
"warm_0","swarm","4","replica1","resTime",7.0
"cold_0","swarm","4","replica1","resTime",8.0
"warm_1","swarm","4","replica1","resTime",7.0
"cold_1","swarm","4","replica1","resTime",8.0
"warm_2","swarm","4","replica1","resTime",7.0
"cold_2","swarm","4","replica1","resTime",8.0
"warm_0","swarm","5","replica1","resTime",7.0
"cold_0","swarm","5","replica1","resTime",8.0
"warm_1","swarm","5","replica1","resTime",6.0
"cold_1","swarm","5","replica1","resTime",8.0
"warm_2","swarm","5","replica1","resTime",7.0
"cold_2","swarm","5","replica1","resTime",8.0
"warm_0","swarm","6","replica1","resTime",6.0
"cold_0","swarm","6","replica1","resTime",8.0
"warm_1","swarm","6","replica1","resTime",6.0
"cold_1","swarm","6","replica1","resTime",8.0
"warm_2","swarm","6","replica1","resTime",7.0
"cold_2","swarm","6","replica1","resTime",8.0
"warm_0","k8s","1","replica1","throughput",1195.317313616759
"cold_0","k8s","1","replica1","throughput",723.0711889675737
"warm_1","k8s","1","replica1","throughput",1298.817228297255
"cold_1","k8s","1","replica1","throughput",961.9834710743802
"warm_2","k8s","1","replica1","throughput",1330.8941230276698
"cold_2","k8s","1","replica1","throughput",326.4479090448585
"warm_0","k8s","2","replica1","throughput",1323.9308462238398
"cold_0","k8s","2","replica1","throughput",929.8610001597699
"warm_1","k8s","2","replica1","throughput",1386.7047891350965
"cold_1","k8s","2","replica1","throughput",918.1258873639375
"warm_2","k8s","2","replica1","throughput",1230.443974630021
"cold_2","k8s","2","replica1","throughput",952.5368248772504
"warm_0","k8s","3","replica1","throughput",1259.4676476953039
"cold_0","k8s","3","replica1","throughput",975.3645047762695
"warm_1","k8s","3","replica1","throughput",1304.3478260869565
"cold_1","k8s","3","replica1","throughput",1034.2989159409988
"warm_2","k8s","3","replica1","throughput",1378.1671797300498
"cold_2","k8s","3","replica1","throughput",980.9539861789989
"warm_0","k8s","4","replica1","throughput",1310.2206213417378
"cold_0","k8s","4","replica1","throughput",913.9447236180904
"warm_1","k8s","4","replica1","throughput",1304.932735426009
"cold_1","k8s","4","replica1","throughput",958.1824168587422
"warm_2","k8s","4","replica1","throughput",1320.6262763784887
"cold_2","k8s","4","replica1","throughput",838.1336405529954
