"startTime","framework","runNumber","factor","factorValue"
"warm_0","k8s","1","resTime",3
"cold_0","k8s","1","resTime",3
"warm_1","k8s","1","resTime",3
"cold_1","k8s","1","resTime",3
"warm_2","k8s","1","resTime",3
"cold_2","k8s","1","resTime",3
"warm_0","k8s","2","resTime",3
"cold_0","k8s","2","resTime",3
"warm_1","k8s","2","resTime",3
"cold_1","k8s","2","resTime",3
"warm_2","k8s","2","resTime",3
"cold_2","k8s","2","resTime",3
"warm_0","k8s","3","resTime",3
"cold_0","k8s","3","resTime",3
"warm_1","k8s","3","resTime",3
"cold_1","k8s","3","resTime",3
"warm_2","k8s","3","resTime",3
"cold_2","k8s","3","resTime",3
"warm_0","k8s","4","resTime",3
"cold_0","k8s","4","resTime",3
"warm_1","k8s","4","resTime",2
"cold_1","k8s","4","resTime",3.0
"warm_2","k8s","4","resTime",3
"cold_2","k8s","4","resTime",3.0
"warm_0","k8s","5","resTime",3
"cold_0","k8s","5","resTime",3
"warm_1","k8s","5","resTime",3
"cold_1","k8s","5","resTime",3.0
"warm_2","k8s","5","resTime",3
"cold_2","k8s","5","resTime",3
"warm_0","k8s","6","resTime",3
"cold_0","k8s","6","resTime",3
"warm_1","k8s","6","resTime",3
"cold_1","k8s","6","resTime",3
"warm_2","k8s","6","resTime",3
"cold_2","k8s","6","resTime",3
"warm_0","swarm","1","resTime",3
"cold_0","swarm","1","resTime",3
"warm_1","swarm","1","resTime",3
"cold_1","swarm","1","resTime",3
"warm_2","swarm","1","resTime",3
"cold_2","swarm","1","resTime",3
"warm_0","swarm","2","resTime",3
"cold_0","swarm","2","resTime",3
"warm_1","swarm","2","resTime",3
"cold_1","swarm","2","resTime",3
"warm_2","swarm","2","resTime",3
"cold_2","swarm","2","resTime",3
"warm_0","swarm","3","resTime",3
"cold_0","swarm","3","resTime",3
"warm_1","swarm","3","resTime",3
"cold_1","swarm","3","resTime",3
"warm_2","swarm","3","resTime",3
"cold_2","swarm","3","resTime",3
"warm_0","swarm","4","resTime",3
"cold_0","swarm","4","resTime",3
"warm_1","swarm","4","resTime",3
"cold_1","swarm","4","resTime",3
"warm_2","swarm","4","resTime",3
"cold_2","swarm","4","resTime",3
"warm_0","swarm","5","resTime",3
"cold_0","swarm","5","resTime",3
"warm_1","swarm","5","resTime",3
"cold_1","swarm","5","resTime",3
"warm_2","swarm","5","resTime",3
"cold_2","swarm","5","resTime",3
"warm_0","swarm","6","resTime",3
"cold_0","swarm","6","resTime",3.0
"warm_1","swarm","6","resTime",3
"cold_1","swarm","6","resTime",3
"warm_2","swarm","6","resTime",3
"cold_2","swarm","6","resTime",3
"warm_0","k8s","1","throughput",298.134423715819
"cold_0","k8s","1","throughput",330.5939696214011
"warm_1","k8s","1","throughput",358.0065058614129
"cold_1","k8s","1","throughput",328.6012055658836
"warm_2","k8s","1","throughput",355.73580533024335
"cold_2","k8s","1","throughput",308.00506917309116
"warm_0","k8s","2","throughput",324.65074859464573
"cold_0","k8s","2","throughput",330.07016749660477
"warm_1","k8s","2","throughput",342.75473028557997
"cold_1","k8s","2","throughput",291.69375406310945
"warm_2","k8s","2","throughput",300.2058672156459
"cold_2","k8s","2","throughput",296.4224006504726
"warm_0","k8s","3","throughput",330.81896551724134
"cold_0","k8s","3","throughput",336.0991068856237
"warm_1","k8s","3","throughput",346.3982421759012
"cold_1","k8s","3","throughput",293.8687087510706
"warm_2","k8s","3","throughput",338.1057268722467
"cold_2","k8s","3","throughput",288.60521498194055
"warm_0","k8s","4","throughput",303.97623638542916
"cold_0","k8s","4","throughput",287.26914553065745
"warm_1","k8s","4","throughput",362.5458387718317
"cold_1","k8s","4","throughput",334.633922423686
"warm_2","k8s","4","throughput",316.80425809254837
"cold_2","k8s","4","throughput",321.12769120643134
"warm_0","k8s","5","throughput",367.85016081225956
"cold_0","k8s","5","throughput",313.63587482525
"warm_1","k8s","5","throughput",322.83595306619435
"cold_1","k8s","5","throughput",297.6421353475554
"warm_2","k8s","5","throughput",312.35943022384066
"cold_2","k8s","5","throughput",304.72259951938145
"warm_0","k8s","6","throughput",324.41601779755285
"cold_0","k8s","6","throughput",292.35164394546916
"warm_1","k8s","6","throughput",302.72991488478306
"cold_1","k8s","6","throughput",319.8618118008335
"warm_2","k8s","6","throughput",349.6163989450971
"cold_2","k8s","6","throughput",334.74892395982783
"warm_0","swarm","1","throughput",289.5363843939243
"cold_0","swarm","1","throughput",339.36467302769375
"warm_1","swarm","1","throughput",329.39914163090134
"cold_1","swarm","1","throughput",299.8046875
"warm_2","swarm","1","throughput",309.93623804463334
"cold_2","swarm","1","throughput",319.28403306147027
"warm_0","swarm","2","throughput",344.3126143675108
"cold_0","swarm","2","throughput",346.0078301103334
"warm_1","swarm","2","throughput",338.9899459522287
"cold_1","swarm","2","throughput",322.9253169462437
"warm_2","swarm","2","throughput",345.18877973724705
"cold_2","swarm","2","throughput",342.0713112831339
"warm_0","swarm","3","throughput",292.7478042659975
"cold_0","swarm","3","throughput",332.76285013406357
"warm_1","swarm","3","throughput",322.7644975652944
"cold_1","swarm","3","throughput",317.4594535757048
"warm_2","swarm","3","throughput",324.57848756329645
"cold_2","swarm","3","throughput",341.8507882552893
"warm_0","swarm","4","throughput",330.3505691793623
"cold_0","swarm","4","throughput",310.0680416755262
"warm_1","swarm","4","throughput",317.20050029909186
"cold_1","swarm","4","throughput",287.0853430455753
"warm_2","swarm","4","throughput",315.467820443483
"cold_2","swarm","4","throughput",334.65289730349974
"warm_0","swarm","5","throughput",332.63001824817513
"cold_0","swarm","5","throughput",323.0505095259193
