"framework","runNumber","factor","factorValue"
"warm_0","k8s","1","resTime",3
"cold_0","k8s","1","resTime",3
"warm_1","k8s","1","resTime",3
"cold_1","k8s","1","resTime",3
"warm_2","k8s","1","resTime",3
"cold_2","k8s","1","resTime",3
"warm_0","k8s","2","resTime",3
"cold_0","k8s","2","resTime",3.0
"warm_1","k8s","2","resTime",3
"cold_1","k8s","2","resTime",3
"warm_2","k8s","2","resTime",2
"cold_2","k8s","2","resTime",3
"warm_0","k8s","3","resTime",3
"cold_0","k8s","3","resTime",3
"warm_1","k8s","3","resTime",3
"cold_1","k8s","3","resTime",3.0
"warm_2","k8s","3","resTime",3
"cold_2","k8s","3","resTime",3
"warm_0","k8s","4","resTime",3
"cold_0","k8s","4","resTime",3
"warm_1","k8s","4","resTime",3
"cold_1","k8s","4","resTime",3
"warm_2","k8s","4","resTime",3
"cold_2","k8s","4","resTime",3
"warm_0","k8s","5","resTime",3
"cold_0","k8s","5","resTime",3
"warm_1","k8s","5","resTime",3
"cold_1","k8s","5","resTime",3
"warm_2","k8s","5","resTime",3
"cold_2","k8s","5","resTime",3
"warm_0","k8s","6","resTime",3
"cold_0","k8s","6","resTime",3.0
"warm_1","k8s","6","resTime",3
"cold_1","k8s","6","resTime",3
"warm_2","k8s","6","resTime",3
"cold_2","k8s","6","resTime",3
"warm_0","swarm","1","resTime",3
"cold_0","swarm","1","resTime",3
"warm_1","swarm","1","resTime",3
"cold_1","swarm","1","resTime",3
"warm_2","swarm","1","resTime",3
"cold_2","swarm","1","resTime",3
"warm_0","swarm","2","resTime",3
"cold_0","swarm","2","resTime",3.0
"warm_1","swarm","2","resTime",3
"cold_1","swarm","2","resTime",3.0
"warm_2","swarm","2","resTime",3
"cold_2","swarm","2","resTime",3
"warm_0","swarm","3","resTime",3
"cold_0","swarm","3","resTime",3
"warm_1","swarm","3","resTime",3
"cold_1","swarm","3","resTime",3.0
"warm_2","swarm","3","resTime",3
"cold_2","swarm","3","resTime",3
"warm_0","swarm","4","resTime",3
"cold_0","swarm","4","resTime",3
"warm_1","swarm","4","resTime",3
"cold_1","swarm","4","resTime",3
"warm_2","swarm","4","resTime",3
"cold_2","swarm","4","resTime",3
"warm_0","swarm","5","resTime",3
"cold_0","swarm","5","resTime",3
"warm_1","swarm","5","resTime",3
"cold_1","swarm","5","resTime",3.0
"warm_2","swarm","5","resTime",3
"cold_2","swarm","5","resTime",3
"warm_0","swarm","6","resTime",3
"cold_0","swarm","6","resTime",3
"warm_1","swarm","6","resTime",3
"cold_1","swarm","6","resTime",3
"warm_2","swarm","6","resTime",3
"cold_2","swarm","6","resTime",3
"warm_0","k8s","1","throughput",307.66390632417324
"cold_0","k8s","1","throughput",304.0554628857381
"warm_1","k8s","1","throughput",312.6272912423625
"cold_1","k8s","1","throughput",286.4790530916949
"warm_2","k8s","1","throughput",286.16984742187117
"cold_2","k8s","1","throughput",282.8121212121212
"warm_0","k8s","2","throughput",298.2106339468303
"cold_0","k8s","2","throughput",288.113822744788
"warm_1","k8s","2","throughput",320.2657442486136
"cold_1","k8s","2","throughput",317.29879740980573
"warm_2","k8s","2","throughput",349.9730005399892
"cold_2","k8s","2","throughput",318.1694212622048
"warm_0","k8s","3","throughput",314.2272262026612
"cold_0","k8s","3","throughput",263.68902163091684
"warm_1","k8s","3","throughput",300.54616652926626
"cold_1","k8s","3","throughput",285.7422831945125
"warm_2","k8s","3","throughput",260.08828644045127
"cold_2","k8s","3","throughput",310.34849694067566
"warm_0","k8s","4","throughput",308.62433862433863
"cold_0","k8s","4","throughput",278.5239711294871
"warm_1","k8s","4","throughput",315.53608135886617
"cold_1","k8s","4","throughput",292.90238262792803
"warm_2","k8s","4","throughput",318.98720332494804
"cold_2","k8s","4","throughput",295.98212018082995
"warm_0","k8s","5","throughput",341.73062276641866
"cold_0","k8s","5","throughput",304.27751695357324
"warm_1","k8s","5","throughput",307.0323191914938
"cold_1","k8s","5","throughput",273.29862576802213
"warm_2","k8s","5","throughput",317.94396598713615
"cold_2","k8s","5","throughput",312.8284886839
"warm_0","k8s","6","throughput",342.3322964962732
"cold_0","k8s","6","throughput",308.1149619611158
"warm_1","k8s","6","throughput",352.0642201834862
"cold_1","k8s","6","throughput",277.7936689549962
"warm_2","k8s","6","throughput",315.31434131574684
"cold_2","k8s","6","throughput",302.6199740596628
"warm_0","swarm","1","throughput",296.076341302472
"cold_0","swarm","1","throughput",288.3626656120229
"warm_1","swarm","1","throughput",292.8800964049006
"cold_1","swarm","1","throughput",289.0485629335976
"warm_2","swarm","1","throughput",288.7480817781298
"cold_2","swarm","1","throughput",270.4511418944216
"warm_0","swarm","2","throughput",280.52710046650316
"cold_0","swarm","2","throughput",178.15793493202995
"warm_1","swarm","2","throughput",237.7710745149193
"cold_1","swarm","2","throughput",277.51605995717347
"warm_2","swarm","2","throughput",301.1046871773694
"cold_2","swarm","2","throughput",285.0789306485509
"warm_0","swarm","3","throughput",296.859891088605
"cold_0","swarm","3","throughput",277.1187651850793
"warm_1","swarm","3","throughput",264.6191534727578
"cold_1","swarm","3","throughput",269.72128182534897
"warm_2","swarm","3","throughput",270.38427664209894
"cold_2","swarm","3","throughput",260.49481957842085
"warm_0","swarm","4","throughput",288.2771572600573
"cold_0","swarm","4","throughput",284.86574051347503
"warm_1","swarm","4","throughput",282.9081385197401
"cold_1","swarm","4","throughput",286.0575744200873
"warm_2","swarm","4","throughput",303.7862611322327
"cold_2","swarm","4","throughput",277.47122062601085
"warm_0","swarm","5","throughput",298.7758028991446
