"startTime","framework","runNumber","caseNumber","factor","factorValue"
"warm_0","k8s","1","replica1","resTime",3
"cold_0","k8s","1","replica1","resTime",3.0
"warm_1","k8s","1","replica1","resTime",3
"cold_1","k8s","1","replica1","resTime",3
"warm_2","k8s","1","replica1","resTime",3
"cold_2","k8s","1","replica1","resTime",3
"warm_0","k8s","2","replica1","resTime",3
"cold_0","k8s","2","replica1","resTime",3
"warm_1","k8s","2","replica1","resTime",3
"cold_1","k8s","2","replica1","resTime",3
"warm_2","k8s","2","replica1","resTime",3
"cold_2","k8s","2","replica1","resTime",3
"warm_0","k8s","3","replica1","resTime",3
"cold_0","k8s","3","replica1","resTime",3
"warm_1","k8s","3","replica1","resTime",3
"cold_1","k8s","3","replica1","resTime",3
"warm_2","k8s","3","replica1","resTime",3
"cold_2","k8s","3","replica1","resTime",3
"warm_0","k8s","4","replica1","resTime",3
"cold_0","k8s","4","replica1","resTime",3.0
"warm_1","k8s","4","replica1","resTime",3
"cold_1","k8s","4","replica1","resTime",3
"warm_2","k8s","4","replica1","resTime",3
"cold_2","k8s","4","replica1","resTime",3
"warm_0","k8s","5","replica1","resTime",3
"cold_0","k8s","5","replica1","resTime",3.0
"warm_1","k8s","5","replica1","resTime",3
"cold_1","k8s","5","replica1","resTime",3
"warm_2","k8s","5","replica1","resTime",3
"cold_2","k8s","5","replica1","resTime",3
"warm_0","k8s","6","replica1","resTime",3
"cold_0","k8s","6","replica1","resTime",3
"warm_1","k8s","6","replica1","resTime",3
"cold_1","k8s","6","replica1","resTime",3
"warm_2","k8s","6","replica1","resTime",3
"cold_2","k8s","6","replica1","resTime",3
"warm_0","swarm","1","replica1","resTime",3
"cold_0","swarm","1","replica1","resTime",3
"warm_1","swarm","1","replica1","resTime",3
"cold_1","swarm","1","replica1","resTime",3
"warm_2","swarm","1","replica1","resTime",3
"cold_2","swarm","1","replica1","resTime",3
"warm_0","swarm","2","replica1","resTime",3
"cold_0","swarm","2","replica1","resTime",3
"warm_1","swarm","2","replica1","resTime",3
"cold_1","swarm","2","replica1","resTime",3
"warm_2","swarm","2","replica1","resTime",3
"cold_2","swarm","2","replica1","resTime",3
"warm_0","swarm","3","replica1","resTime",3
"cold_0","swarm","3","replica1","resTime",3
"warm_1","swarm","3","replica1","resTime",3
"cold_1","swarm","3","replica1","resTime",3
"warm_2","swarm","3","replica1","resTime",3
"cold_2","swarm","3","replica1","resTime",3.0
"warm_0","swarm","4","replica1","resTime",3
"cold_0","swarm","4","replica1","resTime",3
"warm_1","swarm","4","replica1","resTime",3
"cold_1","swarm","4","replica1","resTime",3
"warm_2","swarm","4","replica1","resTime",3
"cold_2","swarm","4","replica1","resTime",3
"warm_0","swarm","5","replica1","resTime",3
"cold_0","swarm","5","replica1","resTime",3
"warm_1","swarm","5","replica1","resTime",3
"cold_1","swarm","5","replica1","resTime",3
"warm_2","swarm","5","replica1","resTime",3
"cold_2","swarm","5","replica1","resTime",3
"warm_0","swarm","6","replica1","resTime",3
"cold_0","swarm","6","replica1","resTime",3
"warm_1","swarm","6","replica1","resTime",3
"cold_1","swarm","6","replica1","resTime",3
"warm_2","swarm","6","replica1","resTime",3
"cold_2","swarm","6","replica1","resTime",3
"warm_0","k8s","1","replica1","throughput",308.11895832232847
"cold_0","k8s","1","replica1","throughput",303.55097365406647
"warm_1","k8s","1","replica1","throughput",326.7604055795194
"cold_1","k8s","1","replica1","throughput",303.84955982705634
"warm_2","k8s","1","replica1","throughput",329.82753746112525
"cold_2","k8s","1","replica1","throughput",303.3596837944664
"warm_0","k8s","2","replica1","throughput",324.8677248677249
"cold_0","k8s","2","replica1","throughput",313.18120805369125
"warm_1","k8s","2","replica1","throughput",321.50140550074406
"cold_1","k8s","2","replica1","throughput",318.15206719755645
"warm_2","k8s","2","replica1","throughput",302.10275533457633
"cold_2","k8s","2","replica1","throughput",307.45308876238664
"warm_0","k8s","3","replica1","throughput",322.7823584749045
"cold_0","k8s","3","replica1","throughput",304.245775088671
"warm_1","k8s","3","replica1","throughput",318.0306417316395
"cold_1","k8s","3","replica1","throughput",318.01330280231167
"warm_2","k8s","3","replica1","throughput",313.9904182591377
"cold_2","k8s","3","replica1","throughput",311.60852609647947
"warm_0","k8s","4","replica1","throughput",314.78683216405824
"cold_0","k8s","4","replica1","throughput",304.90929053170913
"warm_1","k8s","4","replica1","throughput",317.11427639447646
"cold_1","k8s","4","replica1","throughput",308.62433862433863
"warm_2","k8s","4","replica1","throughput",318.2562199912702
"cold_2","k8s","4","replica1","throughput",301.4314505710299
"warm_0","k8s","5","replica1","throughput",301.1046871773694
"cold_0","k8s","5","replica1","throughput",299.38398357289526
"warm_1","k8s","5","replica1","throughput",304.65893659249974
"cold_1","k8s","5","replica1","throughput",305.1210964063399
"warm_2","k8s","5","replica1","throughput",325.7203484476212
"cold_2","k8s","5","replica1","throughput",319.0220958214833
